N	2gram	Trubetskoy	VerxiiNi
1	и в	14	26
2	таким образом	11	22
3	с тем	6	18
4	в этом	17	15
5	вместе с	4	15
6	русской культуры	2	15
7	точки зрения	11	13
8	как бы	4	12
9	в том	17	11
10	не только	9	10
11	и с	7	10
12	может быть	9	10
13	из этих	3	10
14	что в	4	9
15	так как	4	9
16	связи с	3	9
17	но и	10	9
18	в области	2	9
19	в общем	1	8
20	и у	1	8
21	и не	19	8
22	в индии	1	8
23	как на	8	8
24	главным образом	3	8
25	с другой	1	8
26	но не	4	8
27	но все	1	7
28	в эпоху	1	7
29	том что	9	7
30	потому что	5	7
31	а с	2	7
32	то что	13	7
33	но в	2	7
34	из них	3	7
35	к нему	2	7
36	так и	1	6
37	в конце	3	6
38	несмотря на	3	6
39	все это	6	6
40	что и	3	6
41	представление о	1	6
42	все эти	2	6
43	все же	4	6
44	к тому	7	6
45	о том	7	6
46	во всяком	9	6
47	и потому	3	6
48	всяком случае	6	6
49	мы должны	7	6
50	и т.д	4	6
51	с точки	9	6
52	в себе	9	6
53	того же	1	6
54	и к	6	5
55	до сих	5	5
56	том числе	1	5
57	в его	4	5
58	тому же	1	5
59	более или	4	5
60	в мире	4	5
61	с другом	14	5
62	или менее	4	5
63	сих пор	5	5
64	по крайней	1	5
65	того чтобы	8	5
66	для того	6	5
67	так же	2	5
68	национального целого	1	5
69	лишь в	3	5
70	одной из	3	5
71	тем чтобы	3	5
72	образом в	1	5
73	в силу	2	5
74	друг с	14	5
75	а не	2	5
76	и для	6	5
77	крайней мере	1	5
78	никогда не	5	5
79	при жизни	1	4
80	в самом	3	4
81	что оно	3	4
82	ничем не	1	4
83	то есть	1	4
84	и по	3	4
85	народных масс	1	4
86	то же	11	4
87	культурных ценностей	1	4
88	из которых	5	4
89	только в	5	4
90	в этих	2	4
91	с другими	1	4
92	целый ряд	2	4
93	что он	6	4
94	и вместе	2	4
95	в которых	1	4
96	к своим	1	4
97	русской жизни	1	4
98	в котором	2	4
99	в течение	2	4
100	и тогда	2	4
101	он не	5	4
102	и что	2	4
103	а в	5	4
104	в этой	4	4
105	числе и	1	4
106	и от	2	4
107	не может	22	4
108	что все	3	4
109	на этот	1	4
110	в виде	3	4
111	в то	10	4
112	и только	5	4
113	в нем	5	4
114	во время	2	4
115	с этой	1	3
116	и при	6	3
117	при этом	5	3
118	для него	6	3
119	из всех	2	3
120	что это	3	3
121	тем не	1	3
122	и если	7	3
123	в качестве	3	3
124	европейской культуры	2	3
125	в результате	2	3
126	духовной культуры	1	3
127	и даже	2	3
128	если бы	6	3
129	в которой	1	3
130	с ней	1	3
131	с самого	1	3
132	в таком	2	3
133	случае не	1	3
134	в связи	1	3
135	ясно что	2	3
136	и как	3	3
137	же как	1	3
138	но по	1	3
139	если в	6	3
140	не менее	1	3
141	путь к	4	3
142	и таким	1	3
143	в других	2	3
144	что эти	1	3
145	можно сказать	1	3
146	каждая из	1	3
147	хотя бы	5	3
148	в значительной	3	3
149	так что	2	3
150	а после	1	3
151	когда он	1	3
152	точно так	2	3
153	оказывается что	1	3
154	и те	2	3
155	всегда и	1	3
156	к ним	1	3
157	и о	2	3
158	культуры и	2	3
159	отношению к	1	3
160	в своем	6	3
161	уже не	2	3
162	к этому	1	3
163	конце концов	3	3
164	к богу	7	3
165	того что	3	3
166	никто из	1	2
167	бы то	4	2
168	связан с	1	2
169	значительная часть	1	2
170	такое положение	1	2
171	все что	4	2
172	поэтому что	1	2
173	для всех	6	2
174	этой задачи	1	2
175	один из	1	2
176	и на	5	2
177	смотреть на	4	2
178	благодаря этому	2	2
179	и сейчас	3	2
180	тогда когда	4	2
181	именно из	1	2
182	национальный характер	1	2
183	ни было	1	2
184	подходя к	1	2
185	этом отношении	1	2
186	только не	1	2
187	те же	1	2
188	прежде всего	8	2
189	они в	1	2
