N	4gram	Bakhtin_fo	Tvorches
1	в то же время	10	24
2	и в то же	6	6
3	но в то же	2	6
4	дело в том что	2	4
5	в том что в	1	3
6	в том числе и	4	2
7	то же время он	1	2
8	но для того чтобы	2	1
9	все более и более	2	1
10	очень важную роль в	1	1
11	одна и та же	2	1
12	мы уже говорили о	1	1
13	ни в чем не	3	1
14	бы он ни был	2	1
15	кто бы он ни	1	1
16	одного и того же	6	1
17	или во всяком случае	1	1
18	мы уже говорили что	1	1
19	в разрезе одного момента	2	1
20	достоевского преступление и наказание	1	1
21	на протяжении всего романа	2	1
22	мы имеем в виду	2	1
23	дело не только в	1	1
24	в соответствии с этим	2	1
25	следуют друг за другом	1	1
26	до сих пор еще	1	1
27	одну и ту же	1	1
28	говорили о том что	1	1
29	так же как и	2	1
30	и в том же	1	1
