N	3gram	Medvedev_V	slovoVRo
1	и т п	9	72
2	не может быть	8	19
3	то же время	5	18
4	в то же	5	18
5	той или иной	1	15
6	в той или	1	13
7	с одной стороны	2	11
8	во всех его	2	10
9	и т д	16	10
10	более или менее	6	9
11	в этом случае	1	9
12	в зависимости от	5	8
13	во всяком случае	2	8
14	но в то	1	7
15	и в то	3	6
16	не может не	2	6
17	но все же	1	6
18	с другой стороны	8	6
19	большей или меньшей	3	6
20	в том что	5	5
21	по отношению к	7	5
22	хотя бы и	5	5
23	не только в	2	5
24	в этом отношении	14	5
25	может быть и	1	5
26	одной стороны и	2	4
27	для того чтобы	3	4
28	прямо и непосредственно	1	4
29	до сих пор	2	4
30	в большей или	2	4
31	этом случае она	1	4
32	точки зрения на	1	4
33	те или иные	1	4
34	и не может	2	4
35	в свою очередь	1	4
36	можно сказать что	4	4
37	таким образом в	2	4
38	в точном смысле	2	4
39	или меньшей степени	2	4
40	не могут быть	4	4
41	в новое время	1	4
42	никогда не может	1	4
43	и то же	1	3
44	того или иного	1	3
45	между этими двумя	1	3
46	тех или иных	1	3
47	в данном случае	1	3
48	как если бы	1	3
49	в связи с	4	3
50	сама по себе	1	3
51	к тому что	4	3
52	т п все	1	3
53	со всех сторон	1	3
54	одно и то	1	3
55	и связанное с	1	2
56	и в другом	2	2
57	то или иное	1	2
58	с этой точки	1	2
59	так и от	2	2
60	и во всех	1	2
61	далеко не всегда	1	2
62	а между тем	1	2
63	п все это	1	2
64	все же и	1	2
65	о том же	3	2
66	не только не	2	2
67	и др и	1	2
68	а не только	1	2
69	сих пор не	1	2
70	хотя и не	1	2
71	но по существу	1	2
72	иметь в виду	2	2
73	но и в	1	2
74	можно утверждать что	4	2
75	точном смысле слова	2	2
76	о том что	3	2
77	этой точки зрения	2	2
78	в то время	1	2
79	т п эти	1	2
80	можно было бы	2	2
81	во всех этих	2	2
82	же как и	1	2
83	сводится именно к	1	2
84	то время как	1	2
85	тот или иной	1	2
86	на этой почве	1	1
87	мы видели что	3	1
88	никак не могут	1	1
89	у пушкина в	1	1
90	вот что говорит	3	1
91	что он не	1	1
92	бы и не	3	1
93	все то что	1	1
94	которая не может	2	1
95	форм и жанров	1	1
96	в конечном счете	5	1
97	во всей ее	1	1
98	в применении к	1	1
99	мы видим что	1	1
100	однако отметить что	1	1
101	в ту же	1	1
102	его роль в	1	1
103	с большей или	1	1
104	не обязательно должен	1	1
105	имеют громадное значение	1	1
106	как пародия на	2	1
107	мы говорим о	1	1
108	в образе и	1	1
109	дело не в	1	1
110	и др но	1	1
111	хотя может быть	1	1
112	в том числе	2	1
113	одним из моментов	1	1
114	всего произведения в	2	1
115	они не только	1	1
116	говорит о том	1	1
117	в частности в	2	1
118	так или иначе	1	1
119	сами по себе	1	1
120	слова все это	1	1
121	органически связано с	1	1
122	в том случае	1	1
123	и психологии в	1	1
124	для правильного понимания	1	1
125	и в зависимости	1	1
126	таким образом даже	2	1
127	могут быть отнесены	1	1
128	между всеми этими	1	1
129	том числе и	2	1
130	для этого процесса	1	1
131	что они не	1	1
132	а в том	1	1
133	этой проблемы в	1	1
134	и непосредственно как	1	1
135	громадное значение для	1	1
136	одна из форм	1	1
137	романа с его	1	1
138	одну и ту	1	1
139	как сказал бы	1	1
140	в процессе этого	1	1
141	том что оно	1	1
142	все это не	1	1
143	с ними в	1	1
144	то прежде всего	1	1
145	все эти явления	2	1
146	в поэзии и	1	1
147	даже и не	1	1
148	в последнем счете	1	1
149	в какой мере	1	1
150	проблемы в плане	1	1
151	в различных его	1	1
152	отцы и дети	1	1
153	в одном из	4	1
154	а как бы	1	1
155	это и создает	1	1
156	по аналогии с	1	1
157	равно как и	4	1
158	этот процесс и	1	1
159	все зависит от	1	1
160	на то что	1	1
161	и может быть	1	1
162	и ту же	1	1
163	по крайней мере	2	1
164	как это было	1	1
165	в том чтобы	2	1
166	в чем же	2	1
167	выйти за пределы	1	1
168	ни в какой	1	1
169	образе и в	1	1
170	имеем в виду	1	1
171	бы он был	1	1
172	в процессе работы	5	1
173	том же о	1	1
174	в виду не	1	1
175	как один из	1	1
176	между тем это	1	1
177	но у него	1	1
178	в процессе творчества	1	1
179	произведения в этом	1	1
180	в противном случае	2	1
181	на то или	1	1
182	как и все	1	1
183	быть включен в	1	1
184	подобно тому как	3	1
185	так же как	1	1
186	всего может быть	1	1
187	именно в том	1	1
188	обязательно должен быть	1	1
189	могут быть сведены	1	1
190	может быть включен	1	1
191	том случае если	1	1
192	в каком направлении	1	1
193	у тургенева и	1	1
194	их отношение к	1	1
195	как бы сами	1	1
196	предмета в его	1	1
197	и главным образом	2	1
198	варьируются в зависимости	1	1
199	оказывается перед необходимостью	1	1
200	т п это	1	1
201	также и в	2	1
202	нет и не	1	1
203	если бы он	1	1
204	неизбежно приводит к	1	1
205	но с другой	1	1
206	лежит в основе	1	1
207	может быть при	1	1
208	можно говорить только	1	1
