N	2gram	Savitsky_P	TeoriaLi
1	в качестве	9	33
2	в мире	2	26
3	не только	17	24
4	и в	14	24
5	в частности	2	23
6	может быть	5	22
7	в том	9	20
8	и не	12	17
9	а в	4	15
10	но и	6	14
11	а не	2	14
12	в себе	3	14
13	представляет собой	1	13
14	в рамках	1	13
15	но не	3	13
16	в этом	10	12
17	сводится к	3	12
18	но в	9	12
19	в его	2	12
20	то же	9	12
21	том что	4	11
22	точки зрения	3	11
23	внутреннего зрения	1	11
24	что в	4	10
25	в душе	1	9
26	только в	7	9
27	в данном	1	9
28	с другой	5	9
29	не в	5	9
30	в то	7	9
31	же время	7	8
32	как бы	4	8
33	не может	4	8
34	в самом	1	7
35	не столько	2	7
36	или иной	1	7
37	в отличие	1	7
38	в своем	4	7
39	себя в	1	7
40	а также	4	7
41	отличие от	1	7
42	место в	1	7
43	в области	11	7
44	в нем	3	7
45	другой стороны	1	6
46	более или	1	6
47	как и	1	6
48	не менее	2	6
49	еще не	1	6
50	то что	4	6
51	со стороны	2	6
52	с его	1	6
53	в ее	2	6
54	или менее	1	6
55	в русской	4	6
56	тем самым	3	6
57	того чтобы	1	5
58	для того	3	5
59	как к	1	5
60	по преимуществу	1	5
61	того что	2	5
62	в себя	1	5
63	между тем	3	5
64	и тем	2	5
65	в пределах	8	5
66	и о	5	5
67	в ходе	1	5
68	могут быть	3	5
69	хх века	2	4
70	в отношении	10	4
71	в этих	1	4
72	отношения к	2	4
73	говорить о	2	4
74	отношении к	5	4
75	во времени	1	4
76	никогда не	1	4
77	или иным	1	4
78	о о	1	4
79	это не	3	4
80	хотя и	3	4
81	его в	1	4
82	и что	1	4
83	далеко не	1	4
84	в силу	2	4
85	с ее	1	4
86	и ее	1	4
87	и к	4	3
88	в момент	1	3
89	если бы	4	3
90	оказывается в	1	3
91	именно в	2	3
92	например в	2	3
93	в жизни	2	3
94	в порядке	3	3
95	в иной	1	3
96	культуры в	2	3
97	потому что	3	3
98	одной стороны	3	3
99	вслед за	3	3
100	на две	1	3
101	во всей	2	3
102	не все	1	3
103	из этих	1	3
104	и то	1	3
105	– все	1	3
106	с одной	3	3
107	и вот	2	3
108	том числе	2	3
109	и потому	4	3
110	с точки	3	3
111	ни к	1	3
112	как раз	2	3
113	есть в	2	3
114	прежде всего	3	3
115	и –	1	3
116	и притом	1	3
117	и как	3	3
118	во всех	2	3
119	а с	1	3
120	тот или	1	3
121	в которой	1	3
122	не с	1	3
123	этом смысле	1	3
124	человека с	1	3
125	в этой	1	3
126	столь же	3	3
127	и по	1	3
128	отнюдь не	2	3
129	поскольку не	1	2
130	ведет к	1	2
131	и другие	1	2
132	в сочетании	2	2
133	и здесь	1	2
134	и на	1	2
