N	3gram	Medvedev_V	Marksizm
1	не может быть	8	25
2	в самом деле	1	19
3	по отношению к	7	15
4	то же время	5	15
5	в то же	5	15
6	в том что	5	14
7	в связи с	4	14
8	и не может	2	12
9	для того чтобы	3	11
10	до сих пор	2	11
11	как если бы	1	9
12	но в то	1	9
13	то же самое	1	8
14	может быть и	1	8
15	с другой стороны	8	7
16	в свою очередь	1	7
17	как мы знаем	1	7
18	на то что	1	6
19	в точном смысле	2	6
20	во всяком случае	2	6
21	если бы он	1	6
22	с одной стороны	2	6
23	на этой почве	1	5
24	в таком случае	1	5
25	к тому что	4	5
26	отсюда следует что	1	5
27	той или иной	1	5
28	в этом случае	1	5
29	в этом отношении	14	5
30	так и от	2	4
31	в зависимости от	5	4
32	быть и речи	1	4
33	но все же	1	4
34	о том что	3	4
35	можно сказать что	4	4
36	в той или	1	3
37	не только в	2	3
38	в применении к	1	3
39	одной стороны и	2	3
40	хотя бы и	5	3
41	в том числе	2	3
42	более или менее	6	3
43	и то же	1	3
44	в конце концов	2	3
45	мы не будем	1	3
46	том числе и	2	3
47	между этими двумя	1	3
48	не могут быть	4	3
49	и речи о	1	3
50	но и в	1	3
51	на этот вопрос	1	3
52	не было бы	4	3
53	одно и то	1	3
54	ни в какой	1	3
55	можно было бы	2	3
56	именно в том	1	3
57	лежит в основе	1	3
58	что он не	1	2
59	лишь в пределах	2	2
60	в этом смысле	1	2
61	и в результате	1	2
62	во всех других	1	2
63	имеют громадное значение	1	2
64	прав в том	1	2
65	только в пределах	1	2
66	того чтобы понять	1	2
67	что во всех	1	2
68	так или иначе	1	2
69	мы видели что	3	2
70	ничего общего с	1	2
71	а между тем	1	2
72	в данном случае	1	2
73	в том или	1	2
74	к тому же	1	2
75	сама по себе	1	2
76	мы полагаем что	1	2
77	лицом к лицу	1	2
78	с ними в	1	2
79	а не только	1	2
80	со всех сторон	1	2
81	сами по себе	1	2
82	того или иного	1	2
83	отнюдь не может	1	2
84	чуть ли не	2	2
85	от того что	2	2
86	точном смысле слова	2	2
87	по крайней мере	2	2
88	является для него	1	2
89	бы он был	1	2
90	том или ином	1	2
91	ту или иную	1	2
92	только в этом	1	2
93	в этом и	2	2
94	в чем же	2	2
95	таким образом в	2	2
96	в противном случае	2	2
97	как и все	1	2
98	так же как	1	2
99	хотя бы в	3	2
100	же как и	1	2
101	вопрос о том	1	2
102	это и есть	3	2
103	нет и не	1	2
104	тот или иной	1	2
105	является таким образом	1	1
106	в едином и	1	1
107	в основном в	2	1
108	но ведь это	1	1
109	того как он	1	1
