N	2gram	Bakhtin_Pr	IolandNe
1	и с	10	3
2	что в	5	2
3	записок из	1	2
4	достоевского а	1	2
5	он не	5	2
6	творчества достоевского	13	2
7	бы что	1	2
8	ничего не	8	2
9	о достоевском	1	2
10	и не	41	2
11	в этом	24	2
12	говорить о	2	1
13	и наказания	3	1
14	все эти	9	1
15	для того	1	1
16	и очень	1	1
17	всего творчества	2	1
18	а в	4	1
19	и о	3	1
20	мертвого дома	1	1
21	это было	3	1
22	самого достоевского	1	1
23	и со	1	1
24	и та	1	1
25	что для	1	1
26	для него	1	1
27	основе всего	1	1
28	вплоть до	5	1
29	с героем	1	1
30	тем что	2	1
31	от нее	1	1
32	ушел от	1	1
33	того же	5	1
34	нам в	1	1
35	и др	18	1
36	о жизни	1	1
37	преступления и	3	1
38	жизни и	13	1
39	с другой	4	1
40	этого писателя	1	1
41	в целом	3	1
42	он с	1	1
43	в эту	3	1
44	нее и	1	1
45	другой стороны	3	1
46	я не	6	1
47	себя в	1	1
48	и широко	1	1
49	и оскорбленных	2	1
50	братья карамазовы	1	1
51	произведения и	1	1
52	автор не	2	1
53	могло бы	3	1
54	знать и	1	1
55	и еще	2	1
56	что при	1	1
57	как только	1	1
58	если бы	1	1
59	отношению к	5	1
60	по существу	7	1
61	и сам	1	1
62	того что	1	1
63	а с	1	1
64	для других	2	1
65	стало быть	1	1
66	из подполья	6	1
67	и тот	4	1
68	а также	4	1
69	человек никогда	1	1
70	так и	9	1
71	художественном творчестве	1	1
72	в основе	6	1
73	к достоевскому	4	1
74	о ней	1	1
75	от этого	1	1
76	его ученики	1	1
77	униженных и	2	1
78	и без	4	1
79	а для	2	1
80	бы в	2	1
81	не дает	3	1
82	а по	1	1
83	достоевского с	4	1
84	и в	83	1
85	его личности	1	1
86	это был	2	1
87	никогда не	10	1
88	все это	11	1
89	по отношению	6	1
90	со всеми	8	1
91	был человек	1	1
92	нисколько не	1	1
93	в них	4	1
94	во многом	3	1
