N	3gram	Losev_Dial	Hudozhes
1	в том что	12	8
2	в то же	7	7
3	то же время	8	7
4	с другой стороны	7	6
5	более или менее	5	6
6	той или иной	4	5
7	для того чтобы	1	5
8	так или иначе	3	4
9	не может быть	4	4
10	в силу своей	2	4
11	с точки зрения	18	3
12	в этом смысле	4	3
13	в виду не	1	3
14	тем не менее	3	3
15	можно сказать что	6	3
16	и то же	8	3
17	одно и то	8	3
18	подобно тому как	1	3
19	в связи с	3	3
20	с одной стороны	3	3
21	в той или	3	2
22	до известной степени	1	2
23	в данный момент	1	2
24	по большей части	1	2
25	ту или иную	1	2
26	в том и	1	2
27	в самом деле	3	2
28	в коем случае	1	2
29	в таком случае	2	2
30	ни в коем	1	2
31	в отношении к	1	2
32	не в самом	1	2
33	тех или иных	1	2
34	и в то	3	2
35	том что он	1	2
36	что в основе	1	2
37	сама по себе	12	2
38	к тому что	3	2
39	приводит к тому	1	2
40	коем случае не	1	2
41	мы имеем дело	1	2
42	может быть и	6	2
43	точно так же	3	1
44	что он не	2	1
45	и не быть	1	1
46	своего объекта и	1	1
47	может и не	2	1
48	тех кто его	1	1
49	а можно только	1	1
50	больше и больше	1	1
51	и как бы	1	1
52	отнюдь не в	1	1
53	точки зрения не	1	1
54	те и другие	1	1
55	а не ее	1	1
56	в душе моей	1	1
57	так и его	1	1
58	по себе а	2	1
59	еще не есть	1	1
60	которая характерна для	2	1
61	та или иная	4	1
62	на задний план	1	1
63	в принципе однако	1	1
64	не содержит в	1	1
65	обратим внимание на	1	1
66	по крайней мере	11	1
67	объективно и не	1	1
68	один из видов	2	1
69	о том что	6	1
70	то или иное	4	1
71	или ином отношении	1	1
72	в отдельности и	1	1
73	мы говорим о	1	1
74	одной стороны и	3	1
75	дело не в	1	1
76	в себе и	1	1
77	в каждом человеке	1	1
78	отчет в том	1	1
79	внутреннее и внешнее	3	1
80	исторического бытия и	1	1
81	а в другом	1	1
82	как один из	2	1
83	он мог бы	1	1
84	не в состоянии	1	1
85	в основе всех	1	1
86	тем и другим	1	1
87	связи с этим	2	1
88	в этих случаях	1	1
89	друг от друга	1	1
90	как более или	2	1
91	в то время	2	1
92	к своему собственному	1	1
93	том что она	1	1
94	у достоевского в	1	1
95	в себе никаких	1	1
96	несмотря на свою	1	1
97	всегда так или	1	1
98	или иное логическое	1	1
99	в себе самом	2	1
100	не что иное	4	1
101	и в частности	4	1
102	не сама по	1	1
103	таким образом и	1	1
104	иметь в виду	4	1
105	но в то	1	1
106	а не сама	2	1
107	хома брут не	1	1
108	в сравнении с	1	1
109	содержит в себе	5	1
110	как раз в	1	1
111	субъект и объект	1	1
112	в зависимости от	2	1
113	отношении к нему	1	1
114	никогда не бывает	1	1
115	так же как	1	1
116	речь идет о	1	1
117	не было и	1	1
118	можно говорить о	1	1
119	а в том	1	1
120	к тому же	2	1
121	каждой из них	1	1
122	есть не что	3	1
123	в первую очередь	1	1
124	в своей жизни	1	1
125	не могут быть	1	1
126	чужой психики но	1	1
127	в новое время	1	1
128	на первый взгляд	2	1
129	то же самое	3	1
130	но только не	1	1
131	а не с	1	1
132	если бы для	1	1
133	том или ином	1	1
134	при всей своей	1	1
135	что иное как	4	1
136	ведет нас к	1	1
137	только то что	6	1
138	видим в нем	1	1
139	всем потому что	1	1
140	но в силу	1	1
141	и не дает	1	1
142	в узком и	1	1
143	и не происходит	1	1
144	из того что	1	1
145	точки зрения и	1	1
146	а не только	1	1
147	я думаю что	1	1
148	имея в виду	1	1
149	это и есть	3	1
150	в виду что	2	1
151	и в том	1	1
152	говорить о разных	1	1
153	что несмотря на	1	1
154	в полной мере	1	1
155	в чистом виде	1	1
156	на театральной сцене	1	1
157	это было бы	1	1
