N	3gram	Ircho_Kome	RusskieA
1	в том что	13	49
2	состоит в том	1	29
3	и т д	4	21
4	тем не менее	2	14
5	вместе с тем	4	11
6	о том что	6	10
7	том что в	1	9
8	для того чтобы	3	8
9	в данном случае	1	8
10	подобно тому как	1	8
11	т е в	2	7
12	в это время	3	6
13	как мы видели	1	6
14	так же как	1	6
15	после того как	3	6
16	в связи с	3	5
17	к тому что	3	5
18	не что иное	1	4
19	как мы уже	1	4
20	бросается в глаза	1	4
21	в отличие от	3	4
22	что иное как	1	4
23	на себя внимание	4	4
24	в то время	8	4
25	можно было бы	3	4
26	во всяком случае	4	4
27	к этому же	1	4
28	по отношению к	5	3
29	по своему происхождению	2	3
30	более или менее	1	3
31	до сих пор	3	3
32	же как и	1	3
33	и в том	1	3
34	на то что	2	3
35	к выводу что	1	3
36	обращает на себя	4	3
37	до тех пор	1	3
38	состоял в том	1	3
39	мы уже знаем	1	2
40	в большинстве случаев	2	2
41	и т п	7	2
42	это имело место	1	2
43	в течение всего	1	2
44	совершенно очевидно что	1	2
45	из них в	1	2
46	можно судить по	2	2
47	как это имело	1	2
48	том что на	1	2
49	но все же	1	2
50	с другой стороны	6	2
51	к этому времени	3	2
52	для этой цели	2	2
53	в тех случаях	1	2
54	отношению к людям	1	2
55	могут быть использованы	1	2
56	как и в	2	2
57	к земле и	1	2
58	не только в	1	2
59	и во время	1	2
60	тех случаях когда	1	2
61	на две партии	1	2
62	одна из них	2	2
63	с одной стороны	5	2
64	в этом отношении	3	2
65	о том где	1	1
66	время от времени	1	1
67	приводит к выводу	1	1
68	а может быть	1	1
69	в том же	1	1
70	в самом буквальном	1	1
71	как будто бы	1	1
72	празднеств в честь	1	1
73	самом буквальном смысле	1	1
74	с той только	1	1
75	сделать вывод что	2	1
76	этого слова с	1	1
77	что и те	1	1
78	не менее это	1	1
79	все что она	1	1
80	той только разницей	1	1
81	у нас в	2	1
82	наряду с этим	1	1
83	можно сделать вывод	1	1
84	до наших дней	1	1
85	во всех отношениях	1	1
86	как видно из	2	1
87	ясно во всяком	1	1
88	в первые годы	1	1
89	и все это	1	1
90	только разницей что	1	1
91	только потому что	2	1
92	или может быть	2	1
93	по своему содержанию	1	1
94	относится к г	1	1
95	сам по себе	1	1
96	или совсем не	1	1
97	а между тем	1	1
98	по аналогии с	1	1
99	из своей среды	1	1
100	в один из	1	1
101	точно так же	1	1
102	всех других случаях	1	1
103	и таким образом	2	1
104	тому же в	5	1
105	из составных частей	1	1
106	можно говорить о	1	1
107	и у других	1	1
108	к тому же	12	1
109	из них не	1	1
110	народ и его	1	1
111	производительных сил природы	1	1
112	место во время	2	1
113	из всего этого	2	1
114	собой и все	1	1
115	они выходят на	1	1
116	прежде всего обращает	1	1
117	то же самое	2	1
118	во всех других	1	1
119	и с вполне	1	1
120	оно все же	1	1
121	в применении к	1	1
122	отсюда видно что	1	1
123	в значительной степени	1	1
124	из других источников	1	1
125	и один из	1	1
126	тому что именно	1	1
127	то время когда	1	1
128	во второй половине	3	1
129	в одном из	4	1
130	в течение всей	1	1
131	к заключению что	1	1
132	но он не	1	1
133	те и другие	1	1
134	судя по всему	2	1
135	т е из	1	1
136	нельзя отрицать что	1	1
137	и еще в	1	1
138	i так как	1	1
139	так как он	1	1
140	поставил вопрос о	1	1
141	с полной уверенностью	1	1
142	а вместе с	1	1
143	но и в	2	1
144	как мы знаем	1	1
145	от земли и	1	1
146	и в дальнейшем	1	1
147	еще в конце	1	1
148	в целом ряде	1	1
149	то что в	1	1
150	мы и здесь	1	1
151	как один из	1	1
152	состоит не в	1	1
153	чем говорилось выше	1	1
154	только в том	1	1
155	всяком случае что	1	1
156	и более поздние	1	1
157	не означает что	2	1
158	одном из своих	1	1
159	тем более что	1	1
160	независимо от того	3	1
161	таким образом в	2	1
162	и в первую	1	1
163	в первой половине	2	1
164	хотя и не	1	1
165	о чем говорилось	1	1
166	и та же	1	1
167	смысле этого слова	1	1
168	в нашу задачу	1	1
169	этим объясняется и	1	1
170	из этих элементов	1	1
171	по меньшей мере	2	1
172	по содержанию и	1	1
173	о котором речь	1	1
174	исконное значение слова	1	1
175	можем судить по	1	1
176	в первую очередь	5	1
177	что в нем	1	1
178	всего обращает на	1	1
179	ни в одном	2	1
180	том что они	1	1
181	в новое время	2	1
182	одна и та	1	1
183	в этой же	2	1
184	потому что они	1	1
185	и не только	1	1
186	в дом и	1	1
187	то время как	6	1
188	что и в	2	1
189	что именно с	1	1
190	потому что по	1	1
191	сводится к тому	1	1
192	мы можем судить	2	1
193	во время сатурналий	1	1
