N	2gram	Voloshinov	Poddanst
1	не только	10	17
2	и в	28	14
3	и не	34	12
4	в области	4	11
5	в этом	28	10
6	в отношении	2	10
7	в том	10	9
8	то же	12	9
9	в качестве	2	9
10	но в	13	9
11	хотя бы	7	8
12	в пределах	6	8
13	только в	11	7
14	же время	6	7
15	в то	7	7
16	в ней	8	6
17	быть может	1	6
18	было бы	8	6
19	но и	10	6
20	в смысле	1	6
21	и пр	29	5
22	может быть	28	5
23	отношении к	1	5
24	с другой	2	5
25	не в	10	5
26	и о	6	5
27	в русской	1	4
28	и к	7	4
29	что в	7	4
30	в котором	4	4
31	гораздо большей	1	4
32	по себе	4	4
33	на путях	1	4
34	г о	1	4
35	и потому	12	4
36	мы должны	9	4
37	не может	30	4
38	в гораздо	1	4
39	а в	8	4
40	то что	17	4
41	как бы	19	4
42	если бы	4	4
43	а также	2	4
44	в своем	4	4
45	же в	1	4
46	том что	12	4
47	большей степени	1	4
48	в себе	7	3
49	исторического материализма	2	3
50	что мы	3	3
51	с одной	2	3
52	мы не	9	3
53	это не	5	3
54	одной стороны	2	3
55	для того	6	3
56	между тем	3	3
57	с точки	15	3
58	хотя и	1	3
59	с тем	1	3
60	потому что	4	3
61	она есть	1	3
62	прежде всего	26	3
63	сводится к	4	3
64	заключается в	5	3
65	но не	7	3
66	могут быть	9	3
67	я и	7	3
68	и т	1	3
69	и как	3	3
70	с ними	5	3
71	и временами	1	3
72	в нем	7	3
73	и без	1	3
74	тот же	10	3
75	точки зрения	31	3
76	с этим	8	2
77	во всех	13	2
78	и это	1	2
79	мира нового	1	2
80	и других	1	2
81	осуществляется в	1	2
82	было в	1	2
83	которую мы	1	2
84	пути в	1	2
85	и вот	8	2
86	время в	2	2
87	не будем	3	2
88	теперь в	1	2
89	еще более	2	2
90	по-видимому не	2	2
91	начала и	1	2
92	по сравнению	1	2
93	эта идея	1	2
94	хх века	2	2
95	в ее	5	2
96	и тем	2	2
97	того что	7	2
98	никак не	1	2
99	как раз	6	2
100	в недрах	1	2
101	в его	25	2
102	в глубинах	1	2
103	а не	9	2
104	для нас	2	2
105	все это	12	2
106	в которую	1	2
107	говорить о	5	2
108	для них	3	2
109	может и	1	2
110	и есть	3	2
111	стороны и	1	2
112	как мир	1	2
113	в виде	1	2
114	в них	3	2
115	только это	1	2
116	творчества и	1	2
117	надстройка над	1	2
118	не было	5	2
119	к чему	1	2
120	и с	10	2
121	из важнейших	2	2
122	в начале	1	2
123	как на	3	2
124	в общем	5	2
125	мысль о	1	2
126	нужно помнить	1	2
127	в сфере	1	2
128	главным образом	4	2
129	она ни	1	2
130	именно в	4	2
131	должно быть	2	2
132	в жизни	7	2
133	отношения к	2	2
134	современной европейской	2	2
135	друг другу	1	2
136	во всей	3	2
137	одна из	4	2
138	в мире	2	2
139	например в	1	2
140	не менее	6	2
141	в ряду	1	2
142	думать что	2	2
143	отнюдь не	5	2
144	со стороны	5	2
145	да и	2	2
146	точек зрения	1	2
147	исключительно в	2	2
148	в эту	2	2
149	из них	7	2
150	есть не	1	2
151	тем более	1	2
152	есть в	1	2
153	переход от	1	2
154	не к	2	2
155	бы ни	1	2
156	мира с	1	2
157	что было	1	1
158	к сожалению	1	1
159	в ком	1	1
160	этих двух	3	1
161	целому ряду	1	1
162	нет ничего	1	1
163	как к	2	1
164	во всяком	9	1
165	и тех	3	1
166	могли бы	2	1
167	не есть	2	1
168	о личности	1	1
169	собственном смысле	3	1
170	и теперь	2	1
171	находятся в	2	1
172	и то	3	1
173	государство и	1	1
174	эту эпоху	1	1
175	но как	2	1
176	бы и	2	1
177	чтобы это	1	1
178	мы можем	20	1
179	и эти	1	1
180	на этой	3	1
181	мы видим	3	1
182	а с	2	1
183	в данном	4	1
184	не хотим	1	1
185	с его	9	1
186	за то	1	1
187	области и	1	1
188	что оно	4	1
189	сходства между	1	1
190	ее по	1	1
191	существует но	1	1
192	можно говорить	1	1
193	те же	9	1
194	вместе с	5	1
195	и здесь	1	1
196	и на	9	1
197	отличие от	2	1
198	в самом	12	1
199	мир в	3	1
200	вопрос о	2	1
201	и очень	3	1
202	сделать то	1	1
203	что некоторая	1	1
204	два направления	2	1
205	они не	3	1
206	наше сознание	1	1
207	среды в	1	1
208	этой области	4	1
209	с основной	1	1
210	них в	1	1
211	социального бытия	2	1
212	на свои	1	1
213	в момент	2	1
214	построений –	1	1
215	в философии	1	1
216	этого сделать	1	1
217	они являются	1	1
218	в психологии	4	1
219	в случаях	1	1
220	к этой	2	1
221	в основном	4	1
222	она не	6	1
223	уже в	3	1
224	должна быть	2	1
225	применении к	2	1
226	них самих	1	1
227	есть прежде	1	1
228	связана с	2	1
229	только как	4	1
230	того чтобы	5	1
231	мы знаем	11	1
232	с определенной	1	1
233	по всему	2	1
234	в применении	2	1
235	на основе	3	1
236	бытия не	1	1
237	представляет собой	2	1
238	помимо воли	2	1
239	из всех	1	1
240	есть область	1	1
241	во многих	1	1
242	что это	5	1
243	не более	1	1
244	конечно и	5	1
245	одно и	1	1
246	знаем и	1	1
247	ни на	3	1
248	то главным	1	1
249	сохранить и	1	1
250	этого отношения	1	1
251	вот как	2	1
252	что при	2	1
253	и культурного	1	1
254	два основных	1	1
255	и уже	2	1
256	мысли и	4	1
257	– но	4	1
258	в формах	1	1
259	случаев только	1	1
260	с которой	1	1
261	из тех	4	1
262	как высшее	1	1
263	культуры на	1	1
264	и образы	4	1
265	все основные	4	1
266	из этих	6	1
267	жить и	1	1
268	идеи и	2	1
269	что если	1	1
270	что с	2	1
271	связанные с	4	1
272	именно на	1	1
273	не как	2	1
274	и другие	2	1
275	только один	1	1
276	об отношении	1	1
277	а затем	1	1
278	мы все	1	1
279	в каждом	1	1
280	в стадии	1	1
281	из мира	1	1
282	и вслед	1	1
283	только на	4	1
284	и через	2	1
285	и этим	3	1
286	в идеологическом	1	1
287	не с	1	1
288	что эта	1	1
289	ведущий от	1	1
290	от марксизма	1	1
291	может оказаться	2	1
292	борьбе с	1	1
293	последние годы	1	1
294	и при	3	1
295	и что	6	1
296	в различных	2	1
297	и современная	2	1
298	на основании	5	1
299	что и	5	1
300	к смерти	7	1
301	кто не	1	1
302	движущим силам	1	1
303	с того	1	1
304	еще в	1	1
305	в мир	4	1
306	как ни	1	1
307	на заре	1	1
308	субъективная сторона	1	1
309	нет никакого	3	1
310	этом смысле	2	1
311	весь мир	2	1
312	далеко не	5	1
313	только то	5	1
314	в современной	1	1
315	составляющих ее	1	1
316	в этих	5	1
317	них и	2	1
318	что все	7	1
319	в истории	4	1
320	как оно	1	1
321	как по	2	1
322	в ином	1	1
323	так же	4	1
324	человека с	3	1
325	в рамки	1	1
326	также и	2	1
327	его в	11	1
328	знаем что	8	1
329	м ы	1	1
330	и мудрости	1	1
331	совершенно новое	1	1
332	в большинстве	5	1
333	мы вполне	1	1
334	который не	1	1
335	в г	3	1
336	их не	2	1
337	по широте	1	1
338	все же	8	1
339	понять в	1	1
340	и притом	3	1
341	чтобы в	1	1
342	и некоторых	1	1
343	этого процесса	2	1
344	в настоящее	1	1
345	в борьбе	1	1
346	всего что	1	1
347	теми же	2	1
348	но на	1	1
349	рассматривать как	1	1
350	что его	1	1
351	в результате	3	1
352	так было	1	1
353	оставаясь в	1	1
354	в которой	5	1
355	и поставить	1	1
356	в прошлом	2	1
357	должен быть	2	1
358	в этой	7	1
359	разрыва между	1	1
360	дело касается	1	1
361	в наших	1	1
362	прежде чем	1	1
363	и еще	1	1
364	– все	8	1
365	тот или	1	1
366	что по	1	1
367	в отличие	2	1
368	окружающей среды	1	1
369	по преимуществу	2	1
370	и которая	2	1
371	на нее	1	1
372	себя в	3	1
373	оно есть	1	1
374	настоящее время	1	1
375	на две	3	1
376	других же	1	1
377	видим в	1	1
378	же как	2	1
379	чтобы понять	1	1
380	на себя	3	1
381	культуры и	1	1
382	наука и	2	1
383	мы и	4	1
384	если мы	7	1
385	реальность в	1	1
386	в эпоху	3	1
387	и философской	1	1
388	тем же	3	1
389	но для	3	1
390	именно о	1	1
391	в каком	7	1
392	но есть	1	1
393	кульминационный пункт	1	1
394	свои собственные	1	1
395	могут стать	1	1
396	или хотя	1	1
397	и чувствуем	1	1
398	к другим	2	1
399	церковь и	1	1
400	русской литературы	1	1
401	к сохранению	1	1
402	сохранению и	1	1
403	любовь и	1	1
404	если он	6	1
405	основные черты	2	1
406	тогда когда	2	1
407	эти черты	1	1
408	характер этого	1	1
409	относящиеся к	1	1
410	находится в	3	1
411	и метафизики	1	1
412	мира а	1	1
413	в какой	3	1
414	ясно что	2	1
415	с собой	1	1
416	без того	1	1
417	как и	13	1
418	также в	2	1
419	следует понимать	1	1
420	или иной	2	1
421	в собственном	4	1
422	теория исторического	1	1
423	из внешней	1	1
424	для каждого	1	1
425	притом в	3	1
426	есть та	2	1
427	большинстве случаев	6	1
428	веры и	1	1
429	в сборнике	1	1
430	в противоречии	1	1
431	учреждения мы	1	1
432	говорить об	2	1
433	сложной и	1	1
434	иной раз	1	1
435	исторический материализм	2	1
436	стремление к	2	1
437	на то	1	1
438	путь ведущий	1	1
439	на фоне	1	1
440	своего существования	1	1
441	европы и	1	1
442	ли не	1	1
443	и по	5	1
444	этот вывод	1	1
445	к следующему	1	1
446	были в	2	1
447	чем шире	1	1
448	личности не	2	1
449	там где	2	1
450	т д	1	1
451	всецело к	1	1
452	века в	2	1
453	что во	1	1
454	и только	6	1
455	это сделать	3	1
456	друг с	1	1
457	она оказывается	1	1
458	всяком случае	8	1
459	в иной	1	1
460	в свете	1	1
461	нисколько не	4	1
462	не все	1	1
463	сравнению с	1	1
464	в условиях	3	1
465	он будет	1	1
466	друг друга	2	1
467	в себя	5	1
468	распадается на	2	1
469	в это	1	1
470	для этого	6	1
471	с ее	4	1
472	противоречии с	1	1
473	и страсти	1	1
474	с другом	1	1
475	и чем	1	1
476	гораздо более	1	1
477	он был	3	1
478	не имеет	2	1
479	эти пути	1	1
480	есть и	2	1
481	– совокупность	1	1
482	и особенно	1	1
483	одно из	6	1
484	и ее	7	1
485	в которые	1	1
486	явление и	1	1
487	у одних	1	1
488	особенно в	1	1
489	являются наиболее	1	1
490	взять на	1	1
491	в развитии	4	1
492	связаны с	2	1
493	совершенно ясно	1	1
494	из этой	2	1
495	в душе	13	1
496	и быть	1	1
497	философской и	1	1
498	никогда не	10	1
499	еще не	8	1
500	рождается и	1	1
501	она касается	1	1
