N	2gram	Berdyaev_M	RusskieA
1	и в	61	79
2	в том	9	64
3	том что	7	59
4	что в	12	57
5	т е	5	54
6	не только	42	41
7	во время	1	38
8	так как	10	34
9	в этом	34	33
10	как бы	10	31
11	но и	34	31
12	как и	14	28
13	и на	9	28
14	может быть	42	28
15	в этот	2	26
16	о том	5	23
17	и т	1	23
18	это не	10	20
19	е в	1	20
20	а в	4	20
21	все это	6	18
22	с тем	10	17
23	то что	10	17
24	вместе с	7	17
25	об этом	2	17
26	потому что	25	17
27	во многих	2	16
28	мы не	2	16
29	будто бы	3	15
30	один из	9	15
31	в них	5	14
32	и с	6	14
33	не менее	1	14
34	и что	4	14
35	и не	26	14
36	для нас	3	14
37	у нас	13	14
38	уже не	8	13
39	к этому	3	13
40	так что	3	13
41	в землю	1	13
42	и по	4	13
43	как в	9	13
44	в которых	5	13
45	еще не	1	13
46	не может	39	13
47	тем что	7	12
48	мы имеем	1	12
49	мы увидим	4	11
50	не имеет	7	11
51	но это	8	11
52	а на	1	11
53	что на	1	11
54	все же	2	10
55	его в	6	10
56	между тем	2	10
57	что и	6	10
58	в течение	1	10
59	так и	5	10
60	а также	1	10
61	и других	2	10
62	то же	4	9
63	о чем	3	9
64	что они	4	9
65	к жизни	1	9
66	с ней	3	9
67	и все	13	9
68	того как	3	9
69	земли и	1	9
70	но в	12	9
71	в русском	1	9
72	но не	8	9
73	одно из	3	8
74	в этих	6	8
75	так же	5	8
76	за руки	1	8
77	после этого	1	8
78	на себя	1	8
79	во всех	3	8
80	что это	5	8
81	подобно тому	2	8
82	их в	1	8
83	в россии	2	8
84	того чтобы	4	8
85	того что	13	8
86	ее в	1	8
87	не все	3	8
88	тому как	2	8
89	для того	4	8
90	в это	1	7
91	в своем	17	7
92	на них	1	7
93	к нему	8	7
94	не в	16	7
95	в свете	3	7
96	а с	1	7
97	было бы	11	7
98	только в	7	7
99	еще в	4	7
100	а не	36	7
101	до конца	16	7
102	ничего не	4	7
103	иногда и	1	7
104	и как	3	7
105	мы должны	1	7
106	как будто	4	7
107	в эти	1	7
108	пишет в	1	7
109	для этого	3	7
110	с собой	5	6
111	же как	1	6
112	к тому	6	6
113	не всегда	1	6
114	в одном	1	6
115	что она	5	6
116	после того	2	6
117	чем в	3	6
118	тому что	2	6
119	также в	2	6
120	на земле	7	6
121	и у	3	6
122	на этом	5	6
123	должны были	1	6
124	в этой	12	6
125	в нем	26	6
126	должен был	4	6
127	приводит к	2	6
128	и более	2	6
129	друг друга	12	6
130	в первый	1	6
131	в их	4	6
132	на нее	1	6
133	все эти	3	6
134	так в	1	6
135	а иногда	1	6
136	связаны с	1	6
137	она не	9	6
138	в новый	1	6
139	но она	3	6
140	и их	3	6
141	и о	1	6
142	и к	9	5
143	в разных	3	5
144	стоит в	3	5
145	только для	1	5
146	к земле	2	5
147	с этим	4	5
148	вопрос о	7	5
149	входит в	3	5
150	с другой	1	5
151	к ним	1	5
152	по поводу	1	5
153	с целью	1	5
154	не было	25	5
155	западной европе	1	5
156	земле и	2	5
157	мы уже	1	5
158	можно было	1	5
159	в последний	1	5
160	эту силу	1	5
161	и др	1	5
162	в то	2	5
163	прежде всего	18	5
164	нет никаких	2	5
165	его с	4	5
166	тогда когда	2	5
167	с ним	5	5
168	для них	3	5
169	что он	16	5
170	то и	1	5
171	в свою	5	5
172	к себе	3	5
173	но если	4	5
174	видел в	1	5
175	и для	7	5
176	тот же	1	5
177	в его	10	5
178	вывод что	1	5
179	на самом	2	5
180	за этим	1	5
181	и потому	17	5
182	не с	1	5
183	вплоть до	1	5
184	во всем	5	4
185	только тогда	1	4
186	не столько	1	4
187	как они	1	4
188	в своих	4	4
189	но все	1	4
190	во всяком	1	4
191	в котором	9	4
192	но эти	1	4
193	не что	4	4
194	в глаза	1	4
195	в отличие	1	4
196	во всей	1	4
197	от них	1	4
198	и из	1	4
199	влияние на	1	4
200	что у	3	4
201	что иное	4	4
202	она в	1	4
203	как можно	1	4
204	но он	17	4
205	а за	2	4
206	не был	8	4
207	этот вопрос	1	4
208	природы и	1	4
209	но есть	1	4
210	могут быть	2	4
211	и от	3	4
212	означает что	3	4
213	многие другие	1	4
214	и здесь	6	4
215	та же	4	4
216	они и	3	4
217	если в	2	4
218	и другим	1	4
219	не на	1	4
220	так называемый	2	4
