N	3gram	Tiupa_Anal	UchenyiS
1	в конечном счете	5	4
2	не может быть	2	4
3	с другой стороны	7	3
4	в то же	7	3
5	то же время	7	3
6	и то что	2	2
7	в том что	12	2
8	в противном случае	2	2
9	в самом деле	1	2
10	не могут быть	1	2
11	до сих пор	1	2
12	хотя бы и	1	2
13	тех или иных	1	2
14	а между тем	1	2
15	в конце концов	1	2
16	в этом отношении	3	2
17	по крайней мере	5	2
18	в этом смысле	1	2
19	и в этой	1	2
20	в эстетический объект	1	1
21	эстетического объекта в	1	1
22	и т.д в	1	1
23	сам по себе	2	1
24	в искусстве от	1	1
25	так или иначе	5	1
26	которые могли бы	1	1
27	между тем в	2	1
28	не только к	2	1
29	бы это было	1	1
30	по себе еще	1	1
31	с одной стороны	3	1
32	можно сказать что	2	1
33	как нам представляется	2	1
34	не в том	1	1
35	не только в	5	1
36	и прежде всего	2	1
37	в данном случае	11	1
38	само по себе	1	1
39	и в итоге	1	1
40	в отдельности и	1	1
41	в этом случае	1	1
42	в частности с	1	1
