N	3gram	Potebnia_M	Problema
1	тем не менее	7	56
2	о том что	5	39
3	в том что	22	37
4	и т д	5	33
5	то же самое	3	30
6	в настоящее время	1	30
7	в данном случае	3	28
8	по крайней мере	8	26
9	во всяком случае	3	25
10	с другой стороны	4	25
11	с точки зрения	2	25
12	в таком случае	2	23
13	сам по себе	9	21
14	сама по себе	3	21
15	и то что	3	20
16	на то что	3	19
17	в этом смысле	2	19
18	для того чтобы	5	17
19	то есть в	1	17
20	в то же	8	17
21	то что мы	3	15
22	до сих пор	4	14
23	не что иное	1	14
24	что иное как	1	14
25	в этом случае	2	14
26	ничего общего с	1	13
27	это значит что	1	13
28	сами по себе	3	13
29	на самом деле	4	13
30	не есть ни	4	13
31	не может быть	7	12
32	так или иначе	1	12
33	и в этом	1	12
34	можно сказать что	3	12
35	в то время	7	12
36	то время как	3	12
37	дело в том	1	11
38	есть не что	1	11
39	или по крайней	2	11
40	бы то ни	1	11
41	с одной стороны	4	11
42	и тем самым	1	10
43	не только не	4	10
44	вместе с тем	5	10
45	более или менее	6	10
46	только то что	1	10
47	не только в	4	10
48	по этому поводу	1	9
49	не есть только	1	9
50	что же касается	1	9
51	то и другое	3	9
52	не говоря уже	1	9
53	в сравнении с	1	9
54	может быть и	1	9
55	только в том	5	8
56	может быть только	4	8
57	потому что он	3	8
58	только тогда когда	11	8
59	заключается в том	1	8
60	говоря уже о	1	7
61	а может быть	2	7
62	но в таком	1	7
63	когда мы говорим	1	7
64	к тому же	1	7
65	но и в	4	7
66	так же и	1	7
67	но никак не	2	7
68	только потому что	5	7
69	для нас не	1	7
70	и как бы	2	6
71	в самом деле	1	6
72	и то же	7	6
73	так и в	2	6
74	те или другие	1	6
75	то что в	2	6
76	в буквальном смысле	2	6
77	то есть не	4	6
78	и в других	1	6
79	то ни было	1	6
80	в том смысле	6	6
81	есть прежде всего	2	6
82	на первый взгляд	1	6
83	в этом отношении	2	6
84	само по себе	6	6
85	по себе а	4	5
86	в собственном смысле	2	5
87	хотя бы и	1	5
88	только о том	1	5
89	в чем не	1	5
