N	3gram	Bakhtin_Pr	EvropaiC
1	в том что	3	16
2	до сих пор	1	15
3	по отношению к	19	11
4	с точки зрения	6	8
5	а между тем	1	8
6	на то что	1	7
7	для того чтобы	2	7
8	на самом деле	3	7
9	по сравнению с	1	5
10	в самом деле	3	5
11	не может быть	11	4
12	тем не менее	3	4
13	с другой стороны	4	4
14	о которых мы	1	4
15	начало и конец	2	4
16	может быть и	1	4
17	в том же	2	3
18	которых идет речь	1	3
19	в настоящее время	1	3
20	таким образом в	1	3
21	о которых идет	1	3
22	то ни было	2	3
23	в данном случае	4	3
24	в связи с	1	3
25	бы то ни	3	3
26	в том и	1	2
27	в свою очередь	1	2
28	в нашем случае	1	2
29	и может быть	1	2
30	несмотря на то	1	2
31	не более как	1	2
32	как и в	1	2
33	а следовательно и	1	2
34	в то время	1	2
35	в то же	3	2
36	в высшей степени	5	2
37	в своем целом	1	2
38	с одной стороны	3	2
39	то же время	3	2
40	и в том	1	2
41	проч все эти	2	1
42	это имеет место	1	1
43	точки зрения одной	1	1
44	а рядом с	1	1
45	широком смысле слова	1	1
46	все то что	3	1
47	то есть в	1	1
48	только по отношению	4	1
49	в общей борьбе	1	1
50	ставит его в	1	1
51	в этом направлении	1	1
52	становится как бы	1	1
53	в целом в	1	1
54	том и в	1	1
55	та или иная	1	1
56	что все они	1	1
57	и в другом	1	1
58	культуре не только	1	1
59	не есть ли	1	1
60	и к культуре	1	1
61	ее нет в	1	1
62	во всех отношениях	1	1
63	еще не вполне	1	1
64	и в нем	3	1
65	есть ли это	1	1
66	служить базой для	1	1
67	художественное произведение и	1	1
68	не в том	1	1
69	как в его	1	1
70	в значительной своей	1	1
71	говоря уже о	1	1
72	не говоря уже	1	1
73	чем тот который	1	1
74	хотя и не	1	1
75	прямого отношения к	1	1
76	в самом широком	1	1
77	культуры и в	1	1
78	и с точки	1	1
79	в других областях	1	1
80	дело в том	1	1
81	иметь в виду	1	1
82	смысле этого слова	1	1
83	не во всех	2	1
84	что все эти	1	1
85	в лучшем случае	2	1
86	между тем как	5	1
87	что по отношению	1	1
88	можно было бы	3	1
89	и от всех	1	1
90	если бы все	1	1
91	самом широком смысле	1	1
92	которые могут быть	1	1
93	а в том	1	1
94	в нем не	1	1
95	хотя бы в	1	1
96	может быть признана	1	1
97	и проч в	3	1
98	все они довольно	1	1
99	то же самое	2	1
100	и проч все	3	1
101	и проч но	3	1
102	к тому что	1	1
103	но если так	1	1
104	идет речь в	1	1
105	таким образом и	1	1
106	образом и в	1	1
107	в равной мере	1	1
108	находить в них	1	1
109	то время как	1	1
110	этой области между	1	1
111	в другом случае	1	1
112	и не может	2	1
113	в этом последнем	1	1
114	именно в том	1	1
