N	2gram	Bakhtin_KF	Retstnzi
1	не может	29	4
2	и в	28	3
3	один из	2	2
4	нуждаются в	1	1
5	несмотря на	1	1
6	может быть	45	1
7	не только	5	1
8	точки зрения	13	1
9	с точки	10	1
10	может не	2	1
11	к историческому	2	1
12	для него	13	1
13	первая часть	1	1
14	подхода к	2	1
15	в ней	3	1
16	права и	1	1
17	в каждом	3	1
18	не из	2	1
19	методически не	1	1
20	оторвано от	1	1
21	на месте	1	1
22	можно и	2	1
23	лучше всего	1	1
24	его от	1	1
25	если бы	8	1
26	конечно и	1	1
27	смысл и	6	1
28	в его	42	1
29	не менее	3	1
30	но и	9	1
31	мы видим	1	1
32	всех участников	1	1
33	к тому	1	1
34	во второй	1	1
35	тому что	2	1
36	и можно	1	1
37	в конкретном	1	1
38	в то	3	1
39	ни один	1	1
40	же время	2	1
41	то же	5	1
42	а не	17	1
43	нет и	3	1
44	и должно	1	1
45	в системе	1	1
46	и не	28	1
47	и все	9	1
48	и на	3	1
49	себя от	1	1
