N	2gram	Propp_Morf	VerxiiNi
1	и в	17	26
2	таким образом	26	22
3	с тем	2	18
4	в этом	18	15
5	точки зрения	7	13
6	как бы	6	12
7	в том	10	11
8	не только	8	10
9	и с	1	10
10	может быть	61	10
11	из этих	2	10
12	после смерти	1	10
13	что в	10	9
14	так как	20	9
15	связи с	12	9
16	но и	9	9
17	в области	1	9
18	и у	3	8
19	и не	16	8
20	как на	1	8
21	главным образом	5	8
22	с другой	9	8
23	но не	8	8
24	с одной	2	7
25	но все	4	7
26	связанные с	1	7
27	том что	7	7
28	потому что	7	7
29	одной стороны	2	7
30	а с	2	7
31	то что	10	7
32	но в	4	7
33	из них	4	7
34	к нему	3	7
35	так и	10	6
36	несмотря на	4	6
37	все это	2	6
38	что и	10	6
39	все эти	5	6
40	все же	9	6
41	к тому	5	6
42	о том	6	6
43	во всяком	2	6
44	всяком случае	2	6
45	мы должны	3	6
46	с точки	6	6
47	в себе	1	6
48	и к	4	5
49	до сих	1	5
50	в его	1	5
51	более или	2	5
52	в мире	1	5
53	не имеет	2	5
54	с другом	1	5
55	или менее	2	5
56	сих пор	1	5
57	того чтобы	4	5
58	для того	3	5
59	так же	4	5
60	отношение к	1	5
61	одной из	2	5
62	в силу	1	5
63	друг с	1	5
64	а не	11	5
65	и для	4	5
66	ничем не	2	4
67	и по	3	4
68	то же	10	4
69	из которых	5	4
70	только в	3	4
71	в этих	17	4
72	с другими	2	4
73	целый ряд	3	4
74	учение о	5	4
75	что он	5	4
76	в которых	2	4
77	в котором	1	4
78	в течение	1	4
79	и тогда	3	4
80	он не	5	4
81	и что	3	4
82	далеко не	5	4
83	а в	8	4
84	в этой	3	4
85	не может	19	4
86	что все	1	4
87	на этот	2	4
88	в виде	3	4
89	в то	4	4
90	и только	3	4
91	во время	6	4
92	и другие	6	3
93	на западе	1	3
94	с этой	3	3
95	и при	3	3
96	при этом	1	3
97	для него	2	3
98	религии в	1	3
99	что это	3	3
100	тем не	7	3
101	в качестве	8	3
102	индии в	1	3
103	в результате	8	3
104	связывается с	3	3
105	то с	3	3
106	и даже	2	3
107	если бы	3	3
108	в которой	3	3
109	с самого	1	3
110	в таком	1	3
111	случае не	4	3
112	в связи	10	3
113	ясно что	5	3
114	и как	6	3
115	но по	1	3
116	если в	7	3
117	не менее	7	3
118	к концу	1	3
119	путь к	2	3
120	и таким	2	3
121	в других	5	3
122	и нет	1	3
123	что эти	3	3
124	можно сказать	2	3
125	друг за	2	3
126	но с	2	3
127	хотя бы	5	3
128	представляет собой	17	3
129	так что	1	3
130	а после	1	3
131	точно так	2	3
132	в одном	2	3
133	оказывается что	1	3
134	большей частью	6	3
135	и те	1	3
136	не вполне	1	3
137	в рамках	1	3
138	отношению к	7	3
139	уже не	4	3
140	к этому	4	3
141	того что	3	3
142	бы то	3	2
143	такое положение	1	2
144	все что	1	2
145	для всех	1	2
146	один из	7	2
147	и здесь	7	2
148	ему в	1	2
149	и на	1	2
150	благодаря этому	3	2
151	только что	3	2
152	и заставляет	2	2
153	или по	2	2
154	мы имеем	19	2
155	не с	2	2
156	ни было	2	2
157	утверждать что	3	2
158	этом отношении	2	2
159	с тех	1	2
160	те же	1	2
161	не как	1	2
162	прежде всего	14	2
163	одно из	1	2
164	не могут	7	2
165	о превращениях	1	2
166	со всеми	1	2
167	в них	1	2
168	не потому	1	2
169	этой точки	1	2
170	не в	3	2
171	образом если	2	2
172	а также	7	2
173	в виду	1	2
174	в россии	2	2
175	одним из	2	2
176	мысль о	1	2
177	по существу	13	2
178	именно в	1	2
179	и действительно	1	2
180	очень много	2	2
181	можно назвать	3	2
182	к другу	2	2
183	одновременно и	1	2
184	основано на	1	2
185	никем не	1	2
186	по своему	2	2
187	приводит к	3	2
188	на все	1	2
189	только для	2	2
190	о котором	1	2
191	ничего общего	1	2
192	в эту	1	2
193	так например	3	2
194	еще не	4	2
195	во всех	6	2
196	ко всему	1	2
197	мы можем	5	2
198	уже давно	1	2
199	некоторые из	3	2
200	больше чем	1	2
201	что мы	2	2
202	если не	1	2
203	так называемой	1	2
204	его не	1	2
205	надо было	1	2
206	на друга	2	2
207	то ни	3	2
208	между тем	5	2
209	в свою	1	2
210	не всегда	10	2
211	раз она	1	2
212	быть и	2	2
213	связана с	3	2
214	и больше	2	2
215	всех других	2	2
216	на пути	4	2
217	так чтобы	1	2
218	тем и	2	2
219	вслед за	5	2
220	и это	1	2
221	в начале	3	2
222	превращается в	2	2
223	же время	1	2
224	самого начала	1	2
225	или иное	1	2
226	состоит в	3	2
227	друг на	2	2
228	же самое	1	2
229	может ли	1	2
230	он в	1	2
231	тех пор	1	2
232	сказать что	4	2
233	которые в	1	2
234	них не	1	2
235	в образе	6	2
236	или иной	1	2
237	но если	10	2
238	оно является	1	2
239	что именно	2	2
240	на то	3	2
241	из этого	1	2
242	с его	3	2
243	в создании	1	2
244	что о	2	2
245	этого облика	1	2
246	и все	1	2
247	тот же	1	2
248	и наконец	1	2
249	той или	1	2
250	вплоть до	1	2
251	с того	3	2
252	в другое	1	2
253	его можно	1	2
254	из этой	1	2
255	грань между	1	2
256	в той	1	1
257	и помощником	1	1
258	заставляет его	2	1
259	принимаются за	1	1
260	к началу	4	1
261	то в	3	1
262	если вообще	1	1
263	этого и	1	1
264	не так	2	1
265	в свое	2	1
266	нему в	1	1
267	а потому	2	1
268	во втором	7	1
269	следует упомянуть	1	1
270	то они	2	1
271	постольку поскольку	1	1
272	мы видим	15	1
273	могут рассматриваться	1	1
274	что с	1	1
275	собой и	1	1
276	можно говорить	1	1
277	и этот	2	1
278	которым он	1	1
279	та же	3	1
280	свою очередь	1	1
281	друг к	2	1
282	только те	1	1
283	они не	3	1
284	может не	2	1
285	этой области	1	1
286	данном случае	2	1
287	что такое	3	1
288	в момент	1	1
289	живое существо	2	1
290	вероятно что	1	1
291	с толку	1	1
292	первом случае	3	1
293	конечно чтобы	1	1
294	должно быть	1	1
295	того как	2	1
296	три категории	1	1
297	время и	1	1
298	как к	1	1
299	за исключением	1	1
300	его с	1	1
301	страха перед	1	1
302	следует сказать	1	1
303	смысле слова	4	1
304	из таких	2	1
305	сказки в	3	1
306	стороны они	1	1
307	при таких	1	1
308	это не	6	1
309	он как	1	1
310	по очереди	2	1
311	дело с	1	1
312	и далее	1	1
313	и менее	1	1
314	обращаются с	3	1
315	части которые	1	1
316	а и	3	1
317	но такой	1	1
318	то для	1	1
319	от неба	1	1
320	имеется и	1	1
321	пор как	1	1
322	представляют собой	16	1
323	определить в	1	1
324	а ведь	1	1
325	которым они	1	1
326	особенности этого	1	1
327	который можно	1	1
328	это уже	3	1
329	кроме того	3	1
330	о чем	1	1
331	в сущности	3	1
332	в ее	1	1
333	две основные	1	1
334	если прибавить	1	1
335	как раз	1	1
336	что так	1	1
337	такое же	1	1
338	которых каждый	1	1
339	которые по	1	1
340	и за	2	1
341	выбор и	1	1
342	части одной	1	1
343	элементами и	1	1
344	происходит с	2	1
345	у нас	3	1
346	на которой	1	1
347	это и	3	1
348	два раза	5	1
349	ни в	3	1
350	и делает	1	1
351	о происхождении	2	1
352	этого момента	3	1
353	борьбы с	1	1
354	то не	1	1
355	неба до	1	1
356	другой стороны	5	1
357	эти явления	1	1
358	как нечто	1	1
359	не является	4	1
360	с собой	3	1
361	таком случае	1	1
362	песнь в	1	1
363	совершенно иное	1	1
364	у него	2	1
365	за это	1	1
366	в их	1	1
367	под этим	1	1
368	в данном	2	1
369	его в	4	1
370	совершенно ясно	1	1
371	только он	1	1
372	чем в	2	1
373	в своих	2	1
374	чтобы в	1	1
375	как эти	2	1
376	вообще же	1	1
377	не более	1	1
378	самом деле	4	1
379	от тех	1	1
380	в первом	5	1
381	и некоторые	1	1
382	как видно	1	1
383	прибавить к	1	1
384	всегда легко	1	1
385	других подобных	1	1
386	к чему	3	1
387	некоторые другие	1	1
388	как по	1	1
389	прежде чем	5	1
390	уже очень	1	1
391	есть величина	1	1
392	их и	1	1
393	что его	4	1
394	совершенно особую	1	1
395	по одному	1	1
396	о характере	2	1
397	в особый	1	1
398	во внимание	1	1
399	здесь имеется	2	1
400	этим и	1	1
401	он посылает	1	1
402	но эта	1	1
403	это мы	2	1
404	оно есть	1	1
405	которое в	1	1
406	одновременно с	1	1
407	может только	1	1
