N	3gram	Tiupa_Disk	NovoeSre
1	не может быть	5	4
2	подобно тому как	4	3
3	в наше время	4	3
4	лицом к лицу	2	3
5	в том и	1	2
6	вместе с тем	1	2
7	равно как и	1	2
8	в нем нет	1	2
9	в этом смысле	1	2
10	он не может	1	2
11	с одной стороны	12	2
12	с другой стороны	4	2
13	никогда не было	1	2
14	сами по себе	2	1
15	прежде всего как	1	1
16	в том что	18	1
17	не в том	3	1
18	в том случае	1	1
19	до сих пор	1	1
20	еще не знает	1	1
21	хотя и в	2	1
22	тому как в	1	1
23	в такой же	1	1
24	как будто бы	2	1
25	и потому что	1	1
26	по своей природе	3	1
27	не только потому	1	1
28	но для этого	1	1
29	том числе и	3	1
30	такой же мере	1	1
31	только потому что	1	1
32	не только в	2	1
33	для этого она	1	1
34	в большинстве случаев	2	1
35	в том чтобы	2	1
36	не было и	1	1
37	в отличие от	12	1
38	в значительной степени	3	1
39	о том что	8	1
40	и того же	4	1
41	обращение к богу	1	1
42	не могут быть	1	1
43	заключает в себе	1	1
44	в новое время	1	1
45	быть отнесены к	1	1
46	а не в	2	1
47	как и в	3	1
48	то что в	1	1
49	том случае если	1	1
50	не имеют никакого	1	1
51	но и потому	1	1
52	жизни с его	1	1
53	во всяком случае	2	1
54	та или иная	1	1
55	к одному из	1	1
56	в том числе	3	1
57	мира то что	1	1
58	еще не было	1	1
59	не должно быть	1	1
60	имея в виду	1	1
61	это и есть	1	1
62	по природе своей	6	1
63	и в большинстве	1	1
64	в известном смысле	1	1
65	в переходе от	1	1
66	ни в чем	1	1
67	и т.п так	1	1
68	и про себя	1	1
69	и не может	3	1
70	одного и того	4	1
