N	2gram	Berdyaev_O	Vvedenie
1	т е	4	40
2	в том	5	38
3	в этом	12	35
4	и в	19	35
5	может быть	11	30
6	том что	2	30
7	не только	11	26
8	для того	3	23
9	того чтобы	4	22
10	также и	1	20
11	не может	4	19
12	то что	5	19
13	потому что	9	18
14	со стороны	1	16
15	о том	3	16
16	так как	2	15
17	представляет собой	1	14
18	что в	4	13
19	в самом	5	13
20	и не	13	13
21	в нем	10	13
22	в его	7	12
23	того что	3	12
24	в ее	2	11
25	по себе	2	11
26	прежде всего	9	10
27	не в	11	10
28	вопрос о	10	10
29	но в	2	10
30	науки о	1	9
31	смысле этого	1	9
32	все же	2	9
33	но не	1	9
34	и как	1	9
35	в истории	2	9
36	это не	3	8
37	можно было	1	8
38	и то	2	7
39	смысле слова	1	7
40	как и	6	7
41	самом деле	1	7
42	но и	13	7
43	в разных	1	7
44	было бы	3	7
45	о природе	3	7
46	как бы	3	7
47	один из	1	6
48	все это	6	6
49	не могут	3	6
50	его в	2	6
51	на этот	1	6
52	тем что	2	6
53	с тем	2	6
54	а именно	1	6
55	и это	1	6
56	вовсе не	1	6
57	уже не	1	6
58	и даже	1	6
59	хотя бы	3	6
60	и что	1	6
61	как например	1	6
62	сказать что	2	6
63	могут быть	3	6
64	и его	4	6
65	а в	5	6
66	а потому	1	5
67	уже в	2	5
68	хотя и	2	5
69	что и	2	5
70	в виду	1	5
71	с их	1	5
72	в них	1	5
73	дело в	1	5
74	что не	4	5
75	не есть	2	5
76	что он	3	5
77	одно из	2	5
78	от этого	1	5
79	во всяком	1	5
80	так что	2	5
81	а не	11	5
82	как это	1	5
83	есть не	1	5
84	всяком случае	1	5
85	в центре	1	4
86	любовь к	2	4
87	этом отношении	1	4
88	о чем	1	4
89	в себе	3	4
90	должен был	2	4
91	особого рода	1	4
92	в одном	1	4
93	в котором	1	4
94	заключается в	1	4
95	и ее	3	4
96	в своей	2	4
97	да и	1	4
98	сравнению с	1	4
99	еще не	3	4
100	не имеет	2	4
101	в каждом	1	4
102	и заключается	1	4
103	даже и	2	4
104	по сравнению	1	4
105	связана с	1	4
106	не вполне	1	4
107	истории и	1	4
108	и для	2	4
109	само по	1	4
110	из них	1	4
111	и к	2	3
112	в свое	1	3
113	и здесь	1	3
114	и на	2	3
115	того как	1	3
116	и вот	3	3
117	что это	1	3
118	в сущности	1	3
119	говорит о	1	3
120	знания в	1	3
121	в отношении	1	3
122	в этих	3	3
123	чем в	2	3
124	если бы	1	3
125	себе что	1	3
126	и сам	1	3
127	строгом смысле	1	3
128	в силу	1	3
129	за собой	1	3
130	в конце	1	3
131	по содержанию	1	3
132	как в	1	3
133	нисколько не	1	3
134	бы и	1	3
135	и других	1	3
136	все эти	4	3
137	и есть	3	3
138	что же	2	3
139	в другом	2	3
140	в строгом	1	3
141	совсем не	2	3
142	в ней	1	3
143	и тогда	1	3
144	в частности	1	3
145	со всей	1	3
146	не с	1	3
147	может служить	1	3
148	в этой	5	3
149	от того	1	3
150	отношение к	5	3
151	вообще и	1	3
152	до конца	7	3
153	в своем	2	3
154	что она	1	3
155	одна из	1	3
156	как будто	1	3
157	он сам	4	3
158	к этому	2	3
159	нуждается в	1	3
160	к нему	3	3
161	никогда не	9	3
162	ближе к	1	2
163	во всем	1	2
164	так и	2	2
165	что они	2	2
166	после того	1	2
167	ни с	7	2
168	об обществе	1	2
169	собой в	1	2
170	должна быть	1	2
171	мы не	1	2
172	вопросу о	1	2
173	ни к	1	2
174	учение о	2	2
175	и был	1	2
176	он и	1	2
177	природе и	1	2
178	которой в	1	2
179	и из	2	2
180	мысли и	3	2
181	сам по	1	2
182	после этого	1	2
183	о которой	2	2
184	него в	5	2
185	у нас	1	2
186	говорит он	1	2
187	в своих	3	2
188	не было	9	2
189	что нет	1	2
190	есть лишь	4	2
191	и с	2	2
192	будто бы	1	2
193	это есть	1	2
194	романов достоевского	2	2
195	жизни и	1	2
196	науку о	1	2
197	например в	1	2
198	и без	1	2
199	существует между	1	2
200	и вопрос	1	2
201	другом месте	1	2
202	себе и	1	2
203	дело что	1	2
204	и чем	1	2
205	и потому	2	2
206	а с	1	2
207	не существует	1	2
208	не могли	2	2
209	ничего не	2	2
210	в отношениях	1	2
211	в этот	2	2
