N	4gram	Tiupa_Narr	slovoVRo
1	в то же время	7	18
2	той или иной степени	1	13
3	в той или иной	1	13
4	и в то же	2	6
5	с одной стороны и	1	4
6	и т п все	1	3
7	одно и то же	2	3
8	с этой точки зрения	1	2
9	не для того чтобы	1	2
10	и то же слово	1	2
11	и не может быть	2	2
12	имеет дело не с	1	2
13	ни в чем не	1	2
14	в то время как	1	2
15	своего и чужого слова	2	2
16	того же национального языка	1	2
17	социального охвата с той	1	1
18	дело не с языком	1	1
19	будущими и бывшими языками	1	1
20	происходит напряженное взаимодействие и	1	1
21	напряженное взаимодействие и борьба	1	1
22	высказывания происходит напряженное взаимодействие	1	1
23	языки более или менее	1	1
24	взаимодействие и борьба своего	1	1
25	языковыми парвеню бесчисленными претендентами	1	1
26	в языки более или	1	1
27	широтою социального охвата с	1	1
28	в том случае если	1	1
29	и борьба своего и	1	1
30	в нем не только	1	1
31	и т п не	1	1
32	язык как разноречивое становление	1	1
33	большей или меньшей широтою	1	1
34	кишащее будущими и бывшими	1	1
35	языковыми аристократами языковыми парвеню	1	1
36	с большей или меньшей	1	1
37	языками отмирающими чопорными языковыми	1	1
38	чопорными языковыми аристократами языковыми	1	1
39	дело в том что	2	1
40	территории почти каждого высказывания	1	1
41	охвата с той или	1	1
42	почти каждого высказывания происходит	1	1
43	становление кишащее будущими и	1	1
44	аристократами языковыми парвеню бесчисленными	1	1
45	смысловых и ценностных кругозора	1	1
46	или иной идеологической сферой	1	1
47	бесчисленными претендентами в языки	1	1
48	удачливыми с большей или	1	1
49	по отношению к себе	1	1
50	разноречивое становление кишащее будущими	1	1
51	в связи с этим	1	1
52	претендентами в языки более	1	1
53	более или менее удачливыми	1	1
54	отмирающими чопорными языковыми аристократами	1	1
55	исторически реален язык как	1	1
56	два смысловых и ценностных	1	1
57	иной идеологической сферой применения	1	1
58	в том числе и	1	1
59	и бывшими языками отмирающими	1	1
60	или менее удачливыми с	1	1
61	в герое нашего времени	1	1
62	меньшей широтою социального охвата	1	1
63	парвеню бесчисленными претендентами в	1	1
64	бывшими языками отмирающими чопорными	1	1
65	дело не только в	2	1
66	реален язык как разноречивое	1	1
67	менее удачливыми с большей	1	1
68	бы то ни было	1	1
69	на территории почти каждого	1	1
70	же как и в	1	1
71	как сопротивление или поддержка	1	1
72	он не может быть	1	1
73	в зависимости от социального	1	1
74	каждого высказывания происходит напряженное	1	1
75	с той или иной	2	1
76	борьба своего и чужого	1	1
77	или меньшей широтою социального	1	1
78	как разноречивое становление кишащее	1	1
79	той или иной идеологической	1	1
