N	4gram	Vygotskiy_	KulturaY
1	той мере в какой	2	7
2	в той мере в	3	7
3	можно было бы сказать	1	6
4	с этой точки зрения	7	5
5	не говоря уже о	1	5
6	состоит в том что	7	4
7	было бы сказать что	1	4
8	одного и того же	8	4
9	заключается в том что	10	4
10	но для того чтобы	1	3
11	а с другой стороны	2	3
12	и вместе с тем	1	3
13	в том что он	3	3
14	в тех случаях когда	1	3
15	в том смысле что	1	2
16	которую можно было бы	1	2
17	не что иное как	2	2
18	одной и той же	3	2
19	в собственном смысле слова	1	2
20	один и тот же	5	2
21	устной и письменной речью	1	1
22	что он в своем	1	1
23	по отношению к таким	1	1
24	в том и в	1	1
25	будет видно из дальнейшего	1	1
26	до самого последнего времени	1	1
27	чтобы ответить на этот	1	1
28	но не до конца	1	1
29	в одном ряду с	1	1
30	когда мы говорим что	2	1
31	том и в другом	1	1
32	и в другом отношении	1	1
33	все более и более	3	1
34	сводится к тому чтобы	1	1
35	сводится в сущности к	1	1
36	есть в сущности говоря	1	1
37	одно и то же	1	1
38	он имеет в виду	1	1
39	письменной речи в письменной	1	1
40	ничего не говорит нам	1	1
41	собственном смысле этого слова	1	1
42	уже по одному тому	2	1
43	в том что мы	1	1
44	ответить на этот вопрос	1	1
45	как это часто бывает	1	1
46	является то обстоятельство что	1	1
47	в то время как	4	1
48	такое положение при котором	1	1
49	до того как он	1	1
50	что для того чтобы	1	1
51	после того как ему	1	1
52	в связи с этим	1	1
53	и приводит к положению	1	1
54	мере в какой они	1	1
55	только в том что	2	1
56	но во всяком случае	1	1
57	то же самое что	2	1
58	по отношению к синтаксису	1	1
59	и в другом случае	2	1
60	не сказал бы что	1	1
61	можно было бы назвать	1	1
62	свидетельствуют о том что	1	1
63	во всяком случае все	1	1
64	это можно было бы	1	1
65	мы имеем в виду	1	1
66	в этом смысле можно	1	1
67	несмотря на то что	2	1
68	не то что он	1	1
69	в самом деле как	1	1
70	бы то ни было	1	1
71	этой точки зрения мы	1	1
72	задолго до того как	1	1
73	ответ на этот вопрос	2	1
74	из того факта что	1	1
75	по одному тому что	2	1
76	в этом последнем случае	1	1
77	но в той мере	1	1
78	потому что оно имеет	1	1
79	остановиться на нем подробнее	1	1
80	только в той мере	1	1
81	для того чтобы понять	1	1
82	есть не что иное	2	1
