N	3gram	Nazirov_Tv	VelikijI
1	о великом инквизиторе	3	4
2	за то что	1	3
3	в первый раз	1	3
4	к тому что	1	3
5	и т д	10	2
6	в том что	8	2
7	легенда о великом	3	2
8	добра и зла	2	2
9	это еще не	1	2
10	все тот же	1	2
11	не в силах	1	2
12	так и в	2	1
13	тем что они	1	1
14	в мистический смысл	1	1
15	для человека и	1	1
16	т д и	1	1
17	никогда не было	2	1
18	в конце концов	1	1
19	в изображении достоевского	1	1
20	отказаться от свободы	1	1
21	вместе с тем	1	1
22	не совместима с	1	1
23	человека в его	1	1
24	так ли это?	1	1
25	всех на земле	1	1
26	это одна из	1	1
27	ивана карамазова и	2	1
28	вот в чем	1	1
29	как и в	2	1
30	и что в	1	1
31	по крайней мере	4	1
32	д и т	1	1
33	не могут быть	2	1
34	то и другое	1	1
35	хотя бы и	1	1
36	не верит что	1	1
37	отпадения от бога	1	1
38	в мире и	1	1
39	как это случилось	1	1
40	с другой стороны	2	1
41	в известном смысле	2	1
42	с такой силой	1	1
43	к небытию в	1	1
44	бы то ни	1	1
45	и в этом	1	1
46	что он был	1	1
