N	2gram	Vinokur_Vv	Dialekti
1	не есть	5	181
2	т е	40	159
3	и не	13	120
4	и т	45	82
5	по себе	11	79
6	а не	5	78
7	и в	35	77
8	т д	39	75
9	точки зрения	12	72
10	может быть	30	71
11	не только	26	66
12	значит что	1	61
13	то что	19	59
14	и есть	3	55
15	это значит	1	54
16	ничего не	2	54
17	не может	19	53
18	и даже	6	47
19	с точки	4	46
20	что это	3	46
21	есть нечто	1	46
22	так как	15	46
23	потому что	18	45
24	не просто	5	44
25	как бы	7	43
26	и что	6	42
27	не имеет	4	41
28	вовсе не	6	41
29	в том	38	40
30	в этом	35	39
31	то же	11	39
32	что такое	12	39
33	что она	3	38
34	это есть	2	38
35	в себе	4	38
36	что он	5	37
37	том что	30	37
38	прежде всего	10	37
39	так что	5	36
40	это не	8	36
41	она есть	5	35
42	что в	13	34
43	в нем	13	34
44	и все	1	33
45	того что	12	33
46	но и	7	32
47	ясно что	11	31
48	все это	6	31
49	сказать что	6	30
50	и как	9	30
51	было бы	7	29
52	так и	2	29
53	как и	7	28
54	никогда не	3	27
55	в виду	5	26
56	крайней мере	4	26
57	не в	10	26
58	по крайней	4	26
59	сама по	3	26
60	есть и	5	26
61	говорить о	5	25
62	учение о	2	25
63	и то	7	25
64	есть только	2	25
65	есть не	5	25
66	но это	2	24
67	если бы	3	24
68	таким образом	21	23
69	в то	6	23
70	это и	1	23
71	что оно	2	23
72	и вот	3	23
73	но что	3	22
74	что не	5	21
75	в чем	4	21
76	должна быть	2	21
77	и с	2	20
78	о том	16	20
79	что и	5	20
80	что все	1	20
81	в таком	1	20
82	только в	16	20
83	в каком	3	20
84	совершенно не	1	20
85	только тогда	1	20
86	уже не	6	20
87	как раз	4	20
88	и вообще	3	20
89	в самом	13	19
90	не менее	9	19
91	не существует	2	19
92	в своем	3	19
93	как же	1	19
94	и это	6	19
95	как это	5	19
96	тогда когда	4	19
97	что мы	2	19
98	и его	6	19
99	же время	6	18
100	хотя бы	6	18
101	не что	5	18
102	с другой	8	18
103	что иное	5	18
104	что же	3	18
105	жизни и	2	18
106	иное как	6	18
107	в особенности	4	17
108	можно сказать	4	17
109	в сущности	3	17
110	той или	3	17
111	должно быть	2	17
112	он есть	1	17
113	но если	6	17
114	кроме того	1	16
115	то это	3	16
116	одно и	2	16
117	к нему	3	16
118	тем не	9	16
119	или не	1	16
120	сам по	2	16
121	само по	4	16
122	в своей	4	16
123	да и	4	16
124	мы не	2	16
125	об этом	6	16
126	другими словами	1	16
127	только что	4	15
128	все же	9	15
129	так же	3	15
130	то в	1	15
131	несмотря на	2	15
