N	4gram	Medvedev_U	KulturaY
1	в то же время	3	6
2	большей или меньшей степени	1	3
3	в большей или меньшей	1	3
4	не в том что	1	3
5	и в то же	1	2
6	так или иначе связанные	1	1
7	никогда не может быть	1	1
8	в том что она	1	1
9	все же остается в	1	1
10	с другой стороны в	1	1
11	то же самое что	1	1
12	же в самом деле	1	1
13	в этом случае он	1	1
14	мы имеем в виду	1	1
15	в этом смысле можно	1	1
16	бы то ни было	3	1
17	является с одной стороны	1	1
18	еще ничего не значит	1	1
19	или иначе связанные с	1	1
