N	2gram	Losev_Prob	Marksizm
1	точки зрения	17	69
2	может быть	11	64
3	и в	48	63
4	и не	29	55
5	как бы	10	53
6	не может	6	47
7	с точки	13	46
8	и его	11	41
9	в этом	31	39
10	таким образом	20	38
11	как мы	5	32
12	не только	28	29
13	то же	6	28
14	в нем	8	28
15	но и	21	27
16	связи с	11	25
17	самом деле	3	25
18	в самом	7	24
19	как и	10	24
20	прежде всего	15	24
21	только в	21	23
22	так и	15	23
23	в том	25	22
24	то что	26	22
25	а не	7	22
26	при этом	6	20
27	для него	2	20
28	если мы	2	20
29	не в	16	19
30	если бы	2	19
31	том что	29	19
32	в его	19	19
33	в ее	6	18
34	и для	11	18
35	но в	17	18
36	вовсе не	18	18
37	все же	12	17
38	в сущности	1	17
39	и чужой	1	16
40	по отношению	2	16
41	ни было	2	16
42	слова и	1	16
43	и как	10	16
44	в то	6	16
45	с помощью	2	15
46	во всех	2	15
47	в связи	11	15
48	отнюдь не	14	15
49	что он	12	15
50	же время	1	15
51	отношению к	2	15
52	в данном	6	14
53	хотя бы	11	14
54	в контексте	1	14
55	в смысле	8	14
56	в своей	29	13
57	так же	7	13
58	то ни	4	13
59	что в	12	13
60	и здесь	1	13
61	не является	2	13
62	того чтобы	3	13
63	было бы	12	13
64	ничего не	3	13
65	мы не	7	13
66	для того	4	12
67	того же	7	12
68	бы то	4	12
69	в результате	11	12
70	между тем	2	12
71	он не	4	12
72	является не	2	12
73	а в	8	12
74	не столько	1	11
75	к нему	3	11
76	мы уже	2	11
77	и что	9	11
78	и от	7	11
79	в немецком	1	11
80	до сих	3	11
81	и на	9	11
82	и все	12	11
83	как в	3	11
84	еще не	4	11
85	друг друга	1	11
86	так как	10	11
87	на самом	2	11
88	все эти	12	11
89	в ней	4	11
90	сих пор	3	11
91	именно в	11	10
92	во всяком	7	10
93	самого начала	3	10
94	с другой	8	10
95	сказать что	13	10
96	к этому	2	10
97	никогда не	7	10
98	в своем	16	10
99	его в	9	10
100	в таком	4	10
101	в каждом	2	10
102	здесь мы	2	10
103	в большинстве	1	10
104	совершенно не	1	10
105	конечно не	2	10
106	с его	3	10
107	здесь в	7	10
108	и потому	4	10
109	с самого	3	10
110	бытия в	1	10
111	быть и	1	9
112	к тому	7	9
113	только на	2	9
114	в нашем	5	9
115	в себе	7	9
116	большинстве случаев	2	9
117	и следовательно	1	9
118	и это	3	9
119	а как	2	9
120	мы видели	2	9
121	что это	4	9
122	ни в	17	9
123	не имеет	3	9
124	и более	3	9
125	отношении к	1	9
126	это не	8	9
127	в истории	1	9
128	одной из	5	9
129	же самое	2	9
130	кроме того	5	8
131	не как	3	8
132	другой стороны	8	8
133	и даже	24	8
134	и с	10	8
135	на этой	2	8
136	настоящее время	7	8
137	что и	8	8
138	у него	13	8
139	не было	4	8
140	что не	3	8
141	тому что	2	8
142	ясно что	11	8
143	мы можем	5	8
144	или же	2	8
145	не будет	4	8
146	в форме	1	8
147	за пределы	1	8
148	столь же	1	8
149	в отношении	8	8
150	сводится к	1	8
151	в каком	1	8
152	к другому	5	8
153	перед нами	14	8
154	в свою	4	8
155	в настоящее	7	8
156	с этим	3	8
157	у нас	17	8
158	в их	4	8
159	и их	7	8
160	в науке	2	8
161	и ее	2	8
162	или иной	4	8
163	на то	2	8
164	от него	1	7
165	следует что	1	7
166	в этих	3	7
167	в котором	5	7
168	и те	1	7
169	свою очередь	2	7
170	он сам	3	7
171	те же	1	7
172	нашей работы	1	7
173	как раз	7	7
174	в качестве	9	7
175	бы в	2	7
176	в этой	14	7
177	могут быть	2	7
178	там где	1	7
179	с ними	1	7
180	на основе	1	7
181	по себе	5	7
182	до конца	4	7
183	о том	17	7
184	того что	8	7
185	в начале	6	7
186	далеко не	6	7
187	в той	5	6
188	науки о	1	6
189	является в	1	6
190	точном смысле	1	6
191	от одного	4	6
192	в корне	2	6
193	уже не	12	6
194	входит в	1	6
195	одной стороны	5	6
196	в другом	6	6
197	в различных	1	6
198	с одной	5	6
199	с другими	1	6
200	здесь же	1	6
201	не есть	3	6
202	всяком случае	6	6
203	этот вопрос	1	6
204	с ее	1	6
205	то есть	38	6
206	смысле слова	12	6
207	в единстве	1	6
208	от своего	1	6
209	ничего общего	6	6
210	тем же	4	6
211	для всего	2	6
212	тот же	6	6
213	он и	5	6
214	все это	8	6
215	сознания и	1	6
216	в какой	5	6
217	лишь с	1	6
218	вопрос о	2	6
219	как ее	1	6
220	мы должны	1	6
221	из этих	2	6
222	же в	4	6
223	не к	3	6
224	еще более	4	5
225	формы в	1	5
226	о чем	2	5
227	в одном	6	5
228	в виду	3	5
229	что слово	1	5
230	не менее	8	5
231	был бы	2	5
232	как на	1	5
233	от того	1	5
234	по преимуществу	2	5
235	должно быть	1	5
236	что такое	1	5
237	xix века	1	5
238	все время	5	5
239	объективной точки	1	5
240	от этого	4	5
241	в двух	1	5
242	лишь для	1	5
243	жизни в	7	5
244	и у	8	5
245	той или	5	5
246	но как	3	5
247	в целях	3	5
248	и тем	4	5
249	и является	6	5
250	в конце	10	5
251	то в	4	5
252	для себя	6	5
253	вместе с	15	5
254	да и	5	5
255	так называемая	2	5
256	и вот	1	5
257	ее в	2	5
258	хотя и	10	5
259	из него	1	5
260	в душе	1	5
261	в более	1	5
262	значение в	1	5
263	отражает и	1	5
264	этом отношении	4	5
265	то мы	1	5
266	таком случае	2	5
267	или в	7	5
268	но не	12	5
269	тем более	2	5
270	она не	1	5
271	в особенности	1	5
272	и к	9	4
273	же и	2	4
274	только что	2	4
275	в них	5	4
276	но все	6	4
277	тем что	2	4
278	к другой	2	4
279	он был	5	4
280	говорит что	1	4
281	перед ним	1	4
282	точке зрения	2	4
283	во всей	1	4
284	из них	4	4
285	едва ли	13	4
286	что они	4	4
287	и он	5	4
288	она и	2	4
289	именно для	4	4
290	несмотря на	7	4
291	что все	1	4
292	в которой	7	4
293	одним из	1	4
294	что она	2	4
295	но для	2	4
296	в других	5	4
297	но к	2	4
298	для его	1	4
299	в устах	1	4
300	стремится к	1	4
301	в работе	1	4
302	и речи	2	4
303	к этим	1	4
304	так что	18	4
305	всех других	1	4
306	в тех	2	4
307	из этого	6	4
308	его к	2	4
309	от нее	2	4
310	не могут	3	4
311	со всеми	5	4
312	себя с	1	4
313	можно назвать	2	4
314	к его	5	4
315	эта последняя	2	4
316	нет ничего	3	4
317	бы и	1	4
318	именно на	2	4
319	и до	2	4
320	что здесь	8	4
321	нет и	3	4
322	мог бы	2	4
323	но именно	2	4
324	только при	1	4
325	и то	6	4
326	нас не	3	4
327	уже в	4	4
328	не будем	3	4
329	это и	4	4
330	можно сказать	10	4
331	слова но	2	4
332	как она	1	4
333	или даже	4	4
334	к своему	3	4
335	в одной	2	4
336	он ни	1	4
337	каких бы	1	4
338	другими словами	3	4
339	как он	2	4
340	в каких	3	4
341	одного из	1	4
342	и самого	3	4
343	жизни и	7	4
344	и прежде	2	4
345	в области	3	4
346	нуждается в	2	4
347	что было	1	3
348	однако и	1	3
349	даже в	2	3
350	не сможет	1	3
351	в своих	3	3
352	форму и	2	3
353	с тем	7	3
354	является для	3	3
355	на первый	1	3
356	в дальнейшем	7	3
357	первым и	1	3
358	в действительности	1	3
359	или вернее	4	3
360	мы увидим	1	3
361	даже и	11	3
362	в этот	4	3
363	всегда и	2	3
364	момент в	1	3
365	с ним	4	3
366	какое бы	1	3
367	все его	1	3
368	но более	1	3
369	князя мышкина	1	3
370	здесь нет	4	3
371	к себе	1	3
