N	2gram	Trubetskoy	Mirosoze
1	и в	26	97
2	может быть	10	64
3	не только	10	63
4	в этом	15	55
5	но и	9	54
6	он не	4	53
7	а не	5	53
8	в нем	4	49
9	не может	4	49
10	у него	1	47
11	и не	8	39
12	никогда не	5	38
13	в ней	1	37
14	потому что	7	37
15	не было	2	36
16	не в	2	34
17	и есть	1	33
18	для него	3	31
19	не есть	1	30
20	человека в	1	30
21	как и	1	29
22	прежде всего	2	29
23	в мире	5	27
24	но в	7	27
25	человека и	1	26
26	в своей	1	25
27	и это	2	25
28	и все	2	24
29	у нас	1	24
30	в своем	3	23
31	что в	9	23
32	что он	4	22
33	в самом	4	21
34	бога и	4	20
35	в себе	6	20
36	отношение к	5	20
37	в россии	2	19
38	как бы	12	19
39	в его	5	18
40	любви к	1	17
41	того что	3	17
42	и потому	6	17
43	том что	7	16
44	в том	11	16
45	на земле	1	16
46	то что	7	16
47	было бы	1	16
48	и его	1	16
49	в котором	4	15
50	не был	1	15
51	в этой	4	15
52	в конце	6	14
53	нет ничего	1	14
54	так как	9	14
55	русский народ	3	13
56	та же	1	13
57	и на	2	13
58	друг друга	1	13
59	в русском	2	13
60	в них	2	12
61	он сам	1	12
62	к нему	7	12
63	добра и	2	12
64	и у	8	12
65	но не	8	12
66	и зла	1	12
67	смысле слова	1	12
68	это не	1	12
69	все это	6	12
70	и к	5	11
71	с тем	18	11
72	уже не	3	11
73	хотя бы	3	11
74	в которой	3	11
75	только в	4	11
76	как в	1	11
77	но это	1	11
78	и для	5	11
79	жизни и	2	11
80	то же	4	10
81	так же	5	10
82	чем у	1	10
83	один из	2	10
84	не могут	2	10
85	не имеет	5	10
86	это и	1	10
87	связана с	2	10
88	в самой	2	10
89	есть не	1	10
90	все что	2	9
91	к тому	6	9
92	должно быть	1	9
93	что и	6	9
94	то есть	4	9
95	с ним	1	9
96	русского народа	3	9
97	вместе с	15	9
98	в свою	2	9
99	и во	1	9
100	бы и	1	9
101	а в	4	9
102	лишь в	5	9
103	в этих	4	8
104	и с	10	8
105	тем что	1	8
106	в христианстве	1	8
107	о том	6	8
108	себя в	1	8
109	жизнь в	1	8
110	не так	1	8
111	в отношении	6	8
112	нет в	1	8
113	бог и	1	8
114	того чтобы	5	8
115	человек должен	2	8
116	с его	2	8
117	ничего не	1	8
118	они не	1	8
119	уже в	2	8
120	мира и	1	8
121	для того	5	8
122	что человек	1	7
123	если он	1	7
124	не существует	1	7
125	в нашем	1	7
126	что все	4	7
127	точки зрения	13	7
128	все в	1	7
129	те же	2	7
130	чем в	1	7
131	что она	1	7
132	на этом	1	7
133	от нее	1	7
134	в жизни	1	7
135	отношения к	1	7
136	он в	2	7
137	но если	2	7
138	русский человек	1	7
139	к другу	2	6
140	с этой	3	6
141	не как	2	6
142	к концу	3	6
143	и нет	3	6
144	было в	1	6
145	на пути	2	6
146	людей и	2	6
147	и те	3	6
148	этого мира	1	6
149	когда человек	2	6
150	прийти к	1	6
151	его в	1	6
152	к чему	1	6
153	у них	3	6
154	совсем не	1	6
155	по своей	2	6
156	вера в	1	6
157	чтобы не	1	6
158	и от	4	6
159	и здесь	2	6
160	друг к	1	6
161	что это	3	6
162	или к	1	6
163	это есть	1	6
164	если бы	3	6
165	в которых	4	6
166	к людям	1	6
167	в образе	2	6
168	в ее	1	6
169	того как	1	6
170	должен был	4	6
171	и более	1	6
