N	2gram	Potebnia_M	FransuaR
1	и в	58	367
2	то есть	69	209
3	в этом	18	112
4	и не	34	101
5	таким образом	21	100
6	и его	7	99
7	в его	7	98
8	прежде всего	8	92
9	не только	32	87
10	мы уже	1	85
11	но и	26	84
12	как бы	12	82
13	все эти	3	79
14	вовсе не	13	77
15	как и	16	76
16	в нем	26	75
17	но в	12	75
18	и на	8	72
19	и др	1	72
20	в том	38	71
21	как мы	3	71
22	то же	13	66
23	и все	6	66
24	в них	7	65
25	в этой	3	65
26	так и	17	65
27	и с	3	64
28	в сущности	2	64
29	в то	6	63
30	во время	5	63
31	во всех	12	62
32	все это	3	62
33	же время	4	55
34	что в	34	52
35	в своем	3	51
36	только в	36	48
37	так как	29	46
38	и до	1	46
39	том что	21	45
40	то что	24	41
41	у него	3	40
42	жизни и	3	40
43	в самом	5	38
44	точки зрения	8	37
45	в ней	9	37
46	с его	3	36
47	о том	6	35
48	может быть	47	35
49	мы видим	5	35
50	сказать что	5	34
51	и даже	4	34
52	в себе	22	34
53	рядом с	3	32
54	мы видели	5	32
55	тела в	2	32
56	он не	4	32
57	для него	13	32
58	связаны с	1	31
59	в своей	3	31
60	так же	7	30
61	но он	3	30
62	один из	2	30
63	потому что	89	30
64	той же	3	30
65	и потому	7	30
66	никогда не	7	30
67	тела и	2	30
68	в духе	1	29
69	в одном	13	29
70	еще не	9	29
71	связи с	6	29
72	в этих	10	29
73	что он	5	29
74	не может	30	29
75	в особенности	1	29
76	при этом	17	29
77	его в	3	29
78	не в	23	29
79	из них	2	28
80	всех этих	2	28
81	в той	1	28
82	и другие	1	27
83	сих пор	5	27
84	до сих	5	27
85	все же	11	27
86	роль в	1	27
87	и их	6	27
88	в условиях	1	26
89	все они	3	26
90	на самом	2	25
91	в области	1	25
92	но это	7	25
93	но не	19	24
94	например в	4	24
95	в ее	2	24
96	и у	3	24
97	и от	5	24
98	как в	18	24
99	того чтобы	4	24
100	времени и	3	24
101	в большинстве	1	24
102	отношение к	1	24
103	большинстве случаев	1	23
104	так сказать	5	23
105	и здесь	1	23
106	с ним	7	23
107	и для	8	23
108	в их	3	23
109	к нему	2	23
110	это не	10	23
111	еще и	1	23
112	даже в	1	22
113	не было	7	22
114	а в	11	22
115	тем что	15	22
116	что и	16	22
117	и других	6	22
118	там где	8	22
119	поэтому и	1	22
120	вместе с	12	22
121	и во	6	22
122	связь с	2	22
123	и о	3	22
124	в своих	4	21
125	именно в	2	21
126	в отношении	1	21
127	уже в	5	21
128	и как	11	21
129	есть в	4	21
130	одним из	2	21
131	в себя	2	21
132	что это	5	21
133	ни в	2	21
134	в виду	2	20
135	в связи	2	20
136	и это	3	20
137	этом отношении	1	20
138	с точки	4	20
139	в образе	1	20
140	они были	1	20
141	самом деле	2	20
142	во всем	5	19
143	их в	2	19
144	к этому	3	19
145	в эту	2	19
146	того же	13	19
147	за пределы	4	19
148	было бы	21	19
149	с ее	2	19
150	с другой	13	19
151	хотя и	6	19
152	далеко не	4	19
153	мы находим	3	18
154	на мир	1	18
155	со всеми	1	18
156	здесь не	2	18
157	одна из	4	18
158	превращается в	2	18
159	весь мир	1	18
160	на этом	3	18
161	связанные с	3	18
162	перед нами	1	18
163	для того	8	17
164	конечно не	1	17
165	в результате	1	17
166	можно было	1	17
167	связанных с	1	17
168	на его	1	17
169	такой же	4	17
170	еще более	2	17
171	но все	4	17
172	того что	15	17
173	а не	38	17
174	в другом	3	16
175	влияние на	4	16
176	с одной	7	16
177	между ними	2	16
178	между тем	7	16
179	тот же	5	16
180	в начале	2	16
181	начала и	1	16
182	ничего не	2	16
183	они не	5	16
184	дело в	3	16
185	не подлежит	1	16
186	мысли и	9	15
187	в которой	5	15
188	не были	2	15
189	никто не	3	15
190	из этих	8	15
191	с их	1	15
192	и вообще	5	15
193	одно из	5	15
194	как на	5	15
195	в нашем	2	15
196	не мог	3	15
197	в первой	1	15
198	еще в	1	15
199	в истории	8	15
200	в самой	5	15
201	страха и	1	15
202	и прежде	1	15
203	и образ	2	14
204	в котором	5	14
205	в чем	6	14
206	образом в	5	14
207	и по	8	14
208	мы не	17	14
209	в xviii	1	14
210	на них	1	14
211	здесь только	1	14
212	все что	5	14
213	в данном	1	14
214	несмотря на	5	14
215	слов и	5	14
216	в более	4	14
217	и сам	1	13
218	с этим	11	13
219	во все	2	13
220	что все	4	13
221	его к	3	13
222	на все	5	13
223	в одной	2	13
224	в жизни	5	13
225	одной стороны	6	13
226	здесь нет	1	13
227	отличие от	1	13
228	в мире	3	13
229	в других	6	13
230	бы в	6	13
231	и есть	4	13
232	в последующих	1	13
233	только на	4	13
234	не на	3	13
235	мир и	1	13
236	этот процесс	1	13
237	или в	4	13
238	так в	4	13
239	это было	3	13
240	как он	5	13
241	более того	1	13
242	другой стороны	7	12
243	во всей	1	12
244	те же	4	12
245	главным образом	4	12
246	и ее	1	12
247	та же	1	12
248	начиная с	2	12
249	о нем	1	12
250	у нас	3	12
251	место в	3	12
252	из всех	1	12
253	только для	7	12
254	можно сказать	1	12
255	в творчестве	1	12
256	по своей	2	12
257	не могут	10	12
258	он в	1	12
259	все то	2	12
260	лишь в	2	12
261	об этом	1	12
262	мы слышим	1	12
263	зрения на	1	11
264	так например	5	11
265	уже не	4	11
266	что они	6	11
267	и что	13	11
268	в общем	1	11
269	того как	12	11
270	в течение	2	11
271	наконец в	1	11
272	в отличие	1	11
273	из этого	2	11
274	телесной жизни	1	11
275	тело и	1	11
276	были в	1	11
277	очень часто	1	11
278	и миром	2	11
279	это уже	1	11
280	и так	1	11
281	с ними	2	11
282	и более	3	11
283	слова и	7	11
284	ни с	2	11
285	между собою	10	11
286	он говорит	1	11
287	в заключение	1	11
288	существенное значение	1	10
289	по отношению	15	10
290	на котором	1	10
291	все его	2	10
292	на земле	1	10
293	все остальные	9	10
294	что для	5	10
295	его как	1	10
296	поэтому в	1	10
297	и они	2	10
298	да и	1	10
299	но оно	3	10
300	в таких	2	10
301	человека и	2	10
302	для всех	6	10
303	нас в	2	10
304	там же	9	10
305	к тому	5	10
306	даже и	4	10
307	на этот	2	10
308	значительной степени	3	10
309	к которому	5	10
310	здесь как	1	10
311	ту же	1	10
312	образом и	2	10
313	в процессе	1	10
314	им в	1	10
315	во второй	1	10
316	в целом	3	10
317	в разных	2	9
318	с образом	1	9
319	как это	1	9
320	в тех	1	9
321	значение и	4	9
322	но на	3	9
323	в которых	2	9
324	о котором	4	9
325	не понимает	2	9
326	и вся	1	9
327	как к	1	9
328	это как	1	9
329	же в	7	9
330	что на	9	9
331	жизнью и	1	9
