N	3gram	Ircho_Kome	Mirosoze
1	не может быть	1	28
2	в том что	15	9
3	а не в	1	9
4	для того чтобы	8	7
5	в высшей степени	2	7
6	и в этом	1	6
7	вместе с тем	5	6
8	о том что	7	6
9	там и здесь	3	6
10	и там и	3	6
11	до сих пор	12	5
12	в отношении к	1	5
13	что и в	2	5
14	но и в	1	5
15	мы увидим что	1	5
16	не было бы	1	5
17	к человеку и	1	5
18	после того как	3	5
19	отношение к человеку	1	5
20	что он не	3	4
21	по отношению к	4	4
22	его отношение к	1	4
23	потому что в	2	4
24	в конце концов	3	4
25	и в самом	7	4
26	на то что	1	4
27	в то время	3	4
28	потому что он	1	4
29	можно было бы	1	4
30	то время как	3	4
31	один из самых	1	4
32	как будто бы	1	3
33	потому что она	1	3
34	том что он	1	3
35	и никогда не	1	3
36	к тому что	1	3
37	так как он	2	3
38	по сравнению с	3	3
39	и ничего не	1	3
40	так же как	1	3
41	во всяком случае	3	3
42	что она не	1	2
43	с тем он	1	2
44	не только в	1	2
45	нет ничего кроме	1	2
46	он не может	1	2
47	ни у кого	2	2
48	сходить с ума	1	2
49	именно потому что	2	2
50	в чем не	2	2
51	том что в	1	2
52	из любви к	1	2
53	в нем не	1	2
54	на то чтобы	1	2
55	и не может	1	2
56	мы еще вернемся	1	2
57	он не только	1	2
58	так и не	1	2
59	сам не знает	1	2
60	тем что он	1	2
61	подобно тому как	1	2
62	все равно что	1	2
63	т е в	2	2
64	как бы в	1	2
65	в этом отношении	2	2
66	ни в чем	2	2
67	и не знает	1	2
68	в этот момент	1	1
69	в самом начале	1	1
70	мере в какой	1	1
71	а может быть	1	1
72	и эта мысль	1	1
73	не было в	1	1
74	своего дома и	1	1
75	с утра до	1	1
76	в той мере	1	1
77	и т п	4	1
78	времени потому что	1	1
79	она должна быть	1	1
80	во всех его	1	1
81	как можно более	1	1
82	не знает что	1	1
83	должно было бы	1	1
84	в самом деле	13	1
85	о чем они	2	1
86	в ней как	1	1
87	у него в	1	1
88	лишь средством для	1	1
89	всю свою жизнь	1	1
90	к которой мы	1	1
91	все что у	1	1
92	но и он	1	1
93	друг на друга	1	1
94	он был и	1	1
95	что у него	1	1
96	любви к человеку	1	1
97	а от нее	1	1
98	в центре внимания	1	1
99	если же нет	1	1
100	и до того	1	1
101	друг с другом	3	1
102	в себе самом	1	1
103	он не хочет	1	1
104	что он в	2	1
105	речь идет о	3	1
106	в зависимости от	1	1
107	с его стороны	1	1
108	вместо того чтобы	1	1
109	самого бога и	1	1
110	и тем самым	1	1
111	не похож на	2	1
112	и его судьба	1	1
113	в отличие от	3	1
114	тех случаях когда	1	1
115	той мере в	1	1
116	отрекается от своей	1	1
117	ко всем и	1	1
118	ли в этом	1	1
119	но подобно тому	1	1
120	он в самом	1	1
121	одной из сторон	1	1
122	с тобой а	1	1
123	у него не	1	1
124	с другой стороны	2	1
125	себе путь к	1	1
126	там не останется	1	1
127	отрезает себе путь	1	1
128	и в том	1	1
129	со своей стороны	1	1
130	его в своем	1	1
131	берет на себя	2	1
132	в той же	1	1
133	и речи о	3	1
134	ставит нас перед	1	1
135	в тех случаях	1	1
136	он так же	1	1
137	сих пор не	2	1
138	должен был быть	1	1
139	при дневном свете	1	1
140	за то что	1	1
141	в которой все	1	1
142	по существу своему	1	1
143	он должен быть	1	1
144	к ней в	1	1
145	это не так	1	1
146	с точки зрения	6	1
147	с того что	1	1
148	в чем же	2	1
149	выходят за пределы	2	1
150	знать друг друга	1	1
151	которой мы еще	1	1
152	чем они будут	1	1
153	имеем в виду	2	1
154	лицом к лицу	1	1
155	вместе с человеком	1	1
156	в то же	11	1
157	трудно было бы	1	1
158	до тех пор	5	1
159	и несмотря на	1	1
160	так как будто	1	1
161	для этого он	1	1
162	на этот счет	2	1
163	что и у	1	1
164	то же время	11	1
165	выходит из себя	2	1
166	и вот наконец	1	1
167	но все равно	1	1
168	от нее к	1	1
169	мы имеем в	2	1
170	одного к другому	1	1
171	от одного к	1	1
172	если он не	1	1
173	сомневаться в том	1	1
174	и в свою	2	1
175	не без основания	1	1
176	утра до вечера	1	1
177	сам он не	1	1
178	и все же	2	1
179	он не похож	1	1
180	и сам он	2	1
181	на земле и	1	1
182	одной стороны он	1	1
183	не выдержала испытания	1	1
184	все тем же	1	1
185	бы это ни	1	1
186	живет в атмосфере	1	1
187	в нем и	1	1
188	с одной стороны	4	1
189	сама по себе	1	1
190	если бы не	1	1
191	нас в этом	1	1
