N	3gram	Potebnia_M	UchenyiS
1	не может быть	11	4
2	то ни было	1	3
3	с другой стороны	7	3
4	бы то ни	2	3
5	в то же	3	3
6	то же время	3	3
7	на каждом шагу	1	2
8	в том что	18	2
9	в противном случае	3	2
10	не могут быть	5	2
11	до сих пор	5	2
12	а между тем	5	2
13	в этом отношении	1	2
14	но даже и	1	2
15	по крайней мере	6	2
16	в этом смысле	4	2
17	и в этой	1	2
18	быть не может	2	1
19	у нас в	1	1
20	есть язык в	1	1
21	не может обойтись	2	1
22	сам по себе	5	1
23	очевидно что и	1	1
24	в данное время	1	1
25	между тем в	2	1
26	лишь настолько насколько	2	1
27	или по крайней	2	1
28	же время не	1	1
29	с тем что	4	1
30	не только к	1	1
31	по себе еще	1	1
32	и независимо от	2	1
33	с одной стороны	6	1
34	что все они	1	1
35	в ней не	1	1
36	случае пришлось бы	1	1
37	не было бы	3	1
38	творчества то и	1	1
39	группы и в	1	1
40	не в том	6	1
41	и не только	1	1
42	на то что	3	1
43	противном случае пришлось	1	1
44	чем то что	1	1
45	не только в	3	1
46	более или менее	6	1
47	если не исключительно	1	1
48	но это не	2	1
49	само по себе	6	1
50	по себе известное	1	1
51	все же не	1	1
52	это было бы	2	1
