N	2gram	Tiupa_Narr	Otkroven
1	у него	4	22
2	и в	19	19
3	и не	20	13
4	но и	23	13
5	в этом	17	12
6	человека в	2	11
7	а не	12	11
8	не только	32	11
9	не в	14	11
10	может быть	25	11
11	и все	2	10
12	в нем	4	10
13	потому что	1	9
14	прежде всего	4	9
15	не было	2	9
16	в самой	1	9
17	никогда не	3	9
18	и он	3	8
19	нет ничего	1	7
20	от него	1	7
21	ни с	1	7
22	в его	9	7
23	он не	3	7
24	но он	1	7
25	лишь в	1	7
26	человек не	1	7
27	как и	7	6
28	в самом	1	5
29	достоевского и	1	5
30	в том	18	5
31	для него	2	5
32	в этой	5	5
33	а в	11	5
34	отношение к	2	5
35	в россии	1	5
36	о его	1	5
37	то что	11	5
38	что в	3	4
39	не может	10	4
40	человеческих отношений	1	4
41	что не	4	4
42	в самую	2	4
43	человек и	1	4
44	все эти	2	4
45	на земле	1	4
46	и его	5	4
47	он сам	2	4
48	его мысли	1	4
49	с его	6	4
50	в русской	1	3
51	и от	1	3
52	хотя бы	4	3
53	это за	1	3
54	это не	2	3
55	с ним	1	3
56	мысли и	1	3
57	когда он	3	3
58	быть может	2	3
59	не могут	1	3
60	как бы	4	3
61	было бы	4	3
62	могут быть	3	3
63	в себе	8	3
64	и есть	2	3
65	что он	6	3
66	никто не	1	3
67	различие между	2	3
68	это было	1	3
69	и ее	2	3
70	о том	6	3
71	того что	2	3
72	к нему	5	3
73	еще не	7	3
74	всего в	1	2
75	человека к	1	2
76	и к	1	2
77	как к	2	2
78	и потому	2	2
79	так и	9	2
80	что они	3	2
81	и то	1	2
82	человека есть	1	2
83	все же	7	2
84	что у	2	2
85	никогда и	1	2
86	не могли	1	2
87	за все	1	2
88	к ней	1	2
89	уже в	3	2
90	в другом	1	2
91	совсем не	1	2
92	в своем	2	2
93	не все	5	2
94	одно из	2	2
95	что и	1	2
96	с богом	1	2
97	и богаче	1	2
98	от самого	1	2
99	в уста	1	2
100	его в	2	2
101	должен был	1	2
102	мысль о	1	2
103	и с	4	2
104	и там	1	2
105	частью в	1	2
106	было для	1	2
107	сказать что	4	2
108	тем что	3	2
109	легенда о	1	2
110	и на	3	2
111	с чем	2	2
112	что все	1	2
113	ничего не	2	2
114	хотя и	3	2
115	не есть	3	2
116	все еще	1	2
117	жизни в	3	2
118	по себе	5	2
119	не имеет	2	2
120	о любви	1	2
121	том что	14	2
122	и для	2	2
123	в ее	3	2
124	своей жизни	1	2
125	но в	6	2
126	чтобы сделать	1	1
127	мире это	1	1
128	что было	1	1
129	к одному	1	1
130	чувствует и	1	1
131	не так	1	1
132	лет назад	1	1
133	его и	1	1
134	во внешнем	2	1
135	совершенно не	2	1
136	смерть и	1	1
137	все и	1	1
138	бытия как	1	1
139	над ними	1	1
140	а с	3	1
141	не существует	3	1
142	устремленного к	1	1
143	один из	3	1
144	в котором	1	1
145	и здесь	1	1
146	та же	2	1
147	он ни	1	1
148	мир в	1	1
149	они и	2	1
150	которых в	1	1
151	ней не	1	1
152	христа в	1	1
153	которым можно	2	1
154	знаменательно что	1	1
155	но о	3	1
156	жизни а	2	1
157	и пр	1	1
158	в первый	1	1
159	она не	2	1
160	должна быть	2	1
161	мы не	1	1
162	но еще	1	1
163	больше всего	1	1
164	это лишь	1	1
165	уровень его	1	1
166	также и	1	1
167	но не	6	1
168	это все	2	1
169	из жизни	1	1
170	не по	1	1
171	представляет собой	13	1
172	но всегда	1	1
173	быть не	1	1
174	быть осуществлено	1	1
175	не быть	1	1
176	в ней	3	1
177	это часто	1	1
178	уже отмечали	1	1
179	человека как	1	1
180	он видит	1	1
181	люди что	2	1
182	что это	3	1
183	которая его	1	1
184	до которой	2	1
185	и тогда	1	1
186	речи и	1	1
187	этом отношении	3	1
188	один человек	2	1
189	может служить	1	1
190	он и	1	1
191	о чем	2	1
192	сознания в	1	1
193	в свое	1	1
194	в сущности	3	1
195	действующих лиц	1	1
196	в судьбе	1	1
197	лучше сказать	1	1
198	сам по	1	1
199	его собственным	1	1
200	все основные	1	1
201	в частности	14	1
202	говорит о	2	1
203	как это	6	1
204	ни был	1	1
205	о нем	4	1
206	между двумя	5	1
207	и больше	1	1
208	не оставляет	1	1
209	но может	1	1
210	чего не	1	1
211	как у	1	1
212	идти в	1	1
213	распадается на	1	1
214	со стороны	9	1
215	и через	1	1
216	видеть в	1	1
217	не с	3	1
218	за собой	4	1
219	и ему	1	1
220	на самом	1	1
221	они в	2	1
222	у нас	1	1
223	можно было	2	1
224	же не	4	1
225	им самим	1	1
226	свете в	1	1
227	там и	1	1
228	и когда	2	1
229	и до	2	1
230	и пережил	1	1
231	есть уже	1	1
232	по своей	3	1
233	от того	1	1
234	человека с	1	1
235	цели и	1	1
236	в них	1	1
237	у нее	2	1
238	действующие лица	1	1
239	в форме	5	1
240	связь с	1	1
241	было и	1	1
242	прошел через	1	1
243	перед ним	1	1
244	что нет	2	1
245	не случайно	2	1
246	и даже	3	1
247	в чистом	1	1
248	все та	2	1
249	отрешиться от	1	1
250	он еще	1	1
251	если бы	1	1
252	самом деле	2	1
253	от всех	2	1
254	иногда и	1	1
255	и формы	1	1
256	и более	1	1
257	с ними	1	1
258	истории и	2	1
259	богаче чем	1	1
260	и сам	1	1
261	всегда в	1	1
262	будто бы	3	1
263	в виду	1	1
264	в силу	4	1
265	дело в	1	1
266	стремится к	1	1
267	в мир	1	1
268	и эта	1	1
269	в духовном	1	1
270	его как	2	1
271	отношения к	2	1
272	жизни как	3	1
273	одним словом	1	1
274	ключ к	2	1
275	от которой	1	1
276	но от	2	1
277	норме и	1	1
278	начиная с	1	1
279	бы он	1	1
280	в конце	1	1
281	в процессе	1	1
282	например в	2	1
283	в глазах	1	1
284	как от	1	1
285	и как	5	1
286	то в	6	1
287	все время	1	1
288	к его	1	1
289	есть не	1	1
290	а именно	3	1
291	жизни и	3	1
292	одна из	3	1
293	в мире	9	1
294	и прежде	1	1
295	который в	2	1
296	как в	7	1
297	этого слова	2	1
298	как будто	3	1
299	в совершенно	1	1
300	а иногда	2	1
301	от этого	1	1
302	за границу	3	1
303	нет у	2	1
304	нуждается в	5	1
305	отличается от	4	1
306	да и	4	1
307	друг с	1	1
308	его жизни	2	1
309	в новом	1	1
310	но это	1	1
311	лишь для	1	1
312	и после	2	1
313	и открывает	1	1
314	в это	1	1
315	чем и	1	1
316	с другом	1	1
317	которой в	1	1
318	героя из	2	1
319	любви и	1	1
320	внутренней жизни	1	1
321	типа есть	1	1
322	само по	1	1
323	жизни не	1	1
324	было не	1	1
325	из них	3	1
326	вовсе не	1	1
327	отличается в	1	1
328	что как	1	1
329	уже не	5	1
330	указать на	1	1
331	мировой истории	1	1
332	особенно в	3	1
333	мира в	5	1
334	со всеми	1	1
335	к другому	2	1
336	отметить что	1	1
