N	2gram	Voloshinov	Psycholo
1	то что	17	193
2	и в	28	190
3	в том	10	163
4	что в	7	123
5	потому что	4	114
6	том что	12	113
7	и что	6	108
8	может быть	28	107
9	таким образом	34	102
10	в этом	28	100
11	то есть	1	97
12	все время	4	86
13	в самом	12	82
14	как бы	19	80
15	для того	6	78
16	того чтобы	5	78
17	что он	12	76
18	не только	10	75
19	на то	1	73
20	и не	34	73
21	что она	5	71
22	самом деле	14	70
23	точки зрения	31	69
24	и т	1	69
25	не может	30	68
26	если мы	7	66
27	так же	4	63
28	так как	15	63
29	было бы	8	56
30	если бы	4	55
31	то же	12	54
32	о том	3	54
33	совершенно ясно	1	54
34	при этом	8	52
35	как и	13	51
36	что и	5	50
37	а не	9	50
38	что это	5	49
39	сказать что	11	46
40	по себе	4	46
41	только в	11	46
42	заключается в	5	46
43	к тому	6	45
44	в искусстве	3	45
45	не в	10	45
46	ясно что	2	43
47	в этой	7	43
48	показать что	1	43
49	никогда не	10	42
50	и все	13	42
51	вместе с	5	41
52	как это	5	40
53	но и	10	40
54	как раз	6	39
55	при помощи	2	39
56	того что	7	39
57	же самое	2	38
58	и это	1	37
59	мы видим	3	37
60	и как	3	36
61	с тем	1	35
62	вовсе не	16	34
63	как на	3	34
64	и его	22	34
65	тому что	5	33
66	все же	8	33
67	что все	7	33
68	когда он	3	33
69	в себе	7	32
70	все это	12	32
71	он не	10	31
72	мы не	9	31
73	в его	25	31
74	для нас	2	31
75	в ней	8	31
76	сейчас же	3	30
77	мы увидим	4	30
78	как будто	1	30
79	никак не	1	30
80	как в	4	30
81	с одной	2	29
82	в нас	2	29
83	и для	7	29
84	одной стороны	2	29
85	с точки	15	29
86	в нем	7	29
87	искусства в	1	29
88	увидим что	5	28
89	что они	1	28
90	и когда	1	28
91	мы можем	20	28
92	и то	3	28
93	что мы	3	28
94	в своих	5	27
95	в основе	6	27
96	и на	9	27
97	а в	8	27
98	с другой	2	27
99	все то	3	27
100	совершенно не	9	26
101	произведение искусства	2	26
102	художественной формы	2	25
103	и здесь	1	25
104	жизни и	7	25
105	до сих	3	24
106	с таким	2	24
107	до конца	7	24
108	тем что	1	24
109	и совершенно	1	24
110	в целом	4	24
111	в своем	4	23
112	сих пор	3	23
113	из этого	2	23
114	один из	10	23
115	что если	1	23
116	целый ряд	1	23
117	что оно	4	23
118	для этого	6	23
119	могут быть	9	23
120	с этим	8	22
121	из них	7	22
122	между тем	3	22
123	и даже	3	22
124	когда мы	2	22
125	т д	1	22
126	в котором	4	21
127	в двух	1	21
128	той же	5	21
129	в своей	14	21
130	ни в	12	21
131	в конце	2	21
132	что эта	1	21
133	но только	1	21
134	как мы	18	21
135	и вот	8	21
136	и только	6	21
137	в то	7	20
138	тот же	10	20
139	мы имеем	6	20
140	она не	6	20
141	дело с	1	20
142	на этом	8	20
143	там где	2	20
144	это не	5	20
145	все эти	15	20
146	в одном	3	19
147	что при	2	19
148	мы уже	10	19
149	в какой	3	19
150	мы должны	9	19
151	в ее	5	19
152	у него	4	19
153	в которой	5	18
154	можно было	1	18
155	но в	13	18
156	зависимости от	4	18
157	в каком	7	18
158	что с	2	18
159	на самом	6	18
160	но не	7	18
161	и есть	3	18
162	перед нами	1	18
163	есть не	1	18
164	в виду	4	17
165	во всяком	9	17
166	мы все	1	17
167	полагает что	1	17
168	время как	1	17
169	из этих	6	17
170	но это	4	17
171	одна из	4	17
172	только не	3	17
173	у нас	3	17
174	и о	6	17
175	и к	7	16
176	из которых	2	16
177	к этому	9	16
178	в психологии	4	16
179	та же	1	16
180	сводится к	4	16
181	говорит о	3	16
182	то это	1	16
183	самого начала	5	16
184	с самого	7	16
185	в таком	6	16
186	же как	2	16
187	и тем	2	16
188	чувства и	2	16
189	не имеет	2	16
190	формы и	3	16
191	так и	14	16
192	тому как	1	16
193	от того	5	16
194	в результате	3	15
195	в них	3	15
196	только на	4	15
197	во всех	13	15
198	мы знаем	11	15
199	как говорит	1	15
200	о которых	2	15
201	могли бы	2	15
202	не могут	7	15
203	и так	2	15
204	на примере	1	15
205	и потому	12	15
206	в зависимости	4	15
207	которых мы	2	15
208	утверждает что	3	15
209	далеко не	5	15
210	еще не	8	15
211	для него	12	15
212	не можем	6	15
213	в совершенно	3	14
214	хотя бы	7	14
215	одной и	3	14
216	и той	3	14
217	главным образом	4	14
218	к искусству	1	14
219	то время	1	14
220	это и	4	14
221	это только	4	14
222	прежде всего	26	14
223	что всякое	1	14
224	такой же	3	14
225	что на	1	14
226	эта теория	1	14
227	те же	9	14
228	в жизни	7	14
229	при таком	1	14
230	не то	2	14
231	этих двух	3	14
232	бы в	2	14
233	показывает что	1	14
234	должна быть	2	14
235	это есть	2	14
236	всяком случае	8	14
237	этом отношении	4	14
238	с той	1	14
239	или в	1	14
240	по существу	1	14
241	есть только	3	14
242	в области	4	14
243	с ним	14	14
244	именно в	4	13
245	точка зрения	15	13
246	а с	2	13
247	могла бы	1	13
248	отнюдь не	5	13
249	этот вопрос	4	13
250	знаем что	8	13
251	едва ли	4	13
252	и он	1	13
253	говорит он	1	13
254	как он	1	13
255	должен был	1	13
256	со стороны	5	13
257	и другие	2	12
258	в этих	5	12
259	их в	3	12
260	не менее	6	12
261	может служить	1	12
262	в основу	3	12
263	того же	3	12
264	в конечном	3	12
265	я не	4	12
266	тогда когда	2	12
267	сам по	4	12
268	в свою	6	12
269	и уже	2	12
270	но если	2	12
271	и этот	2	12
272	и может	4	12
273	конце концов	2	12
274	и очень	3	12
275	и с	10	12
276	например в	1	12
277	что по	1	12
278	что этот	1	12
279	к психологии	2	12
280	что его	1	12
281	и до	5	12
282	действия и	1	12
283	ничего не	5	12
284	об этом	7	12
285	мы воспринимаем	1	12
286	в нашей	2	12
287	конечном счете	3	11
288	понятно что	1	11
289	конечно не	10	11
290	не было	5	11
291	о смерти	1	11
292	не будет	1	11
293	мы видели	12	11
294	утверждать что	1	11
295	была бы	1	11
296	сравнению с	1	11
297	оба эти	1	11
298	по сравнению	1	11
299	и поэтому	2	11
300	но мы	6	11
301	на этот	3	11
302	как к	2	11
303	мы могли	2	11
304	уже в	3	11
305	мы никогда	2	11
306	на все	3	11
307	и других	1	11
308	отличие от	2	11
309	он должен	2	11
310	этой теории	4	11
311	исходя из	1	11
312	есть в	1	11
313	по поводу	5	11
314	его в	11	11
315	ли это	2	11
316	образом и	1	11
317	отдельного человека	1	11
318	этого слова	1	11
319	с его	9	11
320	думать что	2	11
321	на это	3	11
322	во всем	1	10
323	только из	1	10
324	в другом	4	10
325	смысл и	2	10
326	в тех	1	10
327	нам кажется	1	10
328	не так	3	10
329	именно на	1	10
330	данном случае	4	10
331	в их	2	10
332	с теми	1	10
333	в одной	2	10
334	противоречие с	2	10
335	отличается от	2	10
336	в данном	4	10
337	должно быть	2	10
338	в состоянии	2	10
339	по мнению	8	10
340	и у	7	10
341	но как	2	10
342	совсем не	6	10
343	все те	10	10
344	и от	3	10
345	мы в	3	10
346	здесь мы	1	10
347	не является	7	10
348	ее в	5	10
349	тому чтобы	3	10
350	это было	2	10
351	и между	2	10
352	и их	2	10
353	но что	1	9
354	мы найдем	1	9
355	не есть	2	9
356	так сказать	7	9
357	вопрос о	2	9
358	образом что	1	9
359	на него	4	9
360	что даже	1	9
361	внимание на	1	9
362	и следовательно	3	9
363	в чем	9	9
364	под влиянием	3	9
365	и та	2	9
366	мы будем	1	9
367	в него	2	9
368	с ее	4	9
369	бы не	1	9
370	его и	2	9
371	на основании	5	9
372	в отличие	2	9
373	ответ на	3	9
374	в виде	1	9
375	совершенно точно	1	9
376	по своему	4	9
377	и по	5	9
378	в самых	3	9
379	оказывается что	1	9
380	и ее	7	9
381	которые не	1	9
382	но все	2	9
383	мысль о	1	9
384	роль в	7	9
385	можно сказать	6	9
386	и другой	1	9
387	к чему	1	9
388	во внимание	1	9
389	мы говорили	2	9
390	ту же	1	9
391	если же	2	9
392	которое мы	1	9
393	каждого из	1	9
394	оно есть	1	9
395	который не	1	9
396	по этому	1	9
397	должен быть	2	9
398	и наконец	12	9
399	не к	2	9
400	себе и	3	8
401	жизни с	1	8
402	всех остальных	1	8
403	в сознании	3	8
404	будто бы	2	8
405	одно и	1	8
406	и тот	3	8
407	в общем	5	8
408	чувств и	7	8
409	художественного творчества	1	8
410	имеет дело	3	8
411	ни на	3	8
412	уже из	1	8
413	при анализе	3	8
414	что же	10	8
415	он в	2	8
416	тем же	3	8
417	заставляет его	1	8
418	такое же	2	8
419	о нем	2	8
420	смысле этого	1	8
421	в такой	2	8
422	бы совершенно	1	8
423	и таким	3	8
424	и вообще	4	8
425	и эта	1	8
426	которой мы	6	8
427	из всех	1	8
428	и другими	1	8
429	представление о	1	8
430	в собственном	4	8
431	меньше всего	1	8
432	целым рядом	1	8
433	точно и	1	8
434	и значение	2	8
435	с другом	1	8
436	согласиться с	3	8
437	гораздо более	1	8
438	по преимуществу	2	8
439	из того	2	8
440	чтобы понять	1	8
441	друг с	1	8
442	кажется что	1	8
443	содержания и	1	8
444	этом смысле	2	8
445	в нее	1	8
446	во время	6	8
447	к нему	9	8
448	в противоречие	1	8
449	в процессе	5	8
450	из которого	4	8
451	из области	1	8
452	относится к	2	8
453	и во	2	8
454	он может	1	8
455	бы и	2	8
456	жизнь и	1	8
457	иметь дело	1	8
458	которую мы	1	8
459	стороны и	1	8
460	только то	5	8
461	мысли и	4	7
462	не как	2	7
463	на которых	1	7
464	и там	1	7
465	к самому	1	7
466	от этого	2	7
467	во все	1	7
468	представляет собой	2	7
469	и те	5	7
470	свою очередь	4	7
471	она есть	1	7
472	она в	1	7
473	только при	2	7
474	связи с	1	7
475	больше и	2	7
476	в каждом	1	7
477	что такое	6	7
478	должны быть	4	7
479	в особенности	1	7
480	и при	3	7
481	имеет место	1	7
482	и дает	1	7
483	со всеми	5	7
484	они не	3	7
485	который он	1	7
486	в течение	2	7
487	только один	1	7
488	не существует	4	7
489	дело и	2	7
490	того или	1	7
491	но при	1	7
492	к которой	2	7
493	же в	1	7
494	все что	10	7
495	для всех	3	7
496	к этой	2	7
497	нас в	2	7
498	одно из	6	7
499	как они	1	7
500	если он	6	7
501	легче всего	2	7
502	которые мы	2	7
503	в руках	1	7
504	приходит к	1	7
505	в глаза	2	7
506	в нашем	3	7
507	о ней	1	7
508	и заставляет	1	7
509	время в	2	7
510	в качестве	2	7
511	и эти	1	7
512	на другой	2	7
513	однако мы	1	7
514	же мы	3	7
515	а как	3	7
516	психологической теории	3	7
517	психологии и	3	7
518	если это	3	7
519	себя и	4	7
520	этой трагедии	1	7
521	времени и	1	7
522	различие между	1	7
523	здесь в	6	7
524	а на	2	7
525	отказаться от	2	7
526	и которая	2	7
527	дело в	2	7
528	слова в	1	7
529	до самого	1	6
530	даже в	1	6
531	вот что	1	6
532	все дело	1	6
533	каким образом	1	6
534	полагают что	4	6
535	он был	3	6
536	только как	4	6
537	что вся	1	6
538	людей и	1	6
539	утверждал что	1	6
540	что как	2	6
541	к этим	2	6
542	эти три	2	6
543	рядом с	2	6
544	того и	1	6
545	в сторону	1	6
546	в русской	1	6
547	из него	3	6
548	обратимся к	2	6
549	образом в	2	6
