N	4gram	Vygotskiy_	Komedia
1	в то время как	5	9
2	бы то ни было	1	7
3	в том что он	1	4
4	один и тот же	6	3
5	едва ли можно сомневаться	1	3
6	в том числе и	3	3
7	сомневаться в том что	1	3
8	состоит в том что	4	2
9	с этой точки зрения	4	2
10	с одной стороны и	1	2
11	с их точки зрения	1	2
12	в том что в	3	2
13	одних и тех же	1	2
14	к одному и тому	5	2
15	можно сомневаться в том	1	2
16	ли можно сомневаться в	1	2
17	одному и тому же	5	2
18	и на этот раз	1	2
19	и в том что	1	1
20	не что иное как	2	1
21	в этом случае в	1	1
22	вперед по сравнению с	1	1
23	независимо друг от друга	1	1
24	шаг вперед по сравнению	1	1
25	по сравнению с тем	1	1
26	мы можем сказать что	1	1
27	он имеет в виду	1	1
28	и того же слова	1	1
29	представление о том что	1	1
30	и во всяком случае	2	1
31	до сих пор остается	1	1
32	вместе с тем мы	1	1
33	попадают в поле зрения	1	1
34	что он так же	2	1
35	которую можно было бы	1	1
36	как и во всех	1	1
37	в том что они	2	1
38	в том что эта	1	1
39	в связи с этим	2	1
40	в конце концов к	1	1
41	таким же образом как	1	1
42	в собственном смысле слова	3	1
43	только в том что	4	1
44	сомнения в том что	1	1
45	то же самое что	1	1
46	в основе его лежит	1	1
47	в самых общих чертах	1	1
48	то время как в	1	1
49	одного и того же	5	1
50	тот же что и	1	1
51	с одной стороны он	1	1
52	которые послужили основанием для	1	1
53	ничем не отличаются от	1	1
54	в том случае если	2	1
55	во всяком случае в	1	1
56	в том что она	1	1
57	он не мог не	1	1
58	огромный шаг вперед по	1	1
59	с другой стороны он	1	1
60	и тем самым создает	1	1
61	для того чтобы дать	1	1
62	по отношению ко всем	1	1
63	так же как и	6	1
64	как в случае с	1	1
65	одна и та же	1	1
66	в том виде как	3	1
67	с точки зрения ее	1	1
