N	2gram	Voloshinov	FransuaR
1	и в	16	367
2	в этом	9	112
3	и т.п	2	108
4	и не	4	101
5	таким образом	9	100
6	и его	8	99
7	в его	4	98
8	прежде всего	9	92
9	не только	7	87
10	мы уже	2	85
11	но и	4	84
12	как бы	5	82
13	все эти	5	79
14	вовсе не	1	77
15	как и	2	76
16	в нем	4	75
17	но в	4	75
18	в эпоху	1	75
19	и на	4	72
20	и др	3	72
21	в том	3	71
22	как мы	4	71
23	то же	2	66
24	и все	4	66
25	в них	2	65
26	в этой	4	65
27	так и	4	65
28	и с	8	64
29	в сущности	1	64
30	во время	3	63
31	во всех	3	62
32	все это	4	62
33	что в	3	52
34	только в	4	48
35	так как	4	46
36	том что	3	45
37	в году	1	44
38	то что	3	41
39	здесь в	1	41
40	у него	2	40
41	жизни и	3	40
42	в самом	2	38
43	точки зрения	8	37
44	в ней	1	37
45	с его	7	36
46	о том	2	35
47	он был	1	35
48	может быть	17	35
49	мы видим	2	35
50	сказать что	7	34
51	и даже	4	34
52	в конце	1	32
53	он не	2	32
54	для него	6	32
55	в своей	2	31
56	так же	2	30
57	один из	2	30
58	той же	1	30
59	и потому	3	30
60	никогда не	2	30
61	тела и	1	30
62	в духе	1	29
63	в одном	3	29
64	еще не	5	29
65	связи с	1	29
66	в этих	3	29
67	что он	2	29
68	не может	8	29
69	при этом	6	29
70	его в	4	29
71	и к	6	28
72	в основе	3	28
73	сих пор	3	27
74	до сих	3	27
75	в образах	1	27
76	все же	1	27
77	по своему	2	27
78	роль в	1	27
79	и их	4	27
80	образов в	1	26
81	на самом	4	25
82	в области	3	25
83	с помощью	2	25
84	и образы	2	25
85	но это	2	25
86	мира и	3	25
87	но не	1	24
88	того чтобы	1	24
89	времени и	1	24
90	в частности	2	24
91	в большинстве	3	24
92	отношение к	5	24
93	большинстве случаев	3	23
94	и здесь	1	23
95	с ним	2	23
96	и для	2	23
97	есть и	2	23
98	к нему	1	23
99	а в	3	22
100	что и	2	22
101	и других	2	22
102	поэтому и	2	22
103	вместе с	3	22
104	связь с	1	22
105	и о	2	22
106	в своих	1	21
107	культуры и	1	21
108	уже в	1	21
109	и как	3	21
110	есть в	2	21
111	в качестве	1	21
112	в себя	1	21
113	что это	2	21
114	ни в	5	21
115	и наконец	4	21
116	в виду	1	20
117	в связи	1	20
118	и это	6	20
119	этом отношении	1	20
120	образов и	2	20
121	с точки	6	20
122	как раз	1	20
123	самом деле	6	20
124	во всем	1	19
125	их в	3	19
126	к этому	2	19
127	в эту	1	19
128	того же	2	19
129	за пределы	2	19
130	было бы	2	19
131	с ее	4	19
132	с другой	1	19
133	на протяжении	2	19
134	хотя и	1	19
135	со всеми	2	18
136	конечно и	1	18
137	это и	1	18
138	одна из	1	18
139	весь мир	1	18
140	на этом	3	18
141	связанные с	2	18
142	это в	1	18
143	для того	1	17
144	конечно не	6	17
145	можно было	1	17
146	связанных с	2	17
147	на его	1	17
148	еще более	1	17
149	и вот	3	17
150	а не	1	17
151	в другом	1	16
152	с одной	1	16
153	между ними	3	16
154	тот же	1	16
155	в начале	2	16
156	в свете	1	16
157	вернемся к	1	16
158	ничего не	1	16
159	они не	2	16
160	дело в	1	16
161	не подлежит	1	16
162	мысли и	4	15
163	говорили что	1	15
164	из этих	2	15
165	мы еще	1	15
166	с их	3	15
167	от всех	1	15
168	и вообще	2	15
169	как на	1	15
170	в нашем	1	15
171	еще в	1	15
172	пор еще	1	15
173	страха и	1	15
174	и прежде	1	15
175	характер и	1	14
176	в чем	5	14
177	и по	2	14
178	мы не	2	14
179	на них	2	14
180	здесь только	1	14
181	все что	4	14
182	в данном	1	14
183	несмотря на	1	14
184	в более	1	14
185	и сам	1	13
186	с этим	2	13
187	и еще	1	13
188	его к	1	13
189	в основном	3	13
190	на языке	1	13
191	на все	1	13
192	в жизни	2	13
193	на этой	3	13
194	одной стороны	1	13
195	не знает	2	13
196	в мире	1	13
197	и есть	3	13
198	только на	3	13
199	не на	2	13
200	и эта	1	13
201	это было	1	13
202	как он	1	13
203	в известной	1	13
204	не был	1	12
205	во всей	2	12
206	те же	3	12
207	вещей и	1	12
208	главным образом	1	12
209	и ее	4	12
210	та же	1	12
211	жизни в	1	12
212	о нем	1	12
213	у нас	1	12
214	менее всего	1	12
215	этот момент	1	12
216	только для	5	12
217	можно сказать	4	12
218	в атмосфере	1	12
219	не могут	2	12
220	века в	1	12
221	все то	2	12
222	лишь в	1	12
223	но именно	1	12
224	право на	1	12
225	характерно для	2	12
226	в пределах	2	12
227	уже не	1	11
228	отметить что	1	11
229	что они	1	11
230	той или	1	11
231	и что	1	11
232	в общем	3	11
233	и самый	1	11
234	в течение	1	11
235	наконец в	1	11
236	в свое	2	11
237	и т.д	1	11
238	все время	1	11
239	момент в	2	11
240	были в	1	11
241	характер носят	1	11
242	и особенно	1	11
243	это уже	1	11
244	и так	2	11
245	с ними	4	11
246	формы и	1	11
247	между собою	2	11
248	другими словами	2	11
249	все остальные	2	10
250	что для	1	10
251	и они	1	10
252	но оно	3	10
253	данном случае	1	10
254	человека и	1	10
255	или иной	1	10
256	для всех	4	10
257	нас в	1	10
258	к тому	1	10
259	даже и	1	10
260	на этот	1	10
261	ту же	2	10
262	мы здесь	1	10
263	образом и	1	10
264	здесь же	2	9
265	в разных	1	9
266	связано с	1	9
267	этой же	1	9
268	как это	3	9
269	значение и	1	9
270	и вся	2	9
271	ведь это	1	9
272	и со	1	9
273	нужно отметить	1	9
274	же в	1	9
275	что на	2	9
276	говорит о	1	9
277	под названием	1	9
278	отношения к	3	9
279	но как	2	9
280	мы можем	9	9
281	как известно	1	9
282	власти и	1	9
283	не имеет	1	9
284	и были	1	9
285	свое время	1	9
286	известной степени	1	9
287	и то	1	9
288	для нас	2	9
289	первый план	1	9
290	конечно в	1	9
291	что не	2	9
292	со всем	1	8
293	с этой	2	8
294	не менее	2	8
295	на первый	2	8
296	в этот	2	8
297	от этого	1	8
298	в него	5	8
299	с тем	1	8
300	но эта	1	8
301	на одном	1	8
302	его современников	1	8
303	борьба с	1	8
304	для этого	2	8
305	мы сказали	1	8
306	как они	1	8
307	мы увидим	1	8
308	по поводу	1	8
309	ко всему	1	8
310	и она	3	8
311	и ни	1	8
312	если бы	1	8
313	с самого	4	8
314	и почти	1	8
315	его целом	2	8
316	нуждается в	5	8
317	же и	1	7
318	во всяком	3	7
319	к ним	2	7
320	к этим	1	7
321	мы говорили	1	7
322	в развитии	2	7
323	и та	1	7
324	никакому сомнению	1	7
325	таковы основные	1	7
326	интерес к	1	7
327	подобно тому	1	7
328	момент и	1	7
329	нет ничего	1	7
330	нет и	2	7
331	мир в	1	7
332	них и	1	7
333	освобождение от	1	7
334	по всему	2	7
335	в некоторых	1	7
336	что по	1	7
337	половые органы	1	7
338	себя в	1	7
339	своего развития	1	7
340	несколько слов	1	7
341	в состоянии	1	7
342	и этим	2	7
343	всех его	2	7
344	как его	1	7
345	всеми его	1	7
346	сомнению что	1	7
347	которые были	1	7
348	характер этого	1	7
349	связанная с	1	7
350	наконец и	1	7
351	к себе	3	7
352	точку зрения	1	7
353	а на	2	7
354	не будем	1	7
355	его не	1	7
356	тому как	1	7
357	в свою	1	7
358	на всю	1	7
359	и часто	1	7
360	последнее слово	1	7
361	в центре	1	6
362	жизнь в	1	6
363	в один	4	6
364	хотя бы	4	6
365	имеем в	1	6
366	уже и	1	6
367	его интересует	1	6
368	находится в	2	6
369	что она	1	6
370	является и	1	6
371	всей их	2	6
372	в корне	1	6
373	для них	1	6
374	его и	1	6
375	и пр	12	6
376	для всего	1	6
377	в руках	1	6
378	но особенно	1	6
379	но вернемся	1	6
380	которые в	1	6
381	в знаменитом	1	6
382	за счет	2	6
383	момента в	2	6
384	и такие	1	6
385	говорить о	2	6
386	самого начала	4	6
387	как я	1	6
388	не дает	1	6
389	в землю	1	6
390	году в	1	6
391	могут быть	3	6
392	совершенно не	8	6
393	тех же	3	6
394	мы знаем	3	6
395	что здесь	1	6
396	характерен для	1	6
397	он может	1	6
398	события и	1	6
399	дает нам	1	6
400	остановимся на	1	6
401	ее в	2	6
402	а иногда	1	6
403	входит в	1	6
404	от того	1	6
405	в применении	1	5
406	форму и	1	5
407	применении к	1	5
408	отсюда и	1	5
409	всем этим	1	5
410	для всей	1	5
411	быть только	1	5
412	с другими	3	5
413	на волю	1	5
414	из одного	1	5
415	смысл и	1	5
416	из него	1	5
417	на место	1	5
418	одного и	1	5
419	нового мира	1	5
420	и момент	1	5
421	тогда когда	1	5
422	в другой	1	5
423	было связано	1	5
424	сравнению с	3	5
425	на основе	2	5
426	по сравнению	3	5
427	частей тела	1	5
428	но мы	4	5
429	мы имеем	1	5
430	и всегда	1	5
431	врача и	1	5
432	рождения и	2	5
433	же самое	1	5
434	и самого	1	5
435	что было	1	5
436	его за	1	5
437	и исторического	2	5
438	но даже	1	5
439	во многих	1	5
440	с этими	1	5
441	друг с	1	5
442	на язык	3	5
443	в человеке	1	5
444	ни было	2	5
445	этот мир	1	5
446	же как	2	5
447	мире и	1	5
448	для его	1	5
449	совсем не	2	5
450	и оценок	1	5
451	всех других	2	5
452	и этот	2	5
453	почти не	2	5
454	так называемый	2	5
455	времени не	1	5
456	своей жизни	2	5
457	себя и	2	5
458	если мы	2	5
459	с нею	2	5
460	всяком случае	3	5
461	вообще не	2	5
462	что мы	2	5
463	с другом	1	5
464	по его	1	5
465	без всякой	1	5
466	человека в	1	5
467	страх и	1	5
468	когда он	1	5
469	в человеческом	1	5
470	только то	2	5
471	вступают в	1	5
472	и только	9	5
473	они являются	1	4
474	я не	1	4
475	все моменты	1	4
476	ничто не	1	4
477	всех областях	1	4
478	чрезвычайно характерно	2	4
479	о его	1	4
480	уже здесь	1	4
481	время и	1	4
482	внимание на	1	4
483	не нуждается	2	4
484	разобранный нами	1	4
485	новых и	1	4
486	как один	1	4
487	ту сторону	5	4
488	что только	1	4
489	году и	1	4
490	бы ни	1	4
491	не случайно	1	4
492	даны в	1	4
493	мы чувствуем	1	4
494	оно не	2	4
495	влияния на	1	4
496	это самое	1	4
497	не входит	1	4
498	да еще	2	4
499	у меня	1	4
500	знаем что	2	4
501	не совсем	1	4
502	но если	1	4
503	именно этот	1	4
504	оно и	2	4
505	мочи и	1	4
506	только и	2	4
507	значение как	1	4
508	говорит об	1	4
509	мы узнаем	1	4
510	в период	1	4
511	не осталось	1	4
512	которая была	1	4
513	мы и	1	4
514	дело с	1	4
515	на такой	1	4
516	и связанные	1	4
517	находит себе	1	4
518	различные формы	1	4
519	слов о	1	4
520	и значение	3	4
521	на свет	1	4
522	только не	1	4
523	чем на	1	4
524	в стадии	1	4
525	что между	1	4
526	и притом	3	4
527	именно здесь	1	4
528	утверждение что	1	4
529	но ведь	2	4
530	учение о	3	4
531	его жизни	1	4
532	в смысле	1	4
533	но к	1	4
534	оно ни	1	4
535	кажется что	2	4
536	из мира	1	4
537	нем и	1	4
538	друг другу	1	4
539	но несмотря	1	4
540	всех сторон	1	4
541	же мы	1	4
542	в культуре	1	4
543	до мельчайших	1	4
544	в область	2	4
545	все события	1	4
546	нельзя сказать	1	4
547	из тех	2	4
548	со всех	1	4
549	явления и	1	4
550	с телом	1	4
551	всего на	1	4
552	значение для	1	4
553	делает его	1	4
554	без всякого	1	4
555	заметить что	1	4
556	ее не	1	4
557	что я	1	4
558	из этой	1	4
559	по ту	4	4
560	память о	1	4
561	как ее	1	4
562	что эти	1	4
563	говоря о	1	4
564	что такие	1	4
565	на это	1	4
566	золотого века	1	4
567	никаких сомнений	1	3
568	в которую	1	3
569	именно и	1	3
570	похож на	1	3
571	смерть в	1	3
572	есть то	1	3
573	свой смысл	1	3
574	себе все	1	3
575	два момента	1	3
576	у самого	1	3
577	не всегда	1	3
578	бы то	1	3
579	и мы	2	3
580	в следующем	1	3
581	а с	1	3
582	есть еще	1	3
583	в самые	1	3
584	о смерти	1	3
585	не есть	2	3
586	между собой	2	3
587	а для	1	3
588	и мир	1	3
589	опираясь на	1	3
590	они становятся	1	3
591	не будет	2	3
592	истории и	1	3
593	материнское лоно	1	3
594	в систему	2	3
595	на ранних	2	3
596	рождение и	2	3
597	говорит и	1	3
598	для нашего	1	3
599	от своего	1	3
600	был связан	1	3
601	и начало	1	3
602	приводит к	1	3
603	в каком	2	3
604	так чтобы	1	3
605	это только	1	3
606	он является	1	3
607	и об	1	3
608	в мир	2	3
609	чем не	3	3
610	образы не	1	3
611	всех трех	1	3
612	таким путем	2	3
613	на две	3	3
614	имеет и	1	3
615	то ни	1	3
616	при всей	2	3
617	значение имеют	1	3
618	внешнем мире	1	3
619	культурой и	1	3
620	и новых	1	3
621	в переводе	2	3
622	иной раз	1	3
623	почти во	1	3
624	этих двух	1	3
625	она не	1	3
626	и может	4	3
627	человек не	1	3
628	основе их	1	3
629	которая в	1	3
630	т.е в	2	3
631	др но	1	3
632	и другими	1	3
633	лежит на	1	3
634	в одно	2	3
635	не что	1	3
636	др и	1	3
637	во внешнем	1	3
638	не существует	2	3
639	всего и	1	3
640	очень широко	1	3
641	что иное	1	3
642	на этих	2	3
643	и через	2	3
644	что его	1	3
645	и того	1	3
646	этого своеобразного	1	3
647	разных местах	1	3
648	на другой	1	3
649	этом смысле	3	3
650	бы оно	1	3
651	а потому	4	3
652	из того	1	3
653	это касается	1	3
654	тело в	1	3
655	с ней	1	3
656	к их	1	3
657	очень важный	1	3
658	может стать	1	3
659	со стороны	1	3
660	на своем	1	3
661	реальной и	1	3
662	всего к	1	3
663	в свой	1	3
664	жизни но	1	3
665	этот мотив	1	3
666	нам в	1	3
667	этой цели	1	3
668	в уже	1	3
669	существует только	2	3
670	т.п и	1	3
671	эти два	1	3
672	эта сторона	1	3
673	правда он	1	3
674	и благодаря	1	3
675	на других	1	3
676	бы он	1	3
677	утверждают что	1	3
678	как наиболее	1	3
679	иное как	1	3
680	образного мышления	1	2
681	об его	2	2
682	государство и	1	2
683	с последним	1	2
684	с большими	1	2
685	все последующие	1	2
686	без исключения	1	2
687	отметим здесь	1	2
688	сущность этого	1	2
689	конечном счете	2	2
690	находится на	2	2
691	где оно	1	2
692	все и	2	2
693	моменты и	1	2
694	только как	3	2
695	почти исключительно	1	2
696	врача с	1	2
697	уже у	1	2
698	всего как	1	2
699	можно ли	1	2
700	любовь к	1	2
701	нем нет	2	2
702	некоторое время	1	2
703	и культуры	1	2
704	теории и	1	2
705	можем сказать	2	2
706	коем случае	1	2
707	на вопрос	1	2
708	сущность его	2	2
709	о двух	1	2
710	потому не	1	2
711	а ведь	1	2
712	что при	1	2
713	касается не	1	2
714	в конечном	3	2
715	существенное и	1	2
716	и враждебным	1	2
717	полагает что	1	2
718	или во	1	2
719	на чем	1	2
720	одним словом	1	2
721	должны быть	1	2
722	совершенно так	1	2
723	период жизни	1	2
724	вторая часть	1	2
725	что есть	1	2
726	все остальное	1	2
727	есть ли	1	2
728	нам кажется	2	2
729	понятия и	2	2
730	вводит нас	1	2
731	для самого	1	2
732	к сожалению	1	2
733	теперь в	1	2
734	освободиться от	1	2
735	уже знаем	1	2
736	тон и	1	2
737	хотя в	1	2
738	и делает	1	2
739	или к	1	2
740	что оно	2	2
741	и знаменитое	1	2
742	ступени развития	1	2
743	метода в	1	2
744	ключом к	1	2
745	различие между	1	2
746	сейчас же	1	2
747	на другие	1	2
748	очень мало	1	2
749	этом легко	1	2
750	на некоторых	1	2
751	с нами	1	2
752	это значение	1	2
753	нам для	1	2
754	что если	1	2
755	сказанного нами	1	2
756	и посвящена	1	2
757	на которые	1	2
758	в самую	1	2
759	всего конечно	1	2
760	интересует только	1	2
761	деле в	1	2
762	часто и	1	2
763	хорошо известны	1	2
764	образом к	1	2
765	одна и	1	2
766	однако не	1	2
767	всего сказанного	1	2
768	борьбу с	1	2
769	иногда и	1	2
770	три основных	2	2
771	с теми	1	2
772	этом моменте	1	2
773	подлежит конечно	1	2
774	является по	2	2
775	и таким	2	2
776	врач и	1	2
777	содержание их	1	2
778	достаточно назвать	1	2
779	в самых	1	2
780	с новыми	1	2
781	мы должны	1	2
782	в глубину	2	2
783	теле и	1	2
784	мы снова	1	2
785	же что	1	2
786	и жизни	1	2
787	и начинается	1	2
788	действительно не	1	2
789	мы сейчас	1	2
790	их на	1	2
791	некоторых отношениях	1	2
792	не можем	2	2
793	мир не	1	2
794	вклад в	1	2
795	материнского лона	2	2
796	нужно искать	1	2
797	можно определить	2	2
798	никак нельзя	1	2
799	не являются	1	2
800	исторического и	2	2
801	быть может	2	2
802	его отношение	1	2
803	них мы	1	2
804	отличается от	1	2
805	жизнь человека	1	2
806	же более	1	2
807	и оно	3	2
808	и стали	1	2
809	не стали	2	2
810	этим не	1	2
811	даже с	1	2
812	и мышления	1	2
813	социальные и	1	2
814	и внешней	1	2
815	широко пользуется	1	2
816	на почве	1	2
817	и столь	1	2
818	на сторону	1	2
819	они служат	1	2
820	что такое	5	2
821	об их	1	2
822	его должно	1	2
823	и жизнь	1	2
824	существенным моментом	1	2
825	метафоры и	1	2
826	мы полагаем	3	2
827	утрачивают свое	1	2
828	того в	1	2
829	образ не	1	2
830	если б	3	2
831	но зато	2	2
832	для человека	1	2
833	ни одно	1	2
834	от аффектов	1	2
835	свою концепцию	1	2
836	что может	1	2
837	общего с	1	2
