N	4gram	Tiupa_Lite	Myshleni
1	одного и того же	1	17
2	состоит в том что	6	17
3	с этой точки зрения	3	16
4	одно и то же	1	12
5	с одной стороны и	1	10
6	все более и более	1	8
7	в том что в	1	8
8	только в том что	2	8
9	в том что он	1	8
10	не удивительно поэтому что	1	7
11	одним и тем же	1	6
12	приводит к тому что	1	5
13	речь в этом случае	1	3
14	дело в том что	2	3
15	бы то ни было	1	3
16	прежде всего в том	1	2
17	в то же время	12	2
18	нет и не может	1	2
19	всего в том что	1	2
20	лишь в той мере	1	2
21	в том что для	1	2
22	с предшествующим и последующим	1	2
23	и не может быть	1	2
24	которые не могут быть	1	2
25	мы имеем дело с	1	2
26	есть альфа и омега	1	1
27	как бы там ни	1	1
28	и то же общее	1	1
29	по одним и тем	1	1
30	бы там ни было	1	1
31	с одной стороны к	1	1
32	прежде всего в преодолении	1	1
33	когда речь идет о	1	1
34	и в соответствии с	1	1
35	в том что при	1	1
36	одно из величайших открытий	1	1
37	восприятия а как бы	1	1
38	как и во всей	1	1
39	в том что этот	1	1
40	там ни было но	1	1
41	во всяком случае в	1	1
42	не может быть вообще	1	1
43	которые могли бы быть	1	1
44	с другой стороны он	1	1
45	в чем и состоит	1	1
46	то же время не	2	1
47	ничего не меняет в	1	1
48	и в то же	1	1
49	и того же слова	1	1
50	он не может быть	1	1
51	до тех пор пока	2	1
52	в том что его	2	1
53	в этом случае мы	1	1
54	не говоря уже о	2	1
55	по отношению ко всему	2	1
56	состоит в том чтобы	1	1
57	как раз и является	1	1
58	мы имеем дело в	1	1
59	но с другой стороны	3	1
60	одной стороны и к	1	1
61	в свою очередь при	1	1
62	исходит из того что	1	1
63	роль по отношению к	1	1
64	мы никогда не можем	1	1
65	и тем более не	1	1
