N	4gram	Tiupa_Lite	Dialekti
1	в то же время	12	14
2	одно и то же	1	12
3	не говоря уже о	2	7
4	и в то же	1	6
5	имеет ничего общего с	1	5
6	не имеет ничего общего	1	5
7	с этой точки зрения	3	4
8	с одной стороны и	1	4
9	но в то же	1	3
10	и тем более не	1	3
11	поскольку речь идет о	2	2
12	дело в том что	2	2
13	не может и не	1	2
14	именно в том что	1	1
15	до тех пор пока	2	1
16	все более и более	1	1
17	в том что в	1	1
18	не может быть ни	1	1
19	бы то ни было	1	1
20	однако в то же	1	1
21	но в силу своей	1	1
22	и не может быть	1	1
23	что в сравнении с	1	1
24	в том что он	1	1
25	имеется в виду не	1	1
26	а не абсолютная истина	1	1
27	которые не могут быть	1	1
28	но дело в том	1	1
29	он не может быть	1	1
30	исходит из того что	1	1
31	не абсолютная истина и	1	1
32	приводит к тому что	1	1
