N	3gram	Berdyaev_M	EvropaiE
1	с точки зрения	1	16
2	в отношении к	3	12
3	в том что	3	6
4	так же как	1	5
5	для того чтобы	4	5
6	не только в	2	4
7	и в этом	1	4
8	можно было бы	1	3
9	же как и	1	3
10	заключает в себе	3	3
11	хотя бы и	2	3
12	во всяком случае	1	3
13	в этом отношении	1	3
14	но не только	1	2
15	не может быть	22	2
16	на то что	1	2
17	прежде всего в	2	2
18	по сравнению с	2	2
19	есть не только	4	2
20	к тому чтобы	2	2
21	так же мало	1	2
22	сплошь и рядом	1	2
23	во многих отношениях	1	1
24	плоти и кровь	3	1
25	и связанной с	1	1
26	есть только одно	1	1
27	она никогда не	3	1
28	в том случае	1	1
29	начале xx века	1	1
30	не означает что	1	1
31	и кровь от	3	1
32	что россия есть	1	1
33	и та же	2	1
34	и не быть	1	1
35	во многих других	1	1
36	смысле этого слова	1	1
37	от плоти и	3	1
38	и когда мы	1	1
39	с еще большей	1	1
40	он сам в	1	1
41	плоть от плоти	3	1
42	а не к	2	1
43	к тому что	1	1
44	но и в	4	1
45	том смысле что	1	1
46	для нас в	1	1
47	в мире как	1	1
48	с разных точек	1	1
49	вопрос можно ли	1	1
50	как и всякая	1	1
51	к ней в	1	1
52	то время как	2	1
53	есть то что	1	1
54	во всех этих	1	1
55	в своей потребности	1	1
56	и ту же	1	1
57	в начале xx	1	1
58	в том смысле	2	1
59	в отличие от	1	1
60	и различие между	1	1
61	в себе в	1	1
62	не заключается ли	1	1
63	с тем большей	1	1
64	но не в	1	1
65	все так же	1	1
66	не могут быть	2	1
67	не только те	1	1
68	не может не	2	1
69	оно не может	2	1
70	именно потому и	1	1
71	с тем что	3	1
72	мы увидим что	4	1
73	одну и ту	1	1
74	но также и	2	1
75	выходит за пределы	1	1
76	все еще в	1	1
77	том случае если	1	1
78	а также в	1	1
79	та или иная	1	1
80	и не было	2	1
81	он мог бы	1	1
82	в стороне от	1	1
83	это значит что	3	1
84	одно из явлений	1	1
85	культуры в течение	1	1
86	в нем и	1	1
87	но с тем	1	1
88	только и можно	1	1
89	в то время	2	1
90	только тогда когда	1	1
91	также и в	2	1
92	в значительной степени	2	1
93	и во многих	1	1
94	склонен думать что	1	1
95	своей потребности в	1	1
96	это потому что	1	1
97	отношении к культуре	1	1
98	кровь от крови	3	1
99	одна и та	2	1
100	к западной европе	1	1
101	может быть и	2	1
102	друг к другу	6	1
103	не будет уже	1	1
