N	3gram	Losev_Prob	Analitik
1	в том что	17	25
2	не может быть	5	19
3	в то же	10	16
4	о том что	8	15
5	в данном случае	12	14
6	в отличие от	2	14
7	той или иной	16	14
8	к тому же	1	13
9	мы имеем дело	2	11
10	того или иного	5	9
11	с другой стороны	11	9
12	в том чтобы	1	9
13	по крайней мере	9	9
14	подобно тому как	2	9
15	с одной стороны	2	9
16	значении этого слова	1	8
17	с точки зрения	9	8
18	как и в	2	8
19	не только в	2	8
20	в свое время	1	7
21	в таком случае	7	7
22	во всяком случае	8	7
23	что иное как	6	7
24	тем не менее	23	6
25	одного и того	1	6
26	так или иначе	2	6
27	и того же	1	6
28	не что иное	6	6
29	в той или	7	5
30	не только не	5	5
31	есть не что	6	5
32	но и в	2	5
33	том или ином	3	5
34	в этом случае	8	5
35	времени и пространстве	1	5
36	в том или	2	4
37	здесь не только	2	4
38	в самом деле	1	4
39	для того чтобы	4	4
40	тех или иных	7	4
41	и тем самым	3	4
42	и не может	1	4
43	и в этом	6	4
44	дело здесь не	3	4
45	и не в	2	4
46	в этом смысле	5	4
47	в известном смысле	1	4
48	из того что	1	4
49	с той или	5	4
50	том что он	2	4
51	сама по себе	11	4
52	в основе своей	1	4
53	и тот же	1	3
54	и как бы	2	3
55	и то что	8	3
56	хотя бы и	2	3
57	дело не в	4	3
58	в том числе	1	3
59	крайней мере в	1	3
60	обнаруживает себя в	1	3
61	сам по себе	10	3
62	сами по себе	8	3
63	бы то ни	5	3
64	в первом случае	1	3
65	речь идет о	1	3
66	в зависимости от	3	3
67	не в самом	1	3
68	а в том	1	3
69	как нам кажется	1	3
70	то ни было	4	3
71	а не в	1	3
72	в связи с	9	3
73	то же самое	17	3
74	как раз и	5	3
75	то есть в	5	3
76	герой нашего времени	1	3
77	можно сказать что	2	3
78	и той же	1	3
79	и все же	1	3
80	дело в том	4	3
81	содержит в себе	13	3
82	одной и той	1	3
83	тот или иной	4	3
84	что он не	2	2
85	же самое время	10	2
86	отнюдь не является	3	2
87	этого слова как	1	2
88	и отличается от	1	2
89	ничего не говорит	1	2
90	с этой точки	1	2
91	более или менее	2	2
92	можно было бы	6	2
93	во втором случае	1	2
94	в литературном произведении	1	2
95	до сих пор	4	2
96	смысле этого слова	1	2
97	от автора и	1	2
98	и прежде всего	3	2
99	тому или иному	1	2
100	и то же	5	2
101	это означает что	1	2
102	к тому что	1	2
103	как и от	1	2
104	в тех случаях	1	2
105	в чистом виде	3	2
106	в этих случаях	1	2
107	в том и	1	2
108	на то что	2	2
109	а в то	1	2
110	заключается в том	5	2
111	в сравнении с	4	2
112	один и тот	1	2
113	здесь как и	1	2
114	этой точки зрения	2	2
115	какой бы то	1	2
116	с самим собою	2	2
117	в таких случаях	2	2
118	того и другого	1	2
119	здесь мы имеем	1	2
120	но и его	1	2
121	на этот вопрос	1	2
122	в войне и	1	2
123	не говоря уже	1	2
124	одно и то	4	2
125	в отрыве от	1	2
126	но отнюдь не	2	2
127	в нашем понимании	1	2
128	в себе не	1	2
129	не есть ни	4	2
130	войне и мире	1	2
131	и его внешней	1	2
132	тех случаях когда	1	2
133	на первый взгляд	3	2
134	что же касается	5	2
135	если бы он	2	2
136	речи то есть	1	1
137	которой он не	1	1
138	но то что	1	1
139	а не так	2	1
140	как и во	1	1
141	и по преимуществу	1	1
142	должны были бы	1	1
143	этого слова в	1	1
144	как будто бы	7	1
145	на том или	2	1
146	как мы это	1	1
147	себе еще не	1	1
148	с ним как	1	1
149	в себе в	2	1
150	но еще и	1	1
151	по себе а	3	1
152	то он не	1	1
153	случаях когда мы	1	1
154	в художественном произведении	1	1
155	что хотя и	1	1
156	о том как	4	1
157	никак не может	3	1
158	в той же	1	1
159	в себе все	1	1
160	как и вообще	2	1
161	только для того	1	1
162	по одному этому	1	1
163	и нисколько не	1	1
164	во всех этих	1	1
165	так что оно	1	1
166	бы мы ни	1	1
167	не говорит о	1	1
168	не так ли	1	1
169	то что не	1	1
170	случае совершенно не	1	1
171	имеется в виду	6	1
172	и тут же	2	1
173	же не есть	1	1
174	то или иное	3	1
175	но если бы	3	1
176	другое дело когда	2	1
177	и заключается что	1	1
178	не является ни	2	1
179	или иной мере	3	1
180	в области гуманитарных	1	1
181	в целом но	1	1
182	а то что	3	1
183	никогда не является	1	1
184	точки зрения в	1	1
185	в гораздо более	1	1
186	доходит до того	1	1
187	ни к каким	1	1
188	ставит перед собой	1	1
189	из которых состоит	2	1
