N	4gram	Savitsky_E	KulturaY
1	в то же время	14	6
2	с этой точки зрения	5	5
3	не говоря уже о	1	5
4	одного и того же	1	4
5	заключается в том что	2	4
6	в том случае если	1	3
7	большей или меньшей степени	1	3
8	в большей или меньшей	1	3
9	только в том случае	1	3
10	в тех случаях когда	1	3
11	в том смысле что	1	2
12	в той или иной	3	2
13	поскольку речь идет о	1	2
14	именно с этой точки	1	2
15	и в то же	8	2
16	один и тот же	1	2
17	не только в том	1	2
18	как мы видели в	1	1
19	само по себе не	2	1
20	рассматривать как одно из	1	1
21	как это имело место	1	1
22	чтобы ответить на этот	1	1
23	не говоря уже об	1	1
24	что само по себе	1	1
25	и во многих других	1	1
26	дело в том что	1	1
27	ответить на этот вопрос	1	1
28	что в тех случаях	1	1
29	с другой стороны в	1	1
30	в то время как	1	1
31	в связи с этим	1	1
32	на этот вопрос мы	1	1
33	той или иной степени	1	1
34	то мы увидим что	1	1
35	ни на минуту забывать	1	1
36	несмотря на то что	1	1
37	в качестве одного из	1	1
38	бы то ни было	4	1
39	и с точки зрения	1	1
40	такой же смысл имеет	1	1
41	во всех этих случаях	1	1
42	состоит вовсе не в	1	1
43	в этом отношении с	1	1
