N	2gram	Berdyaev_N	Otkroven
1	о человеке	1	29
2	у него	2	22
3	и в	16	19
4	и не	11	13
5	но и	3	13
6	в этом	7	12
7	человека в	1	11
8	а не	17	11
9	не только	5	11
10	не в	6	11
11	может быть	7	11
12	вопрос о	3	10
13	человека и	3	10
14	и все	4	10
15	в нем	5	10
16	потому что	4	9
17	прежде всего	4	9
18	не было	4	9
19	никогда не	6	9
20	нет ничего	1	7
21	в его	1	7
22	он не	8	7
23	но он	1	7
24	лишь в	6	7
25	в глубине	1	7
26	человек не	1	7
27	все это	5	6
28	как и	7	6
29	в самом	1	5
30	в том	8	5
31	человеке и	1	5
32	в этой	1	5
33	а в	2	5
34	в россии	3	5
35	то что	4	5
36	все в	1	4
37	что в	9	4
38	и мысли	1	4
39	того чтобы	2	4
40	есть лишь	4	4
41	не может	16	4
42	него и	1	4
43	всегда есть	1	4
44	что не	1	4
45	все эти	2	4
46	и его	1	4
47	с его	6	4
48	и от	2	3
49	жизни все	2	3
50	все что	1	3
51	хотя бы	2	3
52	это не	4	3
53	для того	1	3
54	более всего	1	3
55	с ним	1	3
56	мысли и	2	3
57	быть может	4	3
58	в этих	1	3
59	не могут	1	3
60	со злом	1	3
61	о природе	1	3
62	было бы	1	3
63	могут быть	2	3
64	в себе	2	3
65	природы ее	1	3
66	и есть	10	3
67	во имя	15	3
68	что он	1	3
69	человеческого духа	1	3
70	это было	3	3
71	нем нет	2	3
72	о том	4	3
73	к нему	1	3
74	еще не	3	3
75	и к	5	2
76	и потому	4	2
77	так и	2	2
78	заложенных в	1	2
79	не могли	2	2
80	так как	1	2
81	и очень	1	2
82	на западе	1	2
83	должно быть	4	2
84	к этой	1	2
85	погружается в	1	2
86	к ней	1	2
87	уже в	1	2
88	в человеческом	1	2
89	совсем не	12	2
90	в своем	1	2
91	в этот	1	2
92	с тем	3	2
93	и из	1	2
94	этом он	1	2
95	в которой	1	2
96	русского народа	1	2
97	с богом	1	2
98	россии в	1	2
99	потребность в	1	2
100	добро и	1	2
101	в истории	3	2
102	свободы и	2	2
103	их не	1	2
104	образ человека	1	2
105	этого мира	1	2
106	и с	2	2
107	он в	1	2
108	сказать что	3	2
109	тем что	1	2
110	проблема о	1	2
111	и на	2	2
112	что все	2	2
113	зла в	1	2
114	хотя и	2	2
115	не есть	3	2
116	в своей	3	2
117	все еще	1	2
118	жизни в	3	2
119	по себе	1	2
120	не имеет	4	2
121	том что	2	2
122	в глубину	1	2
123	и для	4	2
124	в ее	3	2
125	но в	2	2
126	и нет	1	2
127	гуманизмом с	1	1
128	космической жизни	1	1
129	и мир	1	1
130	ближе к	1	1
131	во всем	1	1
132	к одному	1	1
133	и весь	2	1
134	во всяком	1	1
135	ни к	2	1
136	попал в	1	1
137	но можно	1	1
138	том случае	1	1
139	бытия как	1	1
140	то он	1	1
141	лишь к	1	1
142	но оно	1	1
143	на человека	1	1
144	это конечно	1	1
145	не существует	3	1
146	в центре	2	1
147	самой жизни	2	1
148	и человека	1	1
149	стремиться к	2	1
150	в котором	1	1
151	из сторон	1	1
152	по природе	1	1
153	с душой	1	1
154	сам человек	1	1
155	бога но	2	1
156	мир в	1	1
157	свободы в	2	1
158	и переживает	1	1
159	про него	1	1
160	же и	1	1
161	еще люди	1	1
162	человеческих сил	1	1
163	она должна	1	1
164	не имеют	2	1
165	свобода человека	1	1
166	человека не	1	1
167	случае если	1	1
168	жизни а	1	1
169	бог и	1	1
170	и пр	3	1
171	этого она	1	1
172	и заключается	2	1
173	она не	3	1
174	должна быть	3	1
175	мы не	2	1
176	не могу	1	1
177	ней нужно	1	1
178	смысле слова	3	1
179	связана с	2	1
180	его было	1	1
181	всего мира	1	1
182	в раскрытии	1	1
183	но не	2	1
184	путь которым	1	1
185	это должно	1	1
186	природе своей	1	1
187	это я	1	1
188	вопросу о	1	1
189	людей но	1	1
190	не по	1	1
191	быть не	1	1
192	оба они	1	1
193	не быть	1	1
194	в ней	5	1
195	из всех	1	1
196	и зло	1	1
197	раскрывается лишь	1	1
198	а это	1	1
199	образа человека	1	1
200	всяком случае	1	1
201	он и	1	1
202	природе и	2	1
203	в сущности	1	1
204	как это	2	1
205	вкус к	2	1
206	на нем	1	1
207	возможен лишь	1	1
208	это представляется	2	1
209	распадается на	1	1
210	и через	1	1
211	в которую	1	1
212	не с	1	1
213	не хочет	1	1
214	и ему	1	1
215	и что	2	1
216	но сам	1	1
217	у нас	1	1
218	можно было	2	1
219	свободы от	2	1
220	людей и	1	1
221	заключает в	1	1
222	и это	2	1
223	это есть	7	1
224	и когда	1	1
225	и до	1	1
226	нет никакого	1	1
227	с их	2	1
228	духовную жизнь	1	1
229	духа как	1	1
230	природу и	1	1
231	в русском	2	1
232	которые будут	1	1
233	есть уже	1	1
234	по своей	1	1
235	от того	1	1
236	думать что	2	1
237	в них	4	1
238	вопрос об	1	1
239	было и	1	1
240	и всех	1	1
241	что нет	1	1
242	как например	1	1
243	не случайно	1	1
244	и даже	2	1
245	особого рода	1	1
246	всего что	1	1
247	от всех	1	1
248	и формы	2	1
249	человек от	1	1
250	и более	1	1
251	вот что	1	1
252	к чему	1	1
253	истории и	9	1
254	человек а	1	1
255	человеческого общества	1	1
256	будто бы	1	1
257	в виду	1	1
258	в силу	1	1
259	посвящения в	1	1
260	бога и	3	1
261	мысли как	1	1
262	и начинается	2	1
263	права на	2	1
264	лишь по	1	1
265	стремится к	3	1
266	от бога	6	1
267	в мир	1	1
268	в силах	1	1
269	свободе но	1	1
270	в эпоху	9	1
271	во внешней	1	1
272	жизни как	2	1
273	духа и	3	1
274	и истребление	1	1
275	не народ	1	1
276	но нет	1	1
277	огромное значение	1	1
278	бы он	1	1
279	в конце	1	1
280	жизни ни	2	1
281	в жизни	5	1
282	в космосе	1	1
283	характер и	1	1
284	был в	1	1
285	на поверхности	1	1
286	быть преодолено	1	1
287	лишь на	1	1
288	все время	2	1
289	глубину в	1	1
290	духа в	2	1
291	что она	2	1
292	жизни и	8	1
293	всю жизнь	1	1
294	одна из	2	1
295	в мире	3	1
296	который в	2	1
297	как в	3	1
298	два пути	1	1
299	его призвании	1	1
300	божественной жизни	2	1
301	как будто	2	1
302	и русский	1	1
303	от этого	1	1
304	нет у	1	1
305	нуждается в	1	1
306	я хочу	1	1
307	ли он	1	1
308	в новом	2	1
309	нужно считать	1	1
310	но это	6	1
311	была лишь	1	1
312	лишь для	1	1
313	в эти	1	1
314	в это	1	1
315	мир и	2	1
316	себе и	1	1
317	ничего нет	1	1
318	показал что	1	1
319	жизни не	3	1
320	к богу	2	1
321	из них	1	1
322	прогресса в	1	1
323	уже не	2	1
324	изнутри а	1	1
325	мысли в	2	1
326	это была	1	1
327	имя свободы	3	1
328	и общественной	5	1
329	в недра	1	1
330	людей в	1	1
