N	2gram	Bakhtin_fo	VLabPisa
1	таким образом	14	32
2	в этом	41	29
3	не только	16	26
4	и в	84	26
5	и т	21	25
6	может быть	18	23
7	и не	19	20
8	хотя бы	2	20
9	не может	8	17
10	в процессе	4	17
11	т д	3	16
12	в его	19	15
13	в том	16	15
14	этом отношении	5	14
15	все это	10	13
16	прежде всего	28	13
17	в качестве	6	12
18	в частности	11	12
19	как это	2	12
20	что в	9	11
21	с другой	4	11
22	из них	8	11
23	то же	18	10
24	не могут	4	10
25	о том	4	10
26	но и	14	10
27	по этому	2	10
28	и др	13	10
29	для него	5	9
30	об этом	3	9
31	т п	18	9
32	к этому	5	9
33	могут быть	7	8
34	другой стороны	1	8
35	только в	12	8
36	все эти	12	8
37	вместе с	9	8
38	том что	7	8
39	ни один	2	8
40	было бы	2	8
41	не следует	1	8
42	в своем	8	8
43	произведения и	1	7
44	в основном	12	7
45	это не	8	7
46	говорит о	1	7
47	не было	8	7
48	по отношению	3	7
49	тому что	1	7
50	как и	15	7
51	их в	6	7
52	действительности и	1	7
53	во всех	13	7
54	а не	7	7
55	то что	13	7
56	главным образом	1	7
57	отношению к	5	7
58	же в	6	7
59	в нем	28	7
60	из этих	5	7
61	один из	5	6
62	у него	8	6
63	в порядке	4	6
64	все же	12	6
65	приводит к	1	6
66	это и	1	6
67	бы и	1	6
68	он же	1	6
69	в искусстве	1	6
70	не в	10	6
71	между тем	1	6
72	так и	17	6
73	в себе	7	6
74	в зависимости	1	6
75	том же	4	6
76	и его	26	6
77	в то	13	6
78	образы и	1	5
79	в результате	6	5
80	в их	9	5
81	в них	11	5
82	связи с	14	5
83	одним из	1	5
84	как говорит	1	5
85	зависимости от	1	5
86	к тому	6	5
87	перед нами	1	5
88	не является	4	5
89	на основе	5	5
90	и образов	2	5
91	действующих лиц	1	5
92	и при	1	5
93	в одном	10	5
94	в пределах	8	5
95	же время	13	5
96	как бы	11	5
97	в целом	2	5
98	сказать что	4	5
99	в плане	1	5
100	и есть	3	5
101	никогда не	8	5
102	в самом	9	4
103	ее в	2	4
104	в ее	6	4
105	как раз	13	4
106	можно сказать	2	4
107	не обходится	1	4
108	в этой	3	4
109	следующим образом	1	4
110	что все	4	4
111	что он	2	4
112	равно как	4	4
113	в виду	5	4
114	по существу	17	4
115	в романе	40	4
116	приведенных выше	1	4
117	с тем	5	4
118	с ними	1	4
119	в своей	2	4
120	является не	2	4
121	одном из	1	4
122	роль в	12	4
123	должен быть	2	4
124	с его	10	4
125	для его	1	4
126	в связи	13	4
127	в философии	2	4
128	когда он	1	4
129	их и	3	4
130	них не	2	4
131	одна из	3	4
132	по поводу	1	4
133	отнюдь не	7	4
134	во время	7	4
135	и ее	4	4
136	образов и	1	4
137	и к	4	3
138	что они	3	3
139	что оно	1	3
140	и он	3	3
141	этой проблемы	2	3
142	этот процесс	5	3
143	мы имеем	2	3
144	действительной жизни	1	3
145	того что	5	3
146	но как	1	3
147	видеть в	1	3
148	утверждает что	2	3
149	что и	5	3
150	у нас	2	3
151	сводится к	1	3
152	его в	8	3
153	в форме	5	3
154	др в	2	3
155	если бы	6	3
156	или в	3	3
157	сил и	1	3
158	в другую	3	3
159	это мы	1	3
160	опыта и	1	3
161	именно в	5	3
162	в конце	11	3
163	или иная	1	3
164	например в	7	3
165	момент в	2	3
166	этого типа	5	3
167	между ними	5	3
168	и как	12	3
169	и художественное	1	3
170	же и	2	3
171	в которых	4	3
172	например что	1	3
173	явлений и	3	3
174	не столь	2	3
175	том как	2	3
176	и художественного	3	3
177	мира и	6	3
178	вовсе не	20	3
179	бы в	1	3
180	с этим	11	3
181	и мир	1	3
182	а в	6	3
183	что не	3	3
184	как о	1	3
185	в котором	8	3
186	она не	2	3
187	в значительной	3	3
188	того чтобы	11	3
189	для того	12	3
190	так называемые	1	3
191	идей и	1	3
192	п в	1	3
193	и их	11	3
194	всех других	1	3
195	как он	4	3
196	и целостного	1	3
197	далеко не	3	3
198	этот вопрос	1	3
199	так же	7	3
200	при помощи	1	3
201	процесс не	1	3
202	человека и	15	3
203	при всем	1	3
204	как на	2	3
205	нет и	4	3
206	та или	1	3
207	это делает	1	3
208	образом в	1	3
209	и от	3	3
210	точки зрения	14	3
211	жизни и	12	3
212	и по	5	3
213	значительной мере	2	3
214	всех этих	9	3
215	моментов в	1	3
216	мы видели	2	3
217	на время	1	2
218	мы наблюдаем	2	2
219	в особенности	15	2
220	этом и	1	2
221	и весь	2	2
222	все его	7	2
223	образов в	1	2
224	из которых	1	2
225	они и	1	2
226	от его	1	2
227	они не	4	2
228	если в	1	2
229	самого себя	1	2
230	должно быть	6	2
231	при всей	1	2
232	с одной	5	2
233	том числе	7	2
234	должна быть	1	2
235	образа в	1	2
236	внимание на	2	2
237	тогда когда	2	2
238	смысле слова	4	2
239	своих героев	1	2
240	с нею	2	2
241	говорить о	1	2
