N	2gram	Tiupa_Narr	BTomashe
1	б.в томашевского	1	4
2	у нас	1	3
3	в ней	3	2
4	можно было	2	2
5	не то	2	2
6	и не	20	2
7	видеть в	1	2
8	в трактовке	1	1
9	говорить о	2	1
10	было и	1	1
11	не только	32	1
12	а о	1	1
13	всего в	1	1
14	таким образом	1	1
15	не было	2	1
16	прежде всего	4	1
17	и в	19	1
18	на самом	1	1
19	так и	9	1
20	контраста между	1	1
21	и потому	2	1
22	и во	1	1
23	же не	4	1
24	по крайней	1	1
25	в речи	1	1
26	с другой	8	1
27	об этом	1	1
28	как будто	3	1
29	точке зрения	1	1
30	совершенно не	2	1
31	не о	3	1
32	другой стороны	4	1
33	крайней мере	1	1
34	было бы	4	1
35	и ее	2	1
36	одной из	4	1
37	в значительной	2	1
38	свести к	1	1
39	в пределах	2	1
40	в данном	5	1
41	более что	1	1
42	должна быть	2	1
43	в области	2	1
44	далеко не	5	1
45	тем более	2	1
46	и более	1	1
47	что все	1	1
48	не все	5	1
49	в книге	1	1
50	значительной степени	2	1
51	будто бы	3	1
52	также не	1	1
53	а не	12	1
54	включать в	2	1
55	отнюдь не	5	1
56	переходя к	1	1
57	представляется нам	1	1
58	и на	3	1
59	между ними	2	1
60	еще не	7	1
61	к ней	1	1
62	все же	7	1
63	что в	3	1
