N	4gram	Potebnia_M	EvropaiC
1	в том случае если	1	4
2	заключается в том что	1	3
3	бы то ни было	1	3
4	одного и того же	6	3
5	лишь в том что	1	3
6	что же касается до	1	2
7	в то же время	3	2
8	были бы в состоянии	1	1
9	с этой точки зрения	1	1
10	в то время как	1	1
11	том что все они	1	1
12	и в том и	1	1
13	а между тем в	2	1
14	в том и другом	2	1
15	выше мы видели что	1	1
16	не говоря уже о	1	1
17	в том что он	1	1
18	разница лишь в том	1	1
19	не в том что	3	1
20	но с другой стороны	2	1
21	и в жизни народов	1	1
22	выйти из этого круга	1	1
23	говоря уже о том	1	1
24	дело в том что	3	1
25	с психологической точки зрения	1	1
26	от того будет ли	1	1
27	в том что при	1	1
28	а в том что	2	1
29	народа выше мы видели	1	1
30	в том виде в	1	1
31	уже о том что	1	1
32	в том что оно	1	1
33	это не более как	1	1
34	одной и той же	3	1
35	указание на то что	1	1
36	в том что все	1	1
37	тем не менее в	2	1
