N	3gram	Potebnia_M	NovoeSre
1	не может быть	11	4
2	подобно тому как	7	3
3	в наше время	1	3
4	лицом к лицу	1	3
5	вопрос о том	1	2
6	и не во	1	2
7	в том и	2	2
8	вместе с тем	1	2
9	так же как	1	2
10	в этом смысле	4	2
11	что в нем	1	2
12	с одной стороны	6	2
13	с другой стороны	7	2
14	она не может	1	2
15	быть не может	2	1
16	сами по себе	8	1
17	и в природе	1	1
18	лишь в том	1	1
19	в том что	18	1
20	не в том	6	1
21	хотим сказать что	1	1
22	в том случае	1	1
23	и в жизни	3	1
24	до сих пор	5	1
25	тому как в	1	1
26	и потому что	2	1
27	и в истории	1	1
28	не только потому	1	1
29	в жизни народа	1	1
30	можно было бы	1	1
31	то что он	1	1
32	том смысле в	4	1
33	только потому что	3	1
34	не только в	3	1
35	помнить что в	1	1
36	но и в	4	1
37	в большинстве случаев	1	1
38	которые могут быть	2	1
39	в том смысле	7	1
40	в отличие от	1	1
41	мы говорим что	1	1
42	о том что	1	1
43	и того же	6	1
44	и не могут	1	1
45	не могут быть	5	1
46	потому что не	5	1
47	мы говорим о	1	1
48	заключает в себе	6	1
49	к духу и	1	1
50	было бы сказать	1	1
51	быть может еще	1	1
52	а не в	1	1
53	как и в	3	1
54	то что в	2	1
55	и не в	1	1
56	том случае если	1	1
57	а не с	1	1
58	но и потому	1	1
59	во всяком случае	7	1
60	есть такой же	1	1
61	и во всех	2	1
62	это значит что	1	1
63	в то время	3	1
64	имея в виду	1	1
65	то время как	1	1
66	а не для	1	1
67	смысле в каком	5	1
68	истории но и	1	1
69	и не может	1	1
70	одного и того	6	1
71	может быть только	2	1
