N	2gram	Vinokur_Ku	VrazhdaK
1	в году	3	18
2	в бесах	1	10
3	не только	29	9
4	в этом	31	8
5	и в	44	8
6	и что	11	8
7	достоевский в	1	8
8	что в	25	7
9	достоевского в	1	7
10	достоевского и	2	7
11	и все	4	7
12	но и	13	7
13	то что	14	7
14	о нем	2	6
15	как и	3	6
16	и даже	5	6
17	и с	11	6
18	все же	17	6
19	в котором	4	6
20	в начале	1	6
21	в нем	7	6
22	но в	11	6
23	то же	12	5
24	у него	3	5
25	г а	1	5
26	в россии	1	5
27	и не	23	5
28	между тем	11	5
29	об этом	4	5
30	в письме	1	5
31	не было	6	5
32	же время	4	5
33	в то	4	5
34	это не	13	4
35	при этом	6	4
36	несмотря на	6	4
37	с ним	5	4
38	для нас	6	4
39	все это	10	4
40	в виду	7	4
41	в своих	2	4
42	что он	7	4
43	достоевского не	1	4
44	письме к	2	4
45	уже в	5	4
46	у достоевского	2	4
47	о том	10	4
48	в дневнике	1	4
49	может быть	25	4
50	в ней	6	4
51	целый ряд	8	4
52	в истории	3	4
53	как бы	11	4
54	так же	8	4
55	во многом	2	4
56	что у	3	3
57	в его	16	3
58	в том	47	3
59	т е	54	3
60	его в	1	3
61	связи с	8	3
62	но он	2	3
63	давно уже	2	3
64	в связи	4	3
65	я не	5	3
66	и как	3	3
67	далеко не	2	3
68	тем что	9	3
69	речь идет	4	3
70	в чем	2	3
71	матери и	1	3
72	и у	3	3
73	он был	1	3
74	эти слова	1	3
75	том что	30	3
76	он не	4	3
77	и уже	2	3
78	я хотел	1	3
79	в конце	5	3
80	и о	3	3
81	наряду с	2	3
82	что есть	1	3
83	одним из	2	3
84	в своем	4	3
85	на то	6	3
86	с его	4	3
87	и его	8	3
88	к этому	4	3
89	который был	1	3
90	и во	1	3
91	в той	6	2
92	таким образом	17	2
93	и то	7	2
94	ответ на	2	2
95	и он	4	2
96	он тоже	2	2
97	к себе	4	2
98	мы знаем	3	2
99	и далее	3	2
100	с точки	16	2
101	для него	2	2
102	его и	1	2
103	о чем	2	2
104	как раз	10	2
105	по мнению	1	2
106	в честь	1	2
107	же не	1	2
108	в них	10	2
109	как же	1	2
110	а также	3	2
111	же в	5	2
112	отношения к	2	2
113	их в	1	2
114	же как	3	2
115	в своей	4	2
116	рядом с	7	2
117	вместе с	8	2
118	так в	2	2
119	в это	3	2
120	в известном	2	2
121	не менее	12	2
122	и это	3	2
123	на первый	1	2
124	еще не	10	2
125	но как	2	2
126	а с	3	2
127	это в	1	2
128	в свою	4	2
129	на основе	2	2
130	п в	3	2
131	после смерти	1	2
132	в письмах	1	2
133	в этой	8	2
134	в нашей	4	2
135	что к	1	2
136	тогда как	2	2
137	а в	7	2
138	на это	3	2
139	и а	2	2
140	к ним	2	2
141	отношение к	2	2
142	уже не	13	2
143	году в	1	2
144	из них	4	2
145	печати и	2	2
146	в себе	4	2
147	что я	4	2
148	не может	13	2
149	место в	1	2
150	с которым	1	2
151	столь же	2	2
152	том же	3	2
153	точки зрения	25	2
154	тем более	2	2
155	одна из	1	2
156	в период	1	2
157	за год	2	2
158	на место	1	2
159	в эти	1	2
160	отнюдь не	5	2
161	но это	4	2
162	не мог	2	2
163	в него	1	2
164	никогда не	2	2
165	эти не	1	1
166	для россии	1	1
167	в особенности	6	1
168	к сожалению	2	1
169	своего рода	4	1
170	в самом	20	1
171	во всем	1	1
172	как к	2	1
173	способности к	1	1
174	связан с	2	1
175	именно к	1	1
176	можно проследить	1	1
177	так и	10	1
178	что они	5	1
179	в свое	4	1
180	в литературе	1	1
181	все что	1	1
182	до сих	5	1
183	один из	8	1
