N	3gram	Tiupa_Disk	Analitik
1	в том что	18	25
2	не может быть	5	19
3	по отношению к	13	18
4	в то же	7	16
5	о том что	8	15
6	в данном случае	6	14
7	в отличие от	12	14
8	то же время	9	14
9	той или иной	6	14
10	к тому же	4	13
11	о блудном сыне	7	12
12	в сочетании с	1	11
13	в конечном счете	2	11
14	мы имеем дело	3	11
15	в повестях белкина	3	10
16	ивана петровича белкина	3	10
17	того или иного	2	9
18	с другой стороны	4	9
19	в свою очередь	3	9
20	в том чтобы	2	9
21	по крайней мере	3	9
22	я в мире	1	9
23	подобно тому как	4	9
24	с одной стороны	12	9
25	присутствия в мире	1	8
26	значении этого слова	1	8
27	состоит в том	3	8
28	с точки зрения	3	8
29	как и в	3	8
30	не только в	2	8
31	в этом отношении	4	8
32	в свое время	3	7
33	в таком случае	1	7
34	во всяком случае	2	7
35	тем не менее	1	6
36	по природе своей	6	6
37	одного и того	4	6
38	в полной мере	1	6
39	и того же	4	6
40	покойного ивана петровича	1	6
41	не более чем	3	6
42	в той или	1	5
43	героя нашего времени	1	5
44	в русской литературе	2	5
45	повести покойного ивана	1	5
46	том или ином	1	5
47	петровича белкина изданные	1	5
48	в этом случае	3	5
49	белкина изданные а.п	1	5
50	как уже говорилось	1	5
51	имеем дело с	1	5
52	до известной степени	2	4
53	в том или	1	4
54	в самом деле	1	4
55	в силу своей	2	4
56	не в том	3	4
57	не сводится к	4	4
58	тех или иных	1	4
59	в соответствии с	4	4
60	в равной степени	2	4
61	и не может	3	4
62	большей или меньшей	2	4
63	себя в другом	1	4
64	участников коммуникативного события	2	4
65	в этом смысле	1	4
66	в известном смысле	1	4
67	из того что	1	4
68	с той или	2	4
69	в значительной степени	3	4
70	том что он	1	4
71	едва ли не	2	4
72	в основе своей	4	4
73	и как бы	5	3
74	и то что	2	3
75	субъекта объекта и	2	3
76	одни и те	1	3
77	хотя бы и	1	3
78	дело не в	1	3
79	в том числе	3	3
80	далеко не всегда	1	3
81	обнаруживает себя в	1	3
82	сам по себе	1	3
83	сами по себе	2	3
84	именно в этом	1	3
85	речь идет о	2	3
86	между тем как	1	3
87	а в том	2	3
88	а не в	2	3
89	в связи с	1	3
90	то же самое	2	3
91	при этом как	1	3
92	объектной и субъектной	1	3
93	как раз и	1	3
94	в принципе не	1	3
95	по этой причине	2	3
96	и те же	1	3
97	то есть в	2	3
98	в немалой степени	1	3
99	дело не с	2	3
100	кто говорит и	1	3
101	человеческого я в	1	3
102	тогда как в	5	3
103	текста а не	2	3
104	можно сказать что	3	3
105	может быть признано	1	3
106	имеем дело не	2	3
107	может быть сведено	1	3
108	в противном случае	1	3
109	со стороны адресата	2	3
110	и все же	3	3
111	объекта и адресата	2	3
112	включает в себя	1	3
113	дело в том	3	3
114	содержит в себе	3	3
115	притчи о блудном	3	3
116	уже было сказано	2	3
117	не могут быть	1	3
118	однако при этом	1	3
119	тот или иной	2	3
120	все того же	1	3
121	следует понимать как	1	2
122	коммуникативного события как	1	2
123	конем не объедешь	1	2
124	что он не	1	2
125	на всем протяжении	1	2
126	коммуникативного события в	2	2
127	как к содержанию	2	2
128	такой же мере	1	2
129	но в таком	1	2
130	по своему происхождению	2	2
131	без гроба не	1	2
132	дело с двумя	1	2
133	не только его	1	2
134	формах внутренней речи	1	2
135	суженого конем не	1	2
136	во внешнем мире	1	2
137	последнюю роль в	1	2
138	притча и анекдот	2	2
139	более или менее	2	2
140	в частности в	2	2
141	полноты и неизбыточности	1	2
142	во втором случае	1	2
143	другого в себе	1	2
144	до сих пор	1	2
145	как правило не	1	2
146	начале х годов	1	2
147	отнюдь не предполагает	1	2
148	в обоих случаях	1	2
149	в такой же	1	2
150	мира вокруг я	1	2
151	событие самого рассказывания	2	2
152	и прежде всего	2	2
153	исходя из того	1	2
154	как ценностного центра	1	2
155	тому или иному	1	2
156	и в форме	2	2
157	а с другой	4	2
158	вокруг я героя	1	2
159	же касается самого	1	2
160	и то же	2	2
161	петровича белкина в	2	2
162	гроба не живет	1	2
163	в новом качестве	1	2
164	отношения к сообщаемому	1	2
165	что не есть	1	2
166	это своего рода	1	2
167	же время они	1	2
168	а не только	2	2
169	в поход почти	1	2
170	так и на	1	2
171	в тех случаях	1	2
172	в начале х	2	2
173	или из барышни-крестьянки	2	2
174	в чистом виде	1	2
175	сказания или анекдота	2	2
176	по выражению бахтина	1	2
177	в том и	1	2
178	мысль о том	1	2
179	на то что	1	2
180	в частности как	1	2
181	не столько в	1	2
182	не столь уж	2	2
183	обратим внимание на	1	2
184	заключается в том	1	2
185	тогда как его	1	2
186	том что случилось	1	2
187	в коммуникативной ситуации	1	2
188	здесь как и	1	2
189	героем притчи о	2	2
190	случае мы имеем	1	2
191	не в состоянии	1	2
192	того и другого	1	2
193	поход почти отроками	1	2
194	к художественной реальности	1	2
195	жанры как формы	2	2
196	и того и	1	2
197	в чужой стране	1	2
198	не говоря уже	2	2
199	в одной из	2	2
200	одно и то	2	2
201	при этом он	1	2
202	по своей природе	3	2
203	быть сведено к	1	2
204	станционного смотрителя в	1	2
205	так и его	1	2
206	в равной мере	1	2
207	но отнюдь не	2	2
208	в себе не	2	2
209	тем или иным	1	2
210	к предмету речи	1	2
211	тех случаях когда	1	2
212	как и ее	1	2
213	мертвый без гроба	1	2
214	на первый взгляд	1	2
215	не последнюю роль	1	2
216	что повести белкина	1	2
217	говоря уже о	2	2
218	индивидуального речевого замысла	2	2
219	что случилось однажды	1	2
220	что же касается	4	2
221	прежде всего в	2	2
222	нет и не	1	2
223	упускать из виду	2	2
224	адресата при этом	2	2
225	из виду что	2	1
226	жениха с мужиком	1	1
227	анекдот конденсируется в	1	1
228	пронизывающий поэтику данного	1	1
229	в целом ряде	1	1
230	примеряя ее содержание	1	1
231	вторичные идеологические жанры	1	1
232	редуцированная притча живой	1	1
233	поскольку вполне принадлежат	1	1
234	и шлафорк упоминаемые	1	1
235	притче как и	1	1
236	как жанровая стратегия	1	1
237	формы целого следовательно	1	1
238	мотивировок в поступках	1	1
239	картина мира которая	2	1
240	анекдота граф б	1	1
241	ситуацией притчи о	1	1
242	станционного смотрителя сегодня	1	1
243	становится героем анекдота	1	1
244	с еще не	1	1
245	уст в уста	1	1
246	компактность сюжета в	1	1
247	на руку его	1	1
248	неразвернутость характеристик и	2	1
249	в полном его	1	1
250	жанровые стратегии создают	1	1
251	сквозь явную анекдотичность	1	1
252	которое не может	1	1
253	трех говорящего автора	1	1
254	жизненного поведения в	1	1
255	пространство общения со-общения	1	1
