N	3gram	Potebnia_M	UchenyiS
1	не может быть	7	4
2	то ни было	1	3
3	с другой стороны	4	3
4	бы то ни	1	3
5	в то же	8	3
6	то же время	8	3
7	и то что	3	2
8	на каждом шагу	1	2
9	в художественном произведении	1	2
10	в том что	22	2
11	в противном случае	1	2
12	в самом деле	1	2
13	не могут быть	3	2
14	до сих пор	4	2
15	хотя бы и	1	2
16	а между тем	6	2
17	то же самое	3	2
18	в этом отношении	2	2
19	по крайней мере	8	2
20	в этом смысле	2	2
21	он может быть	1	1
22	быть не может	2	1
23	в которой все	1	1
24	у нас в	1	1
25	она представляется нам	1	1
26	друг с другом	1	1
27	что для него	1	1
28	же в самом	1	1
29	сам по себе	9	1
30	свойственна не только	1	1
31	так или иначе	1	1
32	же самое делает	1	1
33	по меньшей мере	1	1
34	в своей совокупности	1	1
35	между тем сам	1	1
36	на первый взгляд	1	1
37	и быть не	1	1
38	в своем кругу	1	1
39	никогда не может	1	1
40	между тем в	1	1
41	лишь настолько насколько	3	1
42	или по крайней	2	1
43	то что при	1	1
44	с тем что	1	1
45	не только к	1	1
46	по себе еще	1	1
47	большей или меньшей	1	1
48	с одной стороны	4	1
49	еще один пример	1	1
50	можно сказать что	3	1
51	равно как и	2	1
52	конечно не в	1	1
53	самом деле есть	1	1
54	не было бы	2	1
55	все это в	1	1
56	этого не было	1	1
57	научного анализа в	1	1
58	не в том	6	1
59	на то что	3	1
60	не только в	4	1
61	более или менее	6	1
62	если не исключительно	1	1
63	в данном случае	3	1
64	само по себе	6	1
65	не все в	1	1
66	же художественное произведение	1	1
67	в этом случае	2	1
68	том что она	1	1
69	в большей или	1	1
70	в буквальном смысле	2	1
71	в течение многих	1	1
72	это было бы	1	1
