N	3gram	Tiupa_Teor	PoTuStor
1	с точки зрения	3	6
2	по ту сторону	1	4
3	не может быть	5	3
4	в большинстве случаев	1	3
5	по крайней мере	1	3
6	может быть это	1	3
7	в этом смысле	3	3
8	можно сказать что	3	3
9	все то что	1	2
10	в конечном счете	6	2
11	так же как	1	2
12	о том что	1	2
13	не могут быть	2	2
14	в самом деле	2	2
15	со всех сторон	1	1
16	в том что	10	1
17	и со всеми	1	1
18	не что иное	1	1
19	что иное как	1	1
20	дело в том	1	1
21	ни в коем	2	1
22	той или иной	3	1
23	прежде всего к	1	1
24	я и мир	1	1
25	подобно тому как	3	1
26	в известной степени	1	1
27	и прежде всего	1	1
28	в данном случае	5	1
29	мы имеем в	3	1
30	я и его	1	1
31	в себя и	1	1
32	и теперь в	1	1
33	то ни было	2	1
34	имеем в виду	3	1
35	и того же	4	1
36	этой точки зрения	2	1
37	в свое время	1	1
38	его за пределы	1	1
39	на первый взгляд	1	1
40	с этой точки	2	1
41	то же самое	1	1
42	как один из	1	1
43	в коем случае	2	1
44	во внешнем мире	2	1
45	для того чтобы	5	1
46	однако в рамках	1	1
47	всех без исключения	3	1
48	сказать что для	1	1
49	а с другой	2	1
50	как это делает	1	1
51	с одной стороны	3	1
52	на этом пути	1	1
53	связи с этим	1	1
54	на вопрос о	1	1
55	таким образом и	1	1
56	это и есть	1	1
57	бы то ни	2	1
58	имеем дело с	1	1
59	одного и того	4	1
60	в связи с	3	1
