N	3gram	Losev_Prob	VelikijI
1	о великом инквизиторе	1	4
2	за то что	2	3
3	к тому что	1	3
4	и т д	1	2
5	в том что	13	2
6	легенда о великом	1	2
7	добра и зла	1	2
8	познания добра и	1	2
9	но и в	2	2
10	том что он	3	2
11	то что я	1	2
12	не в силах	3	2
13	как бы и	1	2
14	им что они	1	1
15	так и в	1	1
16	для человека как	1	1
17	во что бы	1	1
18	что бы то	1	1
19	к людям и	1	1
20	и в сознании	1	1
21	в легенде о	1	1
22	вслед за ним	1	1
23	в конце концов	7	1
24	вместе с тем	5	1
25	и во всяком	1	1
26	и вместе с	3	1
27	да и то	1	1
28	любви к людям	1	1
29	в прошлом и	1	1
30	потому что оно	2	1
31	и никогда не	2	1
32	на земле то	1	1
33	и то и	1	1
34	людей но и	1	1
35	по крайней мере	8	1
36	то и другое	5	1
37	в жизни и	1	1
38	во всем мире	2	1
39	и не было	1	1
40	все равно не	1	1
41	но все же	2	1
42	с другой стороны	7	1
43	в известном смысле	1	1
44	жизни в этом	1	1
45	о небе и	1	1
46	но и тут	1	1
47	бы то ни	4	1
48	после того как	3	1
49	и в этом	1	1
50	то ни стало	1	1
