N	2gram	Potebnia_M	RusskieA
1	и в	48	79
2	в том	47	64
3	том что	28	59
4	что в	30	57
5	не только	32	41
6	а а	2	40
7	во время	4	38
8	так как	20	34
9	в этом	19	33
10	состоит в	1	32
11	как бы	10	31
12	но и	30	31
13	в других	3	30
14	как и	22	28
15	и на	5	28
16	может быть	46	28
17	о том	7	23
18	с в	4	23
19	и т	12	23
20	при этом	6	22
21	в поле	1	22
22	т д	5	21
23	там же	8	20
24	это не	2	20
25	а в	14	20
26	как мы	8	20
27	из них	11	19
28	все это	4	18
29	с тем	9	17
30	таким образом	24	17
31	то что	37	17
32	вместе с	22	17
33	об этом	4	17
34	показывает что	2	17
35	потому что	82	17
36	во многих	3	16
37	мы не	17	16
38	или на	2	15
39	один из	7	15
40	в них	9	14
41	и с	4	14
42	не менее	9	14
43	тем не	7	14
44	как это	1	14
45	и что	13	14
46	мы видели	5	14
47	и не	28	14
48	для нас	40	14
49	у нас	2	14
50	уже не	11	13
51	к этому	3	13
52	так что	14	13
53	и по	5	13
54	как в	17	13
55	в которых	5	13
56	еще не	9	13
57	не может	18	13
58	тем что	13	12
59	между собой	1	12
60	полагает что	1	12
61	этом случае	2	12
62	в виде	3	12
63	не имеет	10	11
64	но это	9	11
65	далеко не	5	11
66	что на	3	11
67	все же	3	10
68	так например	3	10
69	том чтобы	4	10
70	его в	6	10
71	между тем	19	10
72	что и	16	10
73	в течение	2	10
74	так и	17	10
75	или в	4	10
76	а также	1	10
77	и других	3	10
78	то же	35	9
79	видно что	4	9
80	что они	2	9
81	и все	5	9
82	данном случае	3	9
83	того как	10	9
84	том же	2	9
85	но в	8	9
86	но не	8	9
87	одно из	6	8
88	в этих	2	8
89	что по	4	8
90	так же	6	8
91	после этого	1	8
92	связи с	6	8
93	во всех	1	8
94	что это	6	8
95	подобно тому	3	8
96	их в	3	8
97	того чтобы	5	8
98	как например	2	8
99	того что	24	8
100	ее в	2	8
101	в данном	3	8
102	через них	1	8
103	не все	5	8
104	тому как	6	8
105	для того	8	8
106	же в	3	8
107	в это	2	7
108	должна была	1	7
109	настоящее время	1	7
110	в своем	6	7
111	на них	2	7
112	к нему	7	7
113	а и	5	7
114	не в	24	7
115	а с	4	7
116	было бы	16	7
117	главным образом	1	7
118	только в	29	7
119	это время	1	7
120	говорится что	1	7
121	в земле	1	7
122	из этих	10	7
123	а не	22	7
124	начиная с	1	7
125	в настоящее	1	7
126	ничего не	1	7
127	не можем	8	7
128	и как	8	7
