N	2gram	Bakhtin_Fr	ViktorSh
1	в книге	2	3
2	конце концов	5	2
3	книге в	2	2
4	в конце	9	2
5	и в	73	2
6	в том	13	2
7	том что	8	2
8	в другом	4	1
9	все время	4	1
10	но это	3	1
11	одно и	2	1
12	том же	1	1
13	их как	1	1
14	по существу	8	1
15	ведь это	3	1
16	в самом	9	1
17	чем больше	1	1
18	и т.д	3	1
19	что слово	1	1
20	для них	1	1
21	говорили в	1	1
22	а только	2	1
23	именно в	4	1
24	и самым	2	1
25	все то	3	1
26	самом деле	4	1
27	вещь и	1	1
28	другом месте	3	1
29	с большой	1	1
30	в частности	2	1
31	и то	3	1
32	так в	1	1
33	время в	3	1
34	то чего	1	1
35	и его	18	1
36	теснейшим образом	1	1
37	в сугубо	1	1
38	под влиянием	1	1
39	значительной степени	3	1
40	на одном	7	1
41	зависят от	1	1
42	что образы	1	1
43	по поводу	1	1
44	далеко не	2	1
45	тем более	1	1
46	в которых	3	1
47	к этому	5	1
48	только в	7	1
49	потому что	9	1
50	в значительной	5	1
51	в их	5	1
52	все дело	1	1
53	то же	16	1
54	по своим	2	1
55	не будем	2	1
56	и не	13	1
57	я не	3	1
58	старых и	1	1
59	дело в	2	1
60	да и	1	1
61	в этом	21	1
62	так как	9	1
63	все это	19	1
