N	3gram	Vinokur_St	Freidism
1	с точки зрения	10	15
2	не может быть	5	14
3	по отношению к	3	11
4	в самом деле	7	10
5	в том что	29	9
6	во всяком случае	8	8
7	на протяжении всей	1	6
8	в то же	5	6
9	в высшей степени	1	6
10	то же время	5	6
11	может быть и	2	6
12	с самого начала	3	5
13	это вовсе не	1	4
14	тем не менее	4	4
15	сам по себе	1	4
16	на самом деле	7	4
17	в зависимости от	2	4
18	в данном случае	7	4
19	в этом отношении	13	4
20	ни в чем	1	4
21	только то что	1	3
22	но вовсе не	1	3
23	для того чтобы	13	3
24	выйти за пределы	1	3
25	о том что	19	3
26	до сих пор	12	3
27	что же касается	3	3
28	бы то ни	2	3
29	на этот вопрос	2	3
30	и притом в	1	3
31	так и в	5	3
32	прежде всего к	1	3
33	но в то	2	3
34	быть и речи	1	3
35	а вовсе не	1	3
36	и не может	1	3
37	ни о каком	1	2
38	ни в каком	1	2
39	точка зрения на	1	2
40	что в его	1	2
41	в применении к	3	2
42	он не только	2	2
43	в этом смысле	2	2
44	заключается в том	4	2
45	в чем же	1	2
46	то или иное	3	2
47	хотя бы и	2	2
48	вовсе не в	2	2
49	в конце концов	2	2
50	а с другой	1	2
51	в какой степени	1	2
52	говорить о том	1	2
53	том что она	1	2
54	в таких случаях	1	2
55	в узком смысле	1	2
56	в каком случае	1	2
57	что он сам	1	2
58	в этом утверждении	1	2
59	по меньшей мере	3	2
60	что и в	4	2
61	в отличие от	1	2
62	жизни и творчества	2	2
63	и по отношению	1	2
64	том что он	6	2
65	таким образом в	1	2
66	то ни было	1	2
67	в момент рождения	1	2
68	то обстоятельство что	3	2
69	в таком виде	2	2
70	к тому что	4	2
71	не укладывается в	1	2
72	в другом месте	1	2
73	с одной стороны	2	2
74	это прежде всего	2	2
75	а также и	2	2
76	и т д	25	1
77	быть не может	1	1
78	он никогда не	1	1
79	что он не	5	1
80	кем иным как	1	1
81	в этом случае	3	1
82	объясняется и то	1	1
83	и теперь еще	1	1
84	в вопросе о	1	1
85	и те же	1	1
86	сих пор не	1	1
87	что он делает	1	1
88	он должен был	2	1
89	а может быть	1	1
90	они свидетельствуют о	1	1
91	того или иного	4	1
92	еще в г	2	1
93	из того же	1	1
94	и все с	1	1
95	как будто бы	1	1
96	и начинается трагедия	1	1
97	этому требованию и	1	1
98	той или иной	1	1
99	ни на чем	2	1
100	и в данном	2	1
101	вообще не существует	2	1
102	что же это	1	1
103	а в начале	1	1
104	и даже не	2	1
105	каком случае не	1	1
106	и на все	1	1
107	вовсе не является	1	1
108	то что он	3	1
109	и только в	3	1
110	но и в	2	1
111	я не сомневаюсь	1	1
112	же это за	1	1
113	вместо этого он	1	1
114	чем не основано	1	1
115	по крайней мере	2	1
116	конечно и речи	1	1
117	по сравнению с	1	1
118	большую роль в	1	1
119	что бы то	1	1
120	как видит читатель	1	1
121	для него не	1	1
122	может быть даже	1	1
123	и что поэтому	2	1
124	протяжении всей его	1	1
125	а иногда и	2	1
126	нашей точки зрения	1	1
127	и в отношении	1	1
128	и без того	1	1
129	и вовсе не	1	1
130	намека на возможность	1	1
131	одни и те	1	1
132	в целом это	1	1
133	поэтому она не	1	1
134	тому что было	2	1
135	в целом ряде	1	1
136	в котором он	2	1
137	в том же	3	1
138	нем может быть	1	1
139	быть конечно и	1	1
140	бы он не	1	1
141	из этих двух	2	1
142	в г в	4	1
143	к выводу что	1	1
144	и не было	1	1
145	в свое время	3	1
146	и пр но	1	1
147	таким образом последнее	1	1
148	как и большинство	2	1
149	и так называемая	1	1
150	основное различие между	1	1
151	во что бы	1	1
152	такой же степени	1	1
153	только с точки	1	1
154	на вопрос о	3	1
155	в то время	2	1
156	не кем иным	1	1
157	в голову не	1	1
158	и быть не	1	1
159	но даже и	1	1
160	и то же	1	1
161	говорит о том	3	1
162	его времени и	1	1
163	там где нет	1	1
164	именно об этом	1	1
165	собою разумеется что	2	1
