N	3gram	Bakhtin_fo	Myslijsy
1	в том что	4	47
2	по отношению к	3	26
3	не может быть	4	19
4	и т д	3	15
5	в свою очередь	1	14
6	то же время	13	13
7	в то же	10	13
8	смысле этого слова	1	12
9	с другой стороны	1	12
10	и в этом	2	12
11	до сих пор	4	12
12	только в том	1	12
13	во всяком случае	1	12
14	для того чтобы	11	11
15	сами по себе	2	11
16	и т п	18	11
17	в то время	3	10
18	с одной стороны	3	10
19	одного и того	6	9
20	и того же	6	9
21	потому что не	1	9
22	но и в	5	9
23	о том что	2	9
24	не могут быть	1	9
25	что и в	1	9
26	то есть не	3	8
27	так и в	1	8
28	вместе с тем	3	8
29	на самом деле	1	8
30	как бы ни	1	8
31	в этом случае	1	8
32	с тем что	2	8
33	и то же	4	7
34	сама по себе	1	7
35	и в том	1	7
36	с точки зрения	9	7
37	как и в	3	7
38	можно сказать что	1	7
39	одно и то	4	7
40	не только в	6	7
41	и как бы	2	6
42	друг от друга	2	6
43	вместе с этим	1	6
44	может быть только	3	6
45	то же самое	1	6
46	и может быть	1	6
47	с самого начала	3	6
48	между тем как	1	5
49	с тем и	1	5
50	к тому что	1	5
51	то что в	1	5
52	в том же	3	4
53	все то что	2	4
54	с этой точки	1	4
55	все более и	2	4
56	в данном случае	2	4
57	то время когда	1	4
58	форма в которой	1	4
59	и в самом	1	4
60	могут быть названы	1	4
61	более и более	2	4
62	дело в том	2	4
63	так что в	1	4
64	именно в том	1	4
65	что касается до	1	4
66	то есть к	1	4
67	в этом отношении	5	4
68	то время как	2	4
69	как и во	1	3
70	одной стороны и	2	3
71	в одном и	1	3
72	рано или поздно	1	3
73	не было в	1	3
74	до известной степени	1	3
75	в большинстве случаев	2	3
76	то есть в	2	3
77	это не значит	1	3
78	и том же	1	3
79	в связи с	12	3
80	одном и том	1	3
81	в одном из	1	3
82	равно как и	4	3
83	что то же	1	3
84	когда мы говорим	1	3
85	есть одно из	1	3
86	в них не	1	3
87	со всех сторон	2	3
88	которые могут быть	1	3
89	этой точки зрения	1	3
90	а так как	1	3
91	себя и других	1	2
92	о которой мы	1	2
93	но вместе с	1	2
94	в себе в	1	2
95	о том как	2	2
96	и тогда когда	1	2
97	если бы например	1	2
98	главным образом в	1	2
99	мы говорим о	1	2
100	в первый раз	1	2
101	и во всех	3	2
102	вне связи с	1	2
103	иначе если бы	1	2
104	она входит в	1	2
105	друг на друга	4	2
106	человеческой жизни не	1	2
107	с нею в	1	2
108	вовсе не может	1	2
109	можно бы было	1	2
110	что в нем	1	2
111	есть прежде всего	1	2
112	не было и	2	2
113	и в других	4	2
114	что во всех	1	2
115	они с самого	1	2
116	те же что	2	2
117	и в каждой	1	2
118	и говорить о	1	2
119	что происходит в	1	2
120	но все же	3	2
121	это значит что	2	2
122	в буквальном смысле	2	2
123	сказанного ясно что	1	2
124	друг к другу	2	2
125	для нас не	1	2
126	очень важную роль	1	2
127	каждый из этих	1	2
128	но дело в	1	2
129	что в таком	2	2
130	здесь как и	1	2
131	до того что	1	2
132	в себе самом	1	2
133	а следовательно и	3	2
134	из сказанного ясно	1	2
135	друг другу и	1	2
136	в себе не	1	2
137	или что то	1	2
138	и до сих	1	2
139	и та же	2	2
140	что мы находим	1	2
141	так же как	2	2
142	тогда когда оно	1	2
143	как мы видели	1	2
144	одна и та	2	2
145	и не только	2	2
146	только для того	1	1
147	для него самого	1	1
148	уст в уста	1	1
149	то что на	1	1
150	в самом деле	1	1
151	но все эти	2	1
152	их и не	1	1
153	бы он ни	2	1
154	в которой нет	1	1
155	так как на	1	1
156	том что все	1	1
157	во все стороны	3	1
158	на природу и	1	1
159	в той же	1	1
160	если бы эти	1	1
161	лишь один из	1	1
162	его вместе с	1	1
163	место и в	2	1
164	во всех этих	2	1
165	в ту же	1	1
166	на том что	1	1
167	по сравнению с	3	1
168	же что и	3	1
169	здесь не только	1	1
170	что уже есть	1	1
171	он ни был	2	1
172	здесь только на	1	1
173	между ними нет	1	1
174	о которых мы	1	1
175	него вовсе не	1	1
176	во всех отношениях	1	1
177	между словом и	1	1
178	если они не	1	1
179	для себя и	1	1
180	в том числе	7	1
181	внутренняя форма слов	1	1
182	этот образ и	1	1
183	в строгом смысле	2	1
184	мы уже сказали	4	1
185	да и те	1	1
186	как мы уже	11	1
187	то есть именно	2	1
188	важную роль в	1	1
189	можно видеть в	1	1
190	то есть только	1	1
191	человек чувствует себя	2	1
192	в таком количестве	1	1
193	что есть и	1	1
194	не для того	3	1
195	может иметь место	1	1
196	которой нет ничего	1	1
197	как в самом	1	1
198	как мы видим	2	1
199	это как бы	1	1
200	и в словах	1	1
201	бросается в глаза	1	1
202	друг за другом	2	1
203	все эти предметы	1	1
204	том числе и	4	1
205	между этими двумя	3	1
206	по себе они	1	1
207	там же в	1	1
208	состоит именно в	1	1
209	в чем не	3	1
210	то время в	1	1
211	в отличие от	3	1
212	деле может быть	1	1
213	к тому же	2	1
214	иное значение чем	1	1
215	не только на	1	1
216	роль в истории	2	1
217	как если бы	2	1
218	мы видели в	1	1
219	и др и	1	1
220	то есть здесь	1	1
221	с этим в	2	1
222	одну и ту	1	1
223	есть одна из	1	1
224	каждая из этих	1	1
225	но все это	1	1
226	т п но	1	1
227	то увидим что	1	1
228	к вопросу о	2	1
229	вместе с числом	1	1
230	эти никогда не	1	1
231	так и во	1	1
232	зрения на мир	1	1
233	так как все	1	1
234	таким образом и	2	1
235	в его сущности	1	1
236	есть не в	1	1
237	все без исключения	1	1
238	во времени в	1	1
239	с точкой зрения	1	1
240	в нем в	2	1
241	то что происходит	1	1
242	между ними не	1	1
243	с нашей точки	3	1
244	но эти формы	1	1
245	сих пор не	1	1
246	что и при	1	1
247	значении этого слова	1	1
248	здесь не как	1	1
249	и др в	2	1
250	и для него	1	1
251	имеет место и	1	1
252	так как нет	1	1
253	этих условиях не	1	1
254	но в качестве	1	1
255	один из многих	1	1
256	прежде всего на	1	1
257	играет большую роль	2	1
258	только в них	1	1
259	друг с другом	5	1
260	имеет существенное значение	1	1
261	и ту же	1	1
262	она ни была	2	1
263	таким образом все	1	1
264	то есть все	1	1
265	еще одну черту	1	1
266	то же значение	1	1
267	и вместе с	1	1
268	необходимо указать на	1	1
269	в это время	1	1
270	не имеем в	1	1
271	известно например что	1	1
272	то есть как	1	1
273	друг другу то	1	1
274	не связанных между	1	1
275	было бы не	1	1
276	и телесной жизни	1	1
277	времени и пространства	4	1
278	конечно не в	1	1
279	еще не было	1	1
280	жизни но и	2	1
281	но нет и	1	1
282	время в его	1	1
283	не имеют в	1	1
284	бы она ни	2	1
285	только в этом	1	1
286	себе и на	1	1
287	он как мы	1	1
288	тем более что	2	1
289	в личной жизни	1	1
