N	3gram	Nazirov_Tv	NovoeSre
1	не может быть	2	4
2	со всех сторон	1	3
3	в наше время	4	3
4	не значит что	2	3
5	вместе с тем	1	2
6	равно как и	1	2
7	и должно быть	1	2
8	так же как	1	2
9	исторической эпохи и	1	2
10	он не может	1	2
11	с одной стороны	1	2
12	с другой стороны	2	2
13	никогда не было	2	2
14	это не значит	2	2
15	сами по себе	2	1
16	в том что	8	1
17	до сих пор	1	1
18	я не могу	1	1
19	и потому что	1	1
20	и в истории	1	1
21	он не имел	1	1
22	не только потому	1	1
23	том числе и	1	1
24	можно было бы	1	1
25	в свою противоположность	2	1
26	только потому что	1	1
27	не только в	2	1
28	он создает себе	1	1
29	в отличие от	2	1
30	не менее чем	1	1
31	быть понята как	1	1
32	века с ее	1	1
33	это тем что	1	1
34	но она не	1	1
35	о том что	6	1
36	переходит в свою	2	1
37	же как и	1	1
38	и того же	1	1
39	по своему духовному	1	1
40	не могут быть	2	1
41	потому что не	1	1
42	добро и зло	1	1
43	мы говорим о	1	1
44	заключает в себе	1	1
45	это связано с	1	1
46	к этой теме	1	1
47	до этого быть	1	1
48	как и в	2	1
49	то что в	1	1
50	но и потому	1	1
51	во всяком случае	2	1
52	других людей и	1	1
53	в том числе	1	1
54	к вопросу о	1	1
55	прежде всего они	1	1
56	это значит что	1	1
57	от других людей	2	1
58	от жизни в	1	1
59	не в силах	1	1
60	это и есть	1	1
61	в известном смысле	2	1
62	о том чтобы	1	1
63	ни в чем	1	1
64	людей и от	1	1
65	и не может	2	1
66	одного и того	1	1
