N	2gram	Medvedev_F	KFilosof
1	может быть	30	45
2	в его	30	42
3	в нем	25	32
4	не может	26	29
5	и не	34	28
6	и в	54	28
7	в бытии	1	26
8	по отношению	4	26
9	в котором	2	24
10	не есть	4	22
11	отношению к	4	22
12	в себе	4	21
13	только в	6	18
14	и его	27	18
15	в своем	12	17
16	в ее	10	17
17	а не	11	17
18	в этом	39	15
19	в соотнесении	1	15
20	для него	9	13
21	как момент	1	13
22	не в	16	13
23	точки зрения	21	13
24	к нему	3	12
25	мир в	1	12
26	ни в	3	12
27	но не	5	12
28	и это	4	12
29	в своей	16	11
30	все эти	12	11
31	во всех	9	11
32	из себя	1	11
33	соотнесении с	1	11
34	все это	11	10
35	это не	4	10
36	с точки	17	10
37	его целом	8	10
38	и есть	1	10
39	бытия и	1	10
40	и для	5	10
41	в целом	7	10
42	в их	16	9
43	и все	9	9
44	но и	18	9
45	как бы	10	9
46	для нее	2	9
47	в единстве	8	8
48	не было	7	8
49	если бы	8	8
50	быть только	1	8
51	в мире	4	8
52	со стороны	7	8
53	было бы	10	8
54	лишь в	15	8
55	жизни и	10	8
56	себя в	1	8
57	во всем	3	7
58	и здесь	8	7
59	что и	10	7
60	должен быть	5	7
61	вовсе не	18	7
62	уже не	9	7
63	совершенно не	5	7
64	то что	14	7
65	конечно не	5	7
66	на основе	6	7
67	но лишь	1	7
68	момент в	1	7
69	и только	5	7
70	отнюдь не	13	7
71	ее и	3	6
72	должно быть	13	6
73	не значит	1	6
74	отвлечении от	1	6
75	но все	4	6
76	но эта	2	6
77	менее всего	4	6
78	не имеет	2	6
79	в смысле	2	6
80	смысл и	2	6
81	в том	17	6
82	и их	13	6
83	и действительно	2	6
84	отношение к	4	6
85	жизнь как	3	6
86	место в	8	6
87	он не	8	6
88	но это	4	6
89	мира в	2	6
90	проникает в	1	5
91	от его	3	5
92	со всем	4	5
93	отвлечение от	2	5
94	то же	16	5
95	мы имеем	1	5
96	не только	14	5
97	с ним	3	5
98	но как	2	5
99	его в	5	5
100	не знает	1	5
101	в основе	7	5
102	есть лишь	3	5
103	но в	9	5
104	именно в	12	5
105	бы быть	3	5
106	но ведь	4	5
107	как и	18	5
108	все же	8	5
109	жизни в	2	5
110	еще не	6	5
111	время и	2	5
112	хотя бы	10	5
113	и содержание	2	5
114	в одном	2	5
115	ни одно	1	5
116	а в	11	5
117	культуры и	3	5
118	его как	5	5
119	жизни как	1	5
120	в контексте	2	5
121	в отвлечении	1	5
122	там где	3	5
123	бытия в	3	5
124	никогда не	6	5
125	что в	10	4
126	познания и	4	4
127	должна быть	11	4
128	при этом	14	4
129	ни было	2	4
130	что это	1	4
131	нем как	3	4
132	о нем	1	4
133	не как	7	4
134	для нас	1	4
135	прежде всего	34	4
136	с другим	1	4
137	в своих	3	4
138	места в	2	4
139	как его	3	4
140	нет в	2	4
141	с ними	1	4
142	мира и	1	4
143	это противопоставление	2	4
144	том что	3	4
145	в чем	2	4
146	в каком	1	4
147	могло бы	2	4
148	входит в	8	4
149	только как	3	4
150	нисколько не	2	4
151	во всей	4	4
152	могла бы	3	4
153	не по	4	4
154	между тем	4	4
155	его конкретной	2	4
156	тем самым	5	4
157	всех своих	2	4
158	быть все	1	4
159	соотнесении со	1	4
160	переживаемого мира	1	4
161	из него	2	4
162	вне ее	3	4
163	жизни но	2	3
164	от него	2	3
165	и может	6	3
166	та же	3	3
167	и на	10	3
168	здесь нет	1	3
169	на язык	5	3
170	для действительного	1	3
171	и пр	30	3
172	мы не	6	3
173	был бы	2	3
174	и этот	2	3
175	того что	7	3
176	и этим	2	3
177	ее целом	3	3
178	сознания и	1	3
179	бытие и	1	3
180	на самом	8	3
181	ясно что	3	3
182	а все	2	3
183	в виду	2	3
184	положения в	2	3
185	самом деле	12	3
186	ибо все	1	3
187	тем что	6	3
188	но для	4	3
189	значимость но	1	3
190	людей и	1	3
191	в корне	6	3
192	не дает	3	3
193	рядом с	1	3
194	соотнесено с	1	3
195	не менее	12	3
196	для этой	2	3
197	по своему	1	3
198	бы не	1	3
199	здесь не	5	3
200	один и	1	3
201	его жизни	1	3
202	войти в	2	3
203	лишь как	7	3
204	поскольку он	1	3
205	но конечно	2	3
206	той или	1	3
207	в каждом	3	3
208	это и	7	3
209	того или	6	3
210	бы и	1	3
211	в конкретной	2	3
212	что не	4	3
213	но здесь	1	3
214	в свою	8	3
215	не должен	1	3
216	мира не	1	3
217	и ни	2	3
218	лежат в	1	3
219	не должно	1	3
220	в другом	2	3
221	для того	3	3
222	и должна	3	3
223	в ней	15	3
224	быть и	5	3
225	вступает в	2	3
226	и та	1	3
227	смысл в	1	3
228	этом смысле	3	3
229	в современной	2	3
230	от того	2	3
231	на своем	3	3
232	а лишь	4	3
233	мы здесь	1	3
234	нем и	2	3
235	единстве и	1	3
236	целом и	4	3
237	из его	2	3
238	нет и	2	3
239	только с	1	3
240	могут быть	7	3
241	это единство	1	3
242	предмета в	2	3
243	до конца	9	3
244	нигде не	3	3
245	о том	1	3
246	теории и	1	3
247	тем как	1	3
248	в то	14	3
249	события в	1	3
250	или иного	8	3
251	независимо от	5	3
252	всех этих	6	3
253	и совершенно	2	3
254	и тем	3	3
255	ничего не	5	3
256	быть соотнесено	1	2
257	бы то	4	2
258	как к	5	2
