N	3gram	Tiupa_Narr	NovoeSre
1	не может быть	6	4
2	подобно тому как	4	3
3	ни одна из	1	2
4	так же как	1	2
5	в этом смысле	1	2
6	он не может	1	2
7	с одной стороны	5	2
8	с другой стороны	1	2
9	никогда не было	1	2
10	сами по себе	2	1
11	лишь в том	1	1
12	в том что	11	1
13	не в том	1	1
14	в том случае	1	1
15	и в жизни	2	1
16	до сих пор	3	1
17	я не могу	1	1
18	и потому что	1	1
19	и для другого	1	1
20	он не имел	1	1
21	в зависимости от	3	1
22	слова а не	1	1
23	по своей природе	1	1
24	в то что	1	1
25	том числе и	1	1
26	можно было бы	1	1
27	только потому что	1	1
28	не только в	12	1
29	но и в	4	1
30	в большинстве случаев	1	1
31	не было и	2	1
32	в том смысле	1	1
33	в отличие от	6	1
34	в значительной степени	1	1
35	как это было	1	1
36	более не будет	1	1
37	в нем не	2	1
38	в одну из	1	1
39	о том что	3	1
40	же как и	1	1
41	и того же	2	1
42	без обращения к	1	1
43	в нее входит	1	1
44	заключает в себе	2	1
45	а не в	1	1
46	как и в	1	1
47	том случае если	1	1
48	во всяком случае	2	1
49	к одному из	1	1
50	в том числе	1	1
51	этом я уже	1	1
52	в мире а	1	1
53	в то время	1	1
54	имея в виду	1	1
55	то время как	1	1
56	по природе своей	1	1
57	в известном смысле	4	1
58	ни в чем	1	1
59	и не может	3	1
60	одного и того	2	1
61	к жизни и	1	1
62	может быть только	1	1
