N	2gram	Voloshinov	ViktorSh
1	и в	12	2
2	в том	6	2
3	том что	5	2
4	в другом	1	1
5	все время	6	1
6	но это	2	1
7	одно и	2	1
8	столь же	1	1
9	том же	1	1
10	ведь это	1	1
11	в самом	4	1
12	как же	2	1
13	в теории	1	1
14	что слово	2	1
15	для них	1	1
16	именно в	1	1
17	все то	1	1
18	самом деле	3	1
19	ясно что	3	1
20	в частности	1	1
21	и то	2	1
22	крайней мере	1	1
23	и его	13	1
24	сводится к	1	1
25	значительной степени	1	1
26	хотя бы	5	1
27	далеко не	1	1
28	тем более	1	1
29	по крайней	1	1
30	к этому	2	1
31	только в	6	1
32	в значительной	1	1
33	и почти	1	1
34	и только	1	1
35	то же	5	1
36	и не	10	1
37	дело в	4	1
38	да и	3	1
39	в этом	4	1
40	так как	9	1
41	все это	3	1
42	же две	1	1
43	совершенно ясно	1	1
