N	3gram	Tiupa_Hudo	Sotsiolo
1	по отношению к	10	2
2	дело не в	1	2
3	в том что	8	2
4	это и есть	1	1
5	и в то	2	1
6	в то же	7	1
7	друг от друга	1	1
8	отношению к которому	1	1
9	в конечном счете	5	1
10	с одной стороны	3	1
11	в связи с	3	1
12	то же самое	1	1
13	по крайней мере	1	1
14	то же время	7	1
15	в противном случае	2	1
16	только то что	1	1
17	бы они ни	1	1
18	сама по себе	2	1
19	а с другой	2	1
20	а в том	1	1
21	в том и	2	1
22	а тем более	1	1
23	в настоящее время	1	1
24	в лучшем случае	1	1
25	они ни были	1	1
