N	2gram	Propp_Isto	FransuaR
1	и в	43	367
2	в этом	25	112
3	и не	16	101
4	таким образом	15	100
5	и его	10	99
6	в его	7	98
7	прежде всего	3	92
8	не только	28	87
9	мы уже	9	85
10	но и	24	84
11	как бы	5	82
12	все эти	8	79
13	вовсе не	3	77
14	как и	9	76
15	в нем	11	75
16	но в	15	75
17	в эпоху	1	75
18	и на	7	72
19	и др	4	72
20	в том	13	71
21	как мы	11	71
22	то же	11	66
23	и все	4	66
24	в них	6	65
25	в этой	7	65
26	так и	6	65
27	и с	10	64
28	в то	2	63
29	во время	8	63
30	во всех	1	62
31	все это	4	62
32	что в	29	52
33	в своем	2	51
34	только в	8	48
35	так как	13	46
36	и до	1	46
37	том что	12	45
38	уже говорили	1	44
39	то что	20	41
40	здесь в	2	41
41	у него	4	40
42	жизни и	2	40
43	в самом	1	38
44	точки зрения	3	37
45	в ней	3	37
46	с его	1	36
47	о том	4	35
48	он был	1	35
49	может быть	22	35
50	мы видим	15	35
51	сказать что	5	34
52	и даже	4	34
53	в себе	2	34
54	мы видели	18	32
55	он не	11	32
56	связаны с	1	31
57	в своей	4	31
58	так же	16	30
59	но он	8	30
60	один из	7	30
61	потому что	8	30
62	той же	3	30
63	и потому	2	30
64	никогда не	9	30
65	тела и	1	30
66	в одном	9	29
67	еще не	15	29
68	связи с	9	29
69	в этих	18	29
70	что он	17	29
71	не может	8	29
72	в особенности	3	29
73	при этом	4	29
74	его в	7	29
75	не в	9	29
76	и к	4	28
77	из них	7	28
78	всех этих	3	28
79	также и	1	28
80	здесь и	2	28
81	и другие	6	27
82	сих пор	7	27
83	до сих	7	27
84	том числе	1	27
85	все же	13	27
86	на части	1	27
87	по своему	1	27
88	роль в	2	27
89	и их	4	27
90	кроме того	1	26
91	в преисподнюю	1	26
92	средние века	2	26
93	в средние	2	26
94	все они	1	26
95	на самом	2	25
96	в области	1	25
97	с помощью	1	25
98	но это	5	25
99	он и	4	24
100	но не	10	24
101	например в	3	24
102	в ее	1	24
103	и у	6	24
104	и от	3	24
105	как в	6	24
106	в частности	6	24
107	в большинстве	2	24
108	отношение к	4	24
109	большинстве случаев	3	23
110	своего рода	1	23
111	и здесь	8	23
112	с ним	1	23
113	и для	3	23
114	есть и	7	23
115	к нему	12	23
116	это не	10	23
117	даже в	4	22
118	не было	2	22
119	а в	13	22
120	тем что	8	22
121	что и	17	22
122	и других	1	22
123	там где	8	22
124	вместе с	12	22
125	и во	1	22
126	связь с	12	22
127	и о	2	22
128	в своих	1	21
129	именно в	1	21
130	уже в	1	21
131	и как	6	21
132	в качестве	4	21
133	одним из	4	21
134	в себя	3	21
135	что это	4	21
136	ни в	2	21
137	и наконец	1	21
138	в виду	2	20
139	в связи	5	20
140	и это	5	20
141	одной из	1	20
142	с точки	1	20
143	как раз	1	20
144	в образе	2	20
145	они были	1	20
146	а также	5	20
147	самом деле	1	20
148	во всем	3	19
149	их в	6	19
150	к этому	10	19
151	в эту	1	19
152	было бы	5	19
153	с ее	2	19
154	в дальнейшем	8	19
155	с другой	10	19
156	хотя и	4	19
157	в форме	1	19
158	далеко не	3	19
159	мы находим	1	18
160	средневековья и	1	18
161	со всеми	1	18
162	это и	4	18
163	здесь не	6	18
164	одна из	2	18
165	но они	2	18
166	превращается в	10	18
167	на этом	5	18
168	перед нами	4	18
169	связан с	5	18
170	это в	2	18
171	конечно не	3	17
172	можно было	3	17
173	человеческого тела	2	17
174	связанных с	4	17
175	на его	5	17
176	в плане	1	17
177	такой же	3	17
178	еще более	3	17
179	но все	5	17
180	связана с	4	17
181	и вот	3	17
182	того что	8	17
183	а не	13	17
184	в другом	11	16
185	с одной	2	16
186	между ними	1	16
187	между тем	2	16
188	тот же	2	16
189	в начале	2	16
190	в свете	6	16
191	он дает	1	16
192	ничего не	12	16
193	они не	4	16
194	а затем	6	15
195	характерно что	1	15
196	в которой	1	15
197	на весь	1	15
198	не были	1	15
199	никто не	2	15
200	из этих	5	15
201	мы еще	3	15
202	от всех	1	15
203	особенно в	2	15
204	одно из	2	15
205	как на	1	15
206	не мог	2	15
207	xix века	1	15
208	с начала	1	15
209	и прежде	1	15
210	в котором	5	14
211	в чем	4	14
212	образом в	2	14
213	и по	6	14
214	с миром	3	14
215	игра в	1	14
216	мы не	3	14
217	на них	2	14
218	здесь только	1	14
219	все что	4	14
220	в данном	7	14
221	и он	2	14
222	несмотря на	1	14
223	земли и	2	14
224	в более	1	14
225	по существу	3	14
226	и сам	1	13
227	с этим	13	13
228	во все	4	13
229	его к	5	13
230	в основном	1	13
231	на языке	1	13
232	на все	2	13
233	в одной	4	13
234	о чем	1	13
235	в жизни	3	13
236	одновременно и	1	13
237	на этой	2	13
238	одной стороны	2	13
239	не знает	2	13
240	в мире	1	13
241	средних веков	1	13
242	в других	6	13
243	бы в	1	13
244	и есть	3	13
245	они и	3	13
246	только на	2	13
247	не на	2	13
248	этот процесс	1	13
249	или в	14	13
250	и эта	1	13
251	так в	8	13
252	это было	1	13
253	жизнь и	1	13
254	как он	1	13
255	в книге	1	13
256	другой стороны	10	12
257	те же	2	12
258	главным образом	3	12
259	и ее	3	12
260	части тела	1	12
261	начиная с	1	12
262	о нем	2	12
263	у нас	7	12
264	другом месте	1	12
265	с полной	1	12
266	из всех	1	12
267	этот момент	1	12
268	только для	1	12
269	можно сказать	3	12
270	но этот	3	12
271	по своей	1	12
272	века в	1	12
273	в приведенном	1	12
274	он в	3	12
275	но здесь	2	12
276	право на	2	12
277	об этом	8	12
278	характерно для	2	12
279	в пределах	5	12
280	мы слышим	1	12
281	на эту	1	11
282	так например	3	11
283	уже не	11	11
284	что они	14	11
285	и что	6	11
286	она была	2	11
287	того как	3	11
288	в течение	6	11
289	из этого	1	11
290	в ряде	1	11
291	на фоне	1	11
292	все время	2	11
293	очень часто	4	11
294	в системе	1	11
295	это уже	3	11
296	и так	3	11
297	с ними	5	11
298	и более	3	11
299	ни с	1	11
300	формы и	1	11
301	он говорит	1	11
302	другими словами	2	11
303	в узком	1	11
304	целый ряд	3	10
305	по отношению	2	10
306	на котором	2	10
307	все его	1	10
308	на земле	2	10
309	все остальные	1	10
310	его как	1	10
311	и они	4	10
312	да и	2	10
313	в главе	2	10
314	в таких	3	10
315	данном случае	6	10
316	человека и	1	10
317	для всех	1	10
318	нас в	1	10
319	самом же	1	10
320	где они	2	10
321	там же	2	10
322	к тому	9	10
323	на этот	1	10
324	не просто	4	10
325	к которому	6	10
