N	2gram	Voloshinov	Analitik
1	не только	10	71
2	и в	28	66
3	в качестве	2	61
4	литературного произведения	1	58
5	но и	10	57
6	в том	10	52
7	может быть	28	52
8	в этом	28	51
9	как и	13	50
10	и не	34	48
11	а не	9	42
12	при этом	8	40
13	том что	12	40
14	то есть	1	35
15	так и	14	35
16	в мире	2	31
17	представляет собой	2	30
18	отнюдь не	5	29
19	как бы	19	29
20	не может	30	29
21	а в	8	28
22	в его	25	27
23	и его	22	27
24	не в	10	26
25	но не	7	26
26	в себе	7	24
27	что в	7	22
28	и даже	3	22
29	к тому	6	22
30	в этой	7	22
31	о том	3	20
32	и т.п	4	20
33	я в	1	20
34	в самом	12	19
35	то же	12	19
36	в своей	14	19
37	по отношению	13	19
38	с его	9	19
39	но в	13	19
40	в данном	4	18
41	в то	7	18
42	отношению к	11	18
43	с другой	2	17
44	только в	11	17
45	со стороны	5	17
46	такого рода	2	17
47	или иной	2	17
48	в целом	4	17
49	что и	5	16
50	могут быть	9	16
51	то что	17	16
52	в пределах	6	16
53	и на	9	15
54	не есть	2	15
55	между тем	3	15
56	уже не	9	15
57	прежде всего	26	15
58	в их	2	15
59	не менее	6	14
60	того же	3	14
61	себя в	3	14
62	я и	7	14
63	в себя	5	14
64	той или	1	14
65	мы имеем	6	14
66	же время	6	14
67	в отличие	2	14
68	данном случае	4	14
69	отличие от	2	14
70	далеко не	5	14
71	по себе	4	13
72	точки зрения	31	13
73	он не	10	13
74	этого слова	1	13
75	ничего не	5	13
76	как раз	6	13
77	для него	12	13
78	а также	2	13
79	произведение искусства	2	13
80	в начале	1	13
81	и к	7	12
82	и сам	3	12
83	никогда не	10	12
84	внутренней речи	5	12
85	как это	5	12
86	в первой	1	12
87	сводится к	4	12
88	как в	4	12
89	еще не	8	12
90	в конечном	3	12
91	есть не	1	12
92	даже в	1	11
93	конечном счете	3	11
94	в свою	6	11
95	той же	5	11
96	это не	5	11
97	можно сказать	6	11
98	и как	3	11
99	во второй	5	11
100	не с	1	11
101	не следует	2	11
102	нуждается в	3	11
103	именно в	4	10
104	все же	8	10
105	едва ли	4	10
106	с одной	2	10
107	в конце	2	10
108	было бы	8	10
109	однако в	1	10
110	отношения к	2	10
111	здесь не	1	10
112	особенно в	1	10
113	того или	1	10
114	и самого	1	10
115	один из	10	10
116	на себя	3	10
117	говорить о	5	9
118	говорит о	3	9
119	в результате	3	9
120	на фоне	1	9
121	и того	1	9
122	одной стороны	2	9
123	свою очередь	4	9
124	в своем	4	9
125	по поводу	5	9
126	крайней мере	1	9
127	таким образом	34	9
128	во всех	13	9
129	в русской	1	9
130	за пределы	10	9
131	или иного	1	9
132	только не	3	9
133	имеет место	1	9
134	особого рода	2	9
135	вместе с	5	9
136	по крайней	1	9
137	тому как	1	9
138	того что	7	9
139	как уже	1	9
140	дело с	1	8
141	роль в	7	8
142	не всегда	4	8
143	между двумя	3	8
144	одной из	1	8
145	в контексте	1	8
146	в сторону	1	8
147	с ним	14	8
148	если бы	4	8
149	и все	13	8
150	что он	12	8
151	перед нами	1	8
152	не является	7	8
153	в основе	6	8
