N	3gram	Tiupa_Lite	Sotsiolo
1	по отношению к	4	2
2	в том что	15	2
3	в конце концов	1	2
4	и в то	1	1
5	из тех кто	1	1
6	в то же	12	1
7	в конечном счете	8	1
8	с одной стороны	8	1
9	в связи с	4	1
10	чуть ли не	2	1
11	по крайней мере	2	1
12	то же время	12	1
13	только то что	2	1
14	в наше время	1	1
15	в данном стихотворении	1	1
16	и только как	1	1
17	а с другой	2	1
18	мы не желаем	1	1
19	но только в	1	1
20	во всяком случае	2	1
21	и наконец в	1	1
22	и в этом	1	1
23	именно в том	1	1
24	данном стихотворении или	1	1
25	не выходит за	1	1
26	в лучшем случае	1	1
27	тем более не	1	1
