N	3gram	Savitsky_E	Problema
1	в том что	6	37
2	и т д	1	33
3	в связи с	1	29
4	в данном случае	2	28
5	той или иной	4	26
6	во всяком случае	3	25
7	с другой стороны	2	25
8	с точки зрения	16	25
9	на то что	2	19
10	в этом смысле	3	19
11	для того чтобы	5	17
12	то есть в	1	17
13	в то же	15	17
14	это значит что	1	13
15	того или иного	4	13
16	можно было бы	3	13
17	не может быть	2	12
18	и в частности	2	12
19	и в этом	4	12
20	можно сказать что	3	12
21	в то время	1	12
22	то время как	1	12
23	дело в том	1	11
24	тех или иных	1	11
25	бы то ни	4	11
26	с одной стороны	8	11
27	в той или	3	10
28	и тем самым	1	10
29	более или менее	1	10
30	не только в	4	10
31	что же касается	1	9
32	то и другое	1	9
33	не говоря уже	2	9
34	может быть и	1	9
35	только в том	2	8
36	только тогда когда	1	8
37	заключается в том	2	8
38	говоря уже о	1	7
39	к тому же	1	7
40	но и в	1	7
41	то или иное	1	7
42	в значительной мере	1	7
43	хотя и не	1	7
44	и тем более	1	6
45	так и в	2	6
46	и только в	2	6
47	то что в	2	6
48	то ни было	4	6
49	в том смысле	1	6
50	в этом отношении	3	6
51	само по себе	4	6
52	хотя бы и	3	5
53	на этот раз	1	5
54	а также и	1	5
55	так же как	5	5
56	та или иная	1	5
57	том смысле что	1	5
58	в том числе	1	5
59	и прежде всего	3	5
60	только и можно	1	5
61	только в виде	1	5
62	же как и	3	5
63	друг от друга	2	4
64	связи с этим	1	4
65	как это мы	1	4
66	том числе и	1	4
67	мы хотели бы	1	4
68	этой точки зрения	5	4
69	также и в	1	4
70	в себе не	1	4
71	именно потому что	1	4
72	а именно в	1	4
73	ту или иную	3	4
74	и не в	1	4
75	и не было	1	4
76	и с точки	1	4
77	как мы видели	2	4
78	есть то что	1	4
79	во всех этих	1	4
80	друг к другу	1	4
81	одной стороны и	6	3
82	в отличие от	1	3
83	и того же	1	3
84	к тому что	1	3
85	в тех случаях	1	3
86	и когда мы	1	3
87	тех случаях когда	1	3
88	с тем что	1	3
89	с этой точки	5	3
90	для нас в	1	3
91	по сравнению с	2	3
92	несмотря на то	1	3
93	вовсе не в	1	3
94	одного и того	1	3
95	хотя бы в	2	3
96	и в то	8	3
97	как нам кажется	5	3
98	в известном смысле	3	3
99	того что мы	1	3
100	в каком смысле	1	3
101	говорить о том	1	3
102	вовсе не обязательно	1	3
103	но в то	2	3
104	так и для	1	2
105	не будет ли	1	2
106	как и его	1	2
107	о которых мы	1	2
108	и во многих	1	2
109	в частности в	2	2
110	говорить не о	1	2
111	сказать что в	2	2
112	но также и	1	2
113	в последнее время	1	2
114	что в этом	1	2
115	не имеет никаких	1	2
116	что и сам	1	2
117	близко подходит к	2	2
118	для нас значение	1	2
119	один и тот	1	2
120	в ту или	1	2
121	каких бы то	2	2
122	во всех случаях	3	2
123	мы не можем	1	2
124	и все другие	2	2
125	и в своем	1	2
126	говоря уже об	1	2
