N	3gram	Nazirov_Tv	DiskursI
1	в том что	8	28
2	в отличие от	2	26
3	по отношению к	3	17
4	с одной стороны	1	14
5	не может быть	2	12
6	в данном случае	2	12
7	то же время	18	10
8	той или иной	1	10
9	о том что	6	9
10	в то же	19	8
11	как и в	2	7
12	и все же	3	7
13	в конечном счете	4	6
14	так и в	2	6
15	не сводится к	1	6
16	в соответствии с	7	6
17	к тому же	1	6
18	по крайней мере	4	6
19	и как бы	1	5
20	но при этом	1	5
21	то же самое	1	5
22	с другой стороны	2	5
23	в первую очередь	1	5
24	в свою очередь	2	5
25	в русской литературе	2	5
26	что же касается	1	5
27	дело в том	4	5
28	не только в	2	5
29	тем не менее	2	4
30	можно сказать что	2	4
31	в частности в	1	4
32	одного и того	1	4
33	и прежде всего	1	4
34	а с другой	1	4
35	по сути дела	5	4
36	и того же	1	4
37	и не может	2	4
38	в наше время	4	4
39	в том числе	1	3
40	по справедливому замечанию	1	3
41	и вследствие этого	1	3
42	того или иного	1	3
43	том числе и	1	3
44	на первый взгляд	1	3
45	в одной из	4	3
46	том что в	3	3
47	во всяком случае	2	3
48	это прежде всего	3	3
49	как уже говорилось	1	3
50	лицо к которому	1	2
51	бы то ни	1	2
52	решающую роль в	1	2
53	как и его	1	2
54	заключает в себе	1	2
55	он не может	1	2
56	сами по себе	2	2
57	если можно так	1	2
58	и в то	3	2
59	по себе не	1	2
60	то ни было	1	2
61	в целом и	1	2
62	никогда не было	2	2
63	и в том	1	2
64	можно так выразиться	1	2
65	представляет собой не	1	2
66	в одном из	2	2
67	в мире и	1	2
68	только то что	1	2
69	все же не	1	2
70	в античной трагедии	1	2
71	это еще не	1	2
72	но отнюдь не	1	2
73	с самого начала	3	2
74	в творчестве чехова	1	2
75	едва ли не	2	2
76	что он не	1	1
77	одно из главных	1	1
78	в этот период	1	1
79	художественного произведения как	1	1
80	имеет в виду	1	1
81	только в мире	1	1
82	человека в мире	1	1
83	о том как	1	1
84	в применении к	1	1
85	в чем не	1	1
86	между настоящим и	1	1
87	науки в соответствии	1	1
88	во главе с	2	1
89	на наш взгляд	1	1
90	это не означает	2	1
91	в согласии с	1	1
92	а на деле	1	1
93	что в одном	1	1
94	в любви или	1	1
95	и в другом	1	1
96	в xix веке	3	1
97	то или иное	1	1
98	то есть является	1	1
99	и приводит к	1	1
100	так например в	1	1
101	хотя бы и	1	1
102	дело не в	1	1
103	так и от	1	1
104	в самом деле	2	1
105	составляет один из	1	1
106	что ведет к	1	1
107	но в таком	1	1
108	предлагаемая вниманию читателя	1	1
109	как в гамлете	1	1
110	исключительно важную роль	1	1
111	у него в	1	1
112	некоторые из них	1	1
113	но на этот	1	1
114	не столько к	1	1
115	между человеком и	1	1
116	в таком случае	2	1
117	важную роль в	1	1
118	друг на друга	1	1
119	она отнюдь не	1	1
120	что у него	2	1
121	литературе отнюдь не	1	1
122	бахтина о том	1	1
123	то что может	1	1
124	до сих пор	1	1
125	особое внимание на	1	1
126	в отношении к	1	1
127	на всем протяжении	1	1
128	в этом пункте	1	1
129	в народе с	1	1
130	и далеко не	1	1
131	было в том	1	1
132	при этом он	2	1
133	не может не	1	1
134	преступление и наказание	5	1
135	в связи с	2	1
136	при этом на	1	1
137	тому что автор	1	1
138	в другом месте	1	1
139	в котором нет	1	1
140	же время они	1	1
141	о том будто	1	1
142	мысль о возможности	1	1
143	или во всяком	1	1
144	но это не	2	1
145	и в этом	1	1
146	прежде всего на	1	1
147	людей своего времени	1	1
148	жизни то есть	1	1
149	что приводит к	1	1
150	за то что	1	1
151	все с той	1	1
152	и потому что	1	1
153	вместе с тем	1	1
154	все тот же	1	1
155	равно как и	1	1
156	с той же	1	1
157	и поступков так	1	1
158	роднит их с	1	1
159	заключается в том	1	1
160	но она не	1	1
161	это своего рода	1	1
162	отнюдь не сводится	1	1
163	не заметить что	1	1
164	на ранних стадиях	2	1
165	общения с другой	1	1
166	в которой он	1	1
167	ту или иную	1	1
168	но в целом	1	1
169	вплоть до его	1	1
170	в целом ряде	1	1
171	то что в	1	1
172	может быть в	1	1
173	там же с	10	1
174	но и потому	1	1
175	только в качестве	1	1
176	одного из героев	1	1
177	место в творчестве	2	1
178	он говорит о	1	1
179	в стихах и	1	1
180	было и будет	1	1
181	в известном смысле	2	1
182	такой же как	1	1
183	хотя и не	1	1
184	на самом деле	2	1
185	оставляя открытым вопрос	1	1
186	добра и зла	2	1
187	романа еще не	1	1
188	не что иное	1	1
189	в войне и	1	1
190	именно в этом	1	1
191	а нередко и	1	1
192	а не во	2	1
193	то все же	1	1
194	он сам в	1	1
195	можно было бы	1	1
196	только потому что	1	1
197	и это не	1	1
198	при всей их	1	1
199	не только потому	1	1
200	то есть его	1	1
201	в этой связи	2	1
202	за самим собой	1	1
203	в художественном мире	1	1
204	в первой части	3	1
205	не могут быть	2	1
206	войне и мире	2	1
207	ключевое значение в	1	1
208	так ли это?	1	1
209	это не просто	1	1
210	что иное как	1	1
211	традиции все эти	1	1
212	в предисловии к	1	1
213	события но и	1	1
214	и приводит его	1	1
215	к мысли о	1	1
216	где он говорит	1	1
217	и делает это	1	1
218	это и есть	1	1
219	в виду что	1	1
220	нет и не	1	1
221	русской литературе xix	1	1
222	ни в чем	1	1
223	в своем творчестве	1	1
224	приходит на смену	1	1
225	человеком и богом	1	1
