N	3gram	Nazirov_Tr	Vladivir
1	в том что	2	29
2	о том что	2	22
3	тем не менее	1	18
4	и то что	1	14
5	во всяком случае	1	12
6	в связи с	1	12
7	в конце концов	1	11
8	не может быть	1	10
9	в то же	5	10
10	то что он	1	9
11	то же время	5	9
12	никогда не был	1	7
13	точно так же	2	7
14	в данном случае	2	6
15	в отличие от	2	6
16	и в этом	1	6
17	том что он	1	6
18	в году в	2	6
19	сам по себе	1	4
20	и вместе с	1	4
21	еще в году	1	4
22	что он не	1	3
23	хотя бы и	1	3
24	в самом деле	1	3
25	к м м	1	3
26	не только не	1	3
27	к тому что	1	3
28	и до конца	1	3
29	несмотря на все	1	3
30	и в дальнейшем	2	3
31	и в частности	2	3
32	мы бы сказали	1	3
33	с самого начала	1	3
34	с начала и	1	3
35	начала и до	1	3
36	он и в	1	2
37	так и в	3	2
38	бросается в глаза	2	2
39	необходимо отметить что	1	2
40	он сам говорит	1	2
41	за то что	1	2
42	в году и	1	2
43	или как говорит	1	2
44	но у него	1	2
45	но в то	2	2
46	с первого же	2	2
47	в этом случае	1	2
48	и все же	1	2
49	это и есть	1	2
50	после того как	1	2
51	всем xix веке	1	1
52	у него есть	1	1
53	бы и не	1	1
54	и как бы	2	1
55	xix веке в	1	1
56	в той же	1	1
57	отнюдь не является	1	1
58	в известной степени	1	1
59	в году по	1	1
60	как и его	1	1
61	человека вот что	1	1
62	что я не	1	1
63	же время с	1	1
64	потому что сам	1	1
65	чем он сам	1	1
66	что все это	1	1
67	по мнению н	1	1
68	по поводу своей	1	1
69	и если б	1	1
70	времени в году	2	1
71	сам говорит что	1	1
72	к величайшему моему	1	1
73	своего отца и	1	1
74	о чем он	2	1
75	за что не	1	1
76	судя по письмам	1	1
77	с тем и	1	1
78	а это было	1	1
79	и все ей	1	1
80	это было в	1	1
81	в блеске и	1	1
82	в высшей степени	1	1
83	как это часто	1	1
84	но все же	2	1
85	не выдержал своего	1	1
86	на русский язык	1	1
87	может быть в	1	1
88	мысль о том	1	1
89	и должно быть	1	1
90	во всем его	1	1
91	в этой борьбе	1	1
92	я увидел что	1	1
93	первого же появления	1	1
94	и в сфере	1	1
95	по вопросу об	1	1
96	все же не	1	1
97	ни за что	1	1
98	но в конце	1	1
99	и любви ко	1	1
100	смысле этого слова	1	1
101	трактуется им как	1	1
102	самое большее что	1	1
103	в году еще	1	1
104	и в быту	1	1
105	и то в	1	1
106	у него нет	1	1
107	свои длинные и	1	1
108	уже в году	1	1
109	в таком виде	1	1
110	хотя наряду с	1	1
111	отнюдь не был	1	1
112	и не может	1	1
113	и потому как	1	1
114	в себе ее	1	1
