N	4gram	Losev_Vlad	RusskieA
1	в том что в	2	8
2	не что иное как	2	4
3	на самом же деле	1	3
4	до тех пор пока	2	3
5	но вместе с тем	1	3
6	но тем не менее	1	2
7	вместе с тем и	1	2
8	как мы уже знаем	1	2
9	привело к тому что	1	2
10	том что в этот	1	1
11	с места на место	1	1
12	в полной уверенности что	1	1
13	каждый из этих элементов	1	1
14	никто из них не	1	1
15	точно так же в	1	1
16	как мы увидим ниже	2	1
17	и т д в	1	1
18	необходимо указать еще на	1	1
19	места на место в	1	1
20	в то время как	2	1
21	самом же деле это	1	1
22	а может быть и	1	1
23	всего этого видно что	1	1
24	приходит к выводу что	1	1
25	о том что в	1	1
26	в том чтобы установить	1	1
27	состояла в том чтобы	1	1
28	мы уже видели что	1	1
29	о чем можно судить	1	1
30	по этому поводу с	1	1
31	дело в том что	7	1
32	тех пор пока не	1	1
33	чем можно судить по	1	1
34	из всего этого видно	1	1
