N	3gram	Trubetskoy	VLabPisa
1	в этом отношении	2	14
2	не может быть	1	8
3	с другой стороны	1	8
4	по отношению к	1	7
5	более или менее	5	6
6	в том что	3	5
7	в то же	2	5
8	то же время	2	5
9	в одном из	1	4
10	вместе с тем	8	4
11	можно сказать что	2	4
12	в силу этого	1	4
13	в связи с	3	4
14	мы видели что	1	3
15	в значительной мере	2	3
16	о том как	1	3
17	для того чтобы	5	3
18	о том что	4	3
19	в этой области	1	3
20	и в то	1	3
21	это и есть	1	3
22	не только для	2	2
23	и том же	1	2
24	ни один из	1	2
25	во всяком случае	6	2
26	по крайней мере	5	2
27	этой точки зрения	2	2
28	так и от	2	2
29	в этом процессе	1	2
30	в том числе	5	2
31	не в том	1	2
32	таким образом в	2	2
33	чуть ли не	1	2
34	до сих пор	5	2
35	не только не	1	2
36	иметь в виду	1	2
37	в конце концов	3	2
38	том числе и	4	2
39	что все эти	1	2
40	и никогда не	1	2
41	из них не	1	2
42	не может не	1	2
43	только то что	1	2
44	с одной стороны	7	2
45	одном и том	1	2
46	после того как	1	2
47	так же как	3	1
48	того момента когда	1	1
49	сих пор не	1	1
50	все это мы	1	1
51	в свою очередь	1	1
52	в одном и	1	1
53	некоторые из них	2	1
54	с этим и	1	1
55	но по существу	1	1
56	той или иной	2	1
57	но вместе с	2	1
58	мы видим что	1	1
59	на то что	2	1
60	а вместе с	1	1
61	одной из этих	1	1
62	с того момента	2	1
63	по сравнению с	2	1
64	этом отношении представляет	1	1
65	у них не	1	1
66	и в результате	1	1
67	может быть даже	2	1
68	имеем в виду	1	1
69	во всех других	1	1
70	заключает в себе	2	1
71	том или ином	1	1
72	с этой точки	2	1
73	может быть в	1	1
74	в самом деле	1	1
75	многим из них	1	1
76	как видно из	1	1
77	таким образом уже	1	1
78	у него в	1	1
79	в то время	1	1
80	могло бы быть	1	1
81	а между тем	1	1
82	и есть то	1	1
83	в таком случае	1	1
84	так или иначе	3	1
85	сами по себе	1	1
86	ничего общего с	2	1
87	но в то	1	1
88	то или иное	2	1
89	в прямом смысле	1	1
90	и вместе с	4	1
91	между этими двумя	2	1
92	что оно является	1	1
93	в соответствии с	1	1
94	в данном случае	1	1
95	в том или	1	1
96	главным образом в	3	1
97	а в том	1	1
98	к тому же	4	1
99	то же самое	2	1
100	их отношение к	1	1
101	но все же	4	1
102	лицом к лицу	1	1
103	что и этот	1	1
104	а как на	1	1
105	хотя бы с	1	1
106	с ними в	1	1
107	только тогда когда	1	1
108	не как на	2	1
109	в силу самой	1	1
110	но и для	2	1
111	но с другой	1	1
112	может быть и	2	1
