N	2gram	Tiupa_Hudo	Myslijsy
1	потому что	3	182
2	то есть	26	142
3	и в	23	121
4	может быть	19	107
5	в том	20	103
6	то что	5	83
7	в слове	4	78
8	для нас	1	75
9	что в	7	73
10	и не	16	73
11	только в	7	72
12	не только	20	67
13	а не	13	67
14	таким образом	3	64
15	в этом	12	59
16	но и	14	59
17	том что	9	59
18	так как	1	59
19	то же	12	56
20	не в	9	54
21	если бы	3	53
22	в себе	13	53
23	по себе	2	52
24	не может	9	52
25	того что	5	47
26	в сознании	1	46
27	в душе	9	45
28	было бы	1	45
29	в нем	6	45
30	не есть	1	42
31	как и	3	42
32	так что	1	39
33	вместе с	1	39
34	что и	2	38
35	при этом	19	37
36	как в	2	37
37	так и	12	37
38	точно так	1	35
39	тем что	1	33
40	и что	4	32
41	по отношению	10	30
42	а в	13	30
43	что не	1	29
44	между тем	4	29
45	но не	13	29
46	вовсе не	2	28
47	для него	5	28
48	с этим	1	27
49	могут быть	5	27
50	не было	1	26
51	то и	1	26
52	отношению к	10	26
53	языка и	1	25
54	этого слова	2	25
55	в то	8	24
56	как бы	11	23
57	с другой	9	22
58	чувства и	1	22
59	не имеет	1	22
60	но в	10	22
61	и потому	2	21
62	не менее	5	21
63	мысль о	1	20
64	в одном	3	20
65	это не	4	20
66	и как	4	19
67	в сознание	1	19
68	сказать что	4	19
69	с ним	2	19
70	того же	3	19
71	тем не	3	19
72	что это	1	19
73	и то	4	19
74	из этих	3	19
75	о том	2	19
76	заключает в	1	19
77	тем самым	5	19
78	должно быть	1	19
79	есть не	1	19
80	в самом	7	18
81	в таком	3	18
82	для того	5	18
83	по поводу	1	18
84	не могут	1	18
85	бы не	2	18
86	в каком	2	18
87	для меня	2	18
88	тогда как	15	18
89	еще не	4	18
90	точки зрения	11	17
91	крайней мере	1	17
92	со стороны	5	17
93	по крайней	1	17
94	слова и	2	17
95	в его	11	17
96	слова в	3	17
97	и на	3	16
98	к тому	4	16
99	так же	2	16
100	в своем	4	16
101	в которой	3	16
102	а только	4	16
103	в них	2	16
104	или же	1	16
105	и наоборот	2	16
106	на то	1	16
107	быть может	1	15
108	в этих	4	15
109	уже не	6	15
110	с одной	3	15
111	с другими	5	15
112	и тем	4	15
113	и по	2	15
114	что он	5	15
115	в свою	3	15
116	прежде всего	5	15
117	тому как	3	15
118	на деле	3	14
119	все же	1	14
120	в одно	2	14
121	в котором	1	14
122	в действительности	1	14
123	свою очередь	2	14
124	то в	2	14
125	связи с	3	14
126	во всех	3	14
127	когда мы	1	14
128	столь же	2	14
129	бы ни	1	14
130	в истории	1	14
131	же время	7	14
132	и без	1	14
133	те же	1	13
134	например в	4	13
135	языка в	4	13
136	общего чувства	1	13
137	из них	1	13
138	что все	1	13
139	есть для	1	13
